author_name,last_name,first_name,title,birthdate,deathdate,count,fraction_total
"Bernard, Richard, 1568-1641.",Bernard,Richard,not_applicable,1568,1641,68,0.000711654
"Dod, John, 1549-1645.",Dod,John,not_applicable,1549,1645,68,0.000711654
"Settle, Elkanah, 1648-1724.",Settle,Elkanah,not_applicable,1648,1724,68,0.000711654
"Reynolds, Edward, 1599-1676.",Reynolds,Edward,not_applicable,1599,1676,66,0.000690723
"Howell, James, 1594-1666.",Howell,James,not_applicable,1594,1666,65,0.000680258
"Fuller, Thomas, 1608-1661.",Fuller,Thomas,not_applicable,1608,1661,64,0.000669792
"Pym, John, 1584-1643.",Pym,John,not_applicable,1584,1643,64,0.000669792
"Younge, Richard.",Younge,Richard,not_applicable,not_applicable,not_applicable,64,0.000669792
Person of quality.,not_applicable,Person of quality,not_applicable,not_applicable,not_applicable,63,0.000659327
"Ovid, 43 B.C.-17 or 18 A.D.",not_applicable,Ovid,not_applicable, 43 B.C.,17 or 18 A.D.,63,0.000659327
Church of Scotland. General Assembly. Commission.,Church of Scotland,General Assembly Commission,not_applicable,not_applicable,not_applicable,63,0.000659327
Church of Scotland. General Assembly.,Church of Scotland,General Assembly,not_applicable,not_applicable,not_applicable,63,0.000659327
"Smith, William, d. 1673.",Smith,William,not_applicable,not_applicable,1673,62,0.000648861
Scotland. Convention of Estates.,Scotland,Convention of Estates,not_applicable,not_applicable,not_applicable,62,0.000648861
"Burrough, Edward, 1634-1662.",Burrough,Edward,not_applicable,1634,1662,61,0.000638396
"Gadbury, John, 1627-1704.",Gadbury,John,not_applicable,1627,1704,60,0.00062793
"Goodwin, Thomas, 1600-1680.",Goodwin,Thomas,not_applicable,1600,1680,60,0.00062793
"Owen, John, 1616-1683.",Owen,John,not_applicable,1616,1683,59,0.000617465
"Williams, John, 1636-1709.",Williams,John,not_applicable,1636,1709,59,0.000617465
"Sibbes, Richard, 1577-1635.",Sibbes,Richard,not_applicable,1577,1635,58,0.000606999
"Culpeper, Nicholas, 1616-1654.",Culpeper,Nicholas,not_applicable,1616,1654,57,0.000596534
"Keach, Benjamin, 1640-1704.",Keach,Benjamin,not_applicable,1640,1704,57,0.000596534
"Tate, Nahum, 1652-1715.",Tate,Nahum,not_applicable,1652,1715,57,0.000596534
England and Wales. Sovereign (1509-1547 : Henry VIII),Sovereign,Henry VIII,not_applicable,1509,1547,55,0.000575603
"Brooks, Thomas, 1608-1680.",Brooks,Thomas,not_applicable,1608,1680,54,0.000565137
"Comber, Thomas, 1645-1699.",Comber,Thomas,not_applicable,1645,1699,54,0.000565137
"Cotton, John, 1584-1652.",Cotton,John,not_applicable,1584,1652,54,0.000565137
City of London (England).,not_applicable,City of London (England),not_applicable,not_applicable,not_applicable,54,0.000565137
"Beverley, Thomas.",Beverley,Thomas,not_applicable,not_applicable,not_applicable,53,0.000554672
"Scott, Thomas, 1580-1626.",Scott,Thomas,not_applicable,1580,1626,53,0.000554672
"Stephens, Edward, d. 1706.",Stephens,Edward,not_applicable,not_applicable,1706,53,0.000554672
"R. B., 1632-1725",B,R,not_applicable,1632,1725,52,0.000544206
England and Wales. Sovereign (1547-1553 : Edward VI),Sovereign,Edward VI,not_applicable,1547,1553,52,0.000544206
"Milton, John, 1608-1674.",Milton,John,not_applicable,1608,1674,51,0.000533741
"Shirley, James, 1596-1666.",Shirley,James,not_applicable,1596,1666,51,0.000533741
"Strafford, Thomas Wentworth, Earl of, 1593-1641.",Wentworth,Thomas,not_applicable,1593,1641,51,0.000533741
"Burton, Henry, 1578-1648.",Burton,Henry,not_applicable,1578,1648,50,0.000523275
"Mather, Increase, 1639-1723.",Mather,Increase,not_applicable,1639,1723,50,0.000523275
"Penington, Isaac, 1616-1679.",Penington,Isaac,not_applicable,1616,1679,50,0.000523275
"Rowlands, Samuel, 1570-1630",Rowlands,Samuel,not_applicable,1570,1630,50,0.000523275
"Lilly, William, 1602-1681.",Lilly,William,not_applicable,1602,1681,49,0.00051281
"Lloyd, William, 1627-1717.",Lloyd,William,not_applicable,1627,1717,49,0.00051281
"Norden, John, 1548-1625",Norden,John,not_applicable,1548,1625,49,0.00051281
"Stafford, Richard, 1663-1703.",Stafford,Richard,not_applicable,1663,1703,49,0.00051281
University of Oxford.,not_applicable,University of Oxford,not_applicable,not_applicable,not_applicable,49,0.00051281
"Burroughs, Jeremiah, 1599-1646.",Burroughs,Jeremiah,not_applicable,1599,1646,48,0.000502344
"Donne, John, 1572-1631.",Donne,John,not_applicable,1572,1631,48,0.000502344
"Gauden, John, 1605-1662.",Gauden,John,not_applicable,1605,1662,48,0.000502344
Catholic Church.,not_applicable,Catholic Church,not_applicable,not_applicable,not_applicable,48,0.000502344
"Byfield, Nicholas, 1579-1622.",Byfield,Nicholas,not_applicable,1579,1622,47,0.000491879
"Elyot, Thomas, Sir, 1490-1546.",Elyot,Thomas,not_applicable,1490,1546,47,0.000491879
"Drayton, Michael, 1563-1631.",Drayton,Michael,not_applicable,1563,1631,46,0.000481413
"Gother, John, d. 1704.",Gother,John,not_applicable,not_applicable,1704,46,0.000481413
"Lyly, John, 1554-1606.",Lyly,John,not_applicable,1554,1606,46,0.000481413
Scotland. Parliament. Committee of Estates.,Scotland,Parliament Committee of Estates,not_applicable,not_applicable,not_applicable,46,0.000481413
Plutarch.,not_applicable,Plutarch,not_applicable,not_applicable,not_applicable,46,0.000481413
"Ainsworth, Henry, 1571-1622",Ainsworth,Henry,not_applicable,1571,1622,45,0.000470948
"Du Moulin, Pierre, 1568-1658.",Du Moulin,Pierre,not_applicable,1568,1658,45,0.000470948
"Eleanor, Lady, d. 1652.",Eleanor,Lady,not_applicable,not_applicable,1652,45,0.000470948
"Harris, Robert, 1581-1658.",Harris,Robert,not_applicable,1581,1658,45,0.000470948
"Andrewes, Lancelot, 1555-1626.",Andrewes,Lancelot,not_applicable,1555,1626,44,0.000460482
"Naylor, James, 1617-1660.",Naylor,James,not_applicable,1617,1660,44,0.000460482
"Ussher, James, 1581-1656.",Ussher,James,not_applicable,1581,1656,44,0.000460482
England and Wales. Sovereign (1553-1558 : Mary I),Sovereign,Mary I,not_applicable,1553,1558,44,0.000460482
England and Wales. Parliament. House of Lords.,England and Wales,Parliament House of Lords,not_applicable,not_applicable,not_applicable,44,0.000460482
"Parsons, Robert, 1546-1610.",Parsons,Robert,not_applicable,1546,1610,42,0.000439551
"Stanbridge, John, 1463-1510.",Stanbridge,John,not_applicable,1463,1510,42,0.000439551
L. P. fl. 1625-1680,Price,Laurence,not_applicable,fl. 1625,1680,41,0.000429086
England and Wales. Army.,England and Wales,Army,not_applicable,not_applicable,not_applicable,41,0.000429086
"Brathwaite, Richard, 1588-1673.",Brathwaite,Richard,not_applicable,1588,1673,40,0.00041862
"Bullinger, Heinrich, 1504-1575.",Bullinger,Heinrich,not_applicable,1504,1575,40,0.00041862
"Jordan, Thomas, 1612-1685",Jordan,Thomas,not_applicable,1612,1685,40,0.00041862
"Middleton, Thomas, d. 1627.",Middleton,Thomas,not_applicable,not_applicable,1627,40,0.00041862
"Bèze, Théodore de, 1519-1605.",de Bèze,Théodore,not_applicable,1519,1605,39,0.000408155
"Lilburne, John, 1614-1657.",Lilburne,John,not_applicable,1614,1657,39,0.000408155
"Taylor, Thomas, 1576-1632.",Taylor,Thomas,not_applicable,1576,1632,39,0.000408155
"Bentley, Richard, 1662-1742.",Bentley,Richard,not_applicable,1662,1742,38,0.000397689
"Gataker, Thomas, 1574-1654.",Gataker,Thomas,not_applicable,1574,1654,38,0.000397689
"Partridge, John, 1644-1715.",Partridge,John,not_applicable,1644,1715,38,0.000397689
"Ward, Samuel, 1577-1640.",Ward,Samuel,not_applicable,1577,1640,38,0.000397689
Ireland.,not_applicable,Ireland,not_applicable,not_applicable,not_applicable,38,0.000397689
Church of Scotland.,not_applicable,Church of Scotland,not_applicable,not_applicable,not_applicable,38,0.000397689
"Boys, John, 1571-1625.",Boys,John,not_applicable,1571,1625,37,0.000387224
"Fenner, William, 1600-1640.",Fenner,William,not_applicable,1600,1640,37,0.000387224
"Gifford, George, 1547 or 8-1600.",Gifford,George,not_applicable, 1547 or 8,1600,37,0.000387224
"Leslie, Charles, 1650-1722.",Leslie,Charles,not_applicable,1650,1722,37,0.000387224
"Lydgate, John, 1370-1451",Lydgate,John,not_applicable,1370,1451,37,0.000387224
Ireland. Lord Lieutenant (1672-1677 : Essex),Lord Lieutenant,Essex,not_applicable,1672,1677,37,0.000387224
"Cleveland, John, 1613-1658.",Cleveland,John,not_applicable,1613,1658,36,0.000376758
"Charles I, King of England, 1600-1649.",King of England,Charles I,not_applicable,1600,1649,36,0.000376758
"James I, King of England, 1566-1625.",King of England,James I,not_applicable,1566,1625,36,0.000376758
"Shadwell, Thomas, 1642-1692.",Shadwell,Thomas,not_applicable,1642,1692,36,0.000376758
"Tryon, Thomas, 1634-1703.",Tryon,Thomas,not_applicable,1634,1703,36,0.000376758
"Ward, Edward, 1667-1731.",Ward,Edward,not_applicable,1667,1731,36,0.000376758
"Bayly, Lewis, d. 1631.",Bayly,Lewis,not_applicable,not_applicable,1631,35,0.000366293
"Bullord, John.",Bullord,John,not_applicable,not_applicable,not_applicable,35,0.000366293
"Churchyard, Thomas, 1520-1604.",Churchyard,Thomas,not_applicable,1520,1604,35,0.000366293
"Cowper, William, 1568-1619.",Cowper,William,not_applicable,1568,1619,35,0.000366293
"Goodwin, John, 1594-1665.",Goodwin,John,not_applicable,1594,1665,35,0.000366293
"Nalson, John, 1638-1686.",Nalson,John,not_applicable,1638,1686,35,0.000366293
"Raleigh, Walter, Sir, 1552-1618.",Raleigh,Walter,not_applicable,1552,1618,35,0.000366293
"Rich, Barnabe, 1540-1617.",Rich,Barnabe,not_applicable,1540,1617,35,0.000366293
"Mackenzie, George, Sir, 1636-1691.",Mackenzie,George,not_applicable,1636,1691,34,0.000355827
"Ogilby, John, 1600-1676.",Ogilby,John,not_applicable,1600,1676,34,0.000355827
"Smith, Humphrey, d. 1663.",Smith,Humphrey,not_applicable,not_applicable,1663,34,0.000355827
R. F. d. 1666.,F,R,not_applicable,not_applicable,1666,34,0.000355827
Poor Robin.,not_applicable,Poor Robin,not_applicable,not_applicable,not_applicable,34,0.000355827
"Böhme, Jakob, 1575-1624.",B”hme,Jakob,not_applicable,1575,1624,33,0.000345362
"Bugg, Francis, 1640-1724",Bugg,Francis,not_applicable,1640,1724,33,0.000345362
"Flavel, John, 1630-1691.",Flavel,John,not_applicable,1630,1691,33,0.000345362
"Hardy, Nathaniel, 1618-1670.",Hardy,Nathaniel,not_applicable,1618,1670,33,0.000345362
"Sheppard, William, d. 1675",Sheppard,William,not_applicable,not_applicable,1675,33,0.000345362
"Tyndale, William, d. 1536.",Tyndale,William,not_applicable,not_applicable,1536,33,0.000345362
R. F. H. 16th cent.,not_applicable,R F H 16th cent,not_applicable,not_applicable,not_applicable,33,0.000345362
Company of Scotland Trading to Africa and the Indies.,not_applicable,Company of Scotland Trading to Africa and the Indies,not_applicable,not_applicable,not_applicable,33,0.000345362
"Clarke, Samuel, 1599-1682.",Clarke,Samuel,not_applicable,1599,1682,32,0.000334896
"Cocker, Edward, 1631-1675.",Cocker,Edward,not_applicable,1631,1675,32,0.000334896
"Hooker, Thomas, 1586-1647.",Hooker,Thomas,not_applicable,1586,1647,32,0.000334896
"Love, Christopher, 1618-1651.",Love,Christopher,not_applicable,1618,1651,32,0.000334896
"Luther, Martin, 1483-1546.",Luther,Martin,not_applicable,1483,1546,32,0.000334896
"Smith, Samuel, 1588-1665.",Smith,Samuel,not_applicable,1588,1665,32,0.000334896
"Beaumont, Francis, 1584-1616.",Beaumont,Francis,not_applicable,1584,1616,31,0.000324431
"Coke, Edward, Sir, 1552-1634.",Coke,Edward,not_applicable,1552,1634,31,0.000324431
"Pelling, Edward, d. 1718.",Pelling,Edward,not_applicable,not_applicable,1718,31,0.000324431
"Pond, Edward, d. 1629.",Pond,Edward,not_applicable,not_applicable,1629,31,0.000324431
"Weemes, John, 1579-1636.",Weemes,John,not_applicable,1579,1636,31,0.000324431
Westminster Assembly (1643-1652),not_applicable,Westminster Assembly (1643-1652),not_applicable,not_applicable,not_applicable,31,0.000324431
"Bray, Thomas, 1658-1730.",Bray,Thomas,not_applicable,1658,1730,30,0.000313965
"Fulke, William, 1538-1589.",Fulke,William,not_applicable,1538,1589,30,0.000313965
"Glanvill, Joseph, 1636-1680.",Glanvill,Joseph,not_applicable,1636,1680,30,0.000313965
"Marvell, Andrew, 1621-1678.",Marvell,Andrew,not_applicable,1621,1678,30,0.000313965
"Albemarle, George Monck, Duke of, 1608-1670.",Monck,George,not_applicable,1608,1670,30,0.000313965
"Tenison, Thomas, 1636-1715.",Tenison,Thomas,not_applicable,1636,1715,30,0.000313965
"Wake, William, 1657-1737.",Wake,William,not_applicable,1657,1737,30,0.000313965
"Wild, Robert, 1609-1679.",Wild,Robert,not_applicable,1609,1679,30,0.000313965
"Fox, George, d. 1661.",Fox,George,not_applicable,not_applicable,1661,29,0.0003035
"Rudyerd, Benjamin, Sir, 1572-1658.",Rudyerd,Benjamin,not_applicable,1572,1658,29,0.0003035
"Skelton, John, 1460-1529.",Skelton,John,not_applicable,1460,1529,29,0.0003035
J. P. d. 1671,not_applicable,J P d 1671,not_applicable,not_applicable,not_applicable,29,0.0003035
"Ames, Richard, d. 1693.",Ames,Richard,not_applicable,not_applicable,1693,28,0.000293034
"Bale, John, 1495-1563.",Bale,John,not_applicable,1495,1563,28,0.000293034
"Booker, John, 1603-1667.",Booker,John,not_applicable,1603,1667,28,0.000293034
"Mornay, Philippe de, seigneur du Plessis-Marly, 1549-1623.",de Mornay,Philippe,not_applicable,1549,1623,28,0.000293034
"Fitzherbert, Anthony, Sir, 1470-1538.",Fitzherbert,Anthony,not_applicable,1470,1538,28,0.000293034
"Gouge, Thomas, 1605-1681.",Gouge,Thomas,not_applicable,1605,1681,28,0.000293034
"Hale, Matthew, Sir, 1609-1676.",Hale,Matthew,not_applicable,1609,1676,28,0.000293034
"Charles II, King of England, 1630-1685.",King of England,Charles II,not_applicable,1630,1685,28,0.000293034
"Salmon, William, 1644-1713.",Salmon,William,not_applicable,1644,1713,28,0.000293034
"Venning, Ralph, 1621-1674.",Venning,Ralph,not_applicable,1621,1674,28,0.000293034
"Whately, William, 1583-1639.",Whately,William,not_applicable,1583,1639,28,0.000293034
"Chamberlayne, Edward, 1616-1703.",Chamberlayne,Edward,not_applicable,1616,1703,27,0.000282569
"Crook, John, 1617-1699.",Crook,John,not_applicable,1617,1699,27,0.000282569
"Dury, John, 1596-1680.",Dury,John,not_applicable,1596,1680,27,0.000282569
"Lambarde, William, 1536-1601.",Lambarde,William,not_applicable,1536,1601,27,0.000282569
"Spenser, Edmund, 1552-1599.",Spenser,Edmund,not_applicable,1552,1599,27,0.000282569
"Wing, Vincent, 1619-1668.",Wing,Vincent,not_applicable,1619,1668,27,0.000282569
Ireland. Lord Lieutenant (1661-1669 : Ormonde),not_applicable,Ireland Lord Lieutenant (1661-1669 : Ormonde),not_applicable,not_applicable,not_applicable,27,0.000282569
"Crimsal, Richard.",Crimsal,Richard,not_applicable,not_applicable,not_applicable,26,0.000272103
"Hayward, John, Sir, 1564-1627.",Hayward,John,not_applicable,1564,1627,26,0.000272103
"King, William, 1650-1729.",King,William,not_applicable,1650,1729,26,0.000272103
"Lodge, Thomas, 1558-1625.",Lodge,Thomas,not_applicable,1558,1625,26,0.000272103
"Millington, Edward, d. 1703.",Millington,Edward,not_applicable,not_applicable,1703,26,0.000272103
"Shepard, Thomas, 1605-1649.",Shepard,Thomas,not_applicable,1605,1649,26,0.000272103
"Watson, Thomas, d. 1686.",Watson,Thomas,not_applicable,not_applicable,1686,26,0.000272103
"Ball, John, 1585-1640.",Ball,John,not_applicable,1585,1640,25,0.000261638
"Brinsley, John, fl. 1581-1624.",Brinsley,John,not_applicable, fl. 1581,1624,25,0.000261638
"Burgess, Daniel, 1645-1713.",Burgess,Daniel,not_applicable,1645,1713,25,0.000261638
"Cromwell, Oliver, 1599-1658.",Cromwell,Oliver,not_applicable,1599,1658,25,0.000261638
"Heywood, John, 1497-1580",Heywood,John,not_applicable,1497,1580,25,0.000261638
"Hollyband, Claudius, 16th cent.",Hollyband,Claudius,not_applicable, 16th cent.,not_applicable,25,0.000261638
"Horneck, Anthony, 1641-1697.",Horneck,Anthony,not_applicable,1641,1697,25,0.000261638
"Locke, John, 1632-1704.",Locke,John,not_applicable,1632,1704,25,0.000261638
"Halifax, George Savile, Marquis of, 1633-1695.",Savile,George,not_applicable,1633,1695,25,0.000261638
Ireland. Lord Lieutenant (1677-1685 : Ormonde),not_applicable,Ireland Lord Lieutenant (1677-1685 : Ormonde),not_applicable,not_applicable,not_applicable,25,0.000261638
"Adams, Thomas, fl. 1612-1653.",Adams,Thomas,not_applicable, fl. 1612,1653,24,0.000251172
"Clapham, Henoch.",Clapham,Henoch,not_applicable,not_applicable,not_applicable,24,0.000251172
"Daniel, Samuel, 1562-1619.",Daniel,Samuel,not_applicable,1562,1619,24,0.000251172
"Guevara, Antonio de, Bp., d. 1545",de Guevara,Antonio,not_applicable,not_applicable,1545,24,0.000251172
"Downame, John, d. 1652.",Downame,John,not_applicable,not_applicable,1652,24,0.000251172
"Fairfax, Thomas Fairfax, Baron, 1612-1671.",Fairfax,Thomas,not_applicable,1612,1671,24,0.000251172
"Fox, Margaret Askew Fell, 1614-1702.",Fox,Margaret Askew Fell,not_applicable,1614,1702,24,0.000251172
"Hart, John, D.D.",Hart,John,not_applicable,not_applicable,not_applicable,24,0.000251172
"Howgill, Francis, 1618-1669.",Howgill,Francis,not_applicable,1618,1669,24,0.000251172
"Littleton, Thomas, Sir, d. 1481.",Littleton,Thomas,not_applicable,not_applicable,1481,24,0.000251172
"Mede, Joseph, 1586-1638.",Mede,Joseph,not_applicable,1586,1638,24,0.000251172
"Seller, John, fl. 1658-1698.",Seller,John,not_applicable, fl. 1658,1698,24,0.000251172
"Stow, John, 1525-1605.",Stow,John,not_applicable,1525,1605,24,0.000251172
"Willet, Andrew, 1562-1621.",Willet,Andrew,not_applicable,1562,1621,24,0.000251172
"Woodhouse, John.",Woodhouse,John,not_applicable,not_applicable,not_applicable,24,0.000251172
J. S.,not_applicable,J S,not_applicable,not_applicable,not_applicable,24,0.000251172
England and Wales. Council of State.,not_applicable,England and Wales Council of State,not_applicable,not_applicable,not_applicable,24,0.000251172
England and Wales. Army. Council.,not_applicable,England and Wales Army Council,not_applicable,not_applicable,not_applicable,24,0.000251172
"Bolton, Robert, 1572-1631.",Bolton,Robert,not_applicable,1572,1631,23,0.000240707
"Calamy, Edmund, 1600-1666.",Calamy,Edmund,not_applicable,1600,1666,23,0.000240707
"Congreve, William, 1670-1729.",Congreve,William,not_applicable,1670,1729,23,0.000240707
"Dove, Jonathan.",Dove,Jonathan,not_applicable,not_applicable,not_applicable,23,0.000240707
"Evelyn, John, 1620-1706.",Evelyn,John,not_applicable,1620,1706,23,0.000240707
"Fitzherbert, John, d. 1531.",Fitzherbert,John,not_applicable,not_applicable,1531,23,0.000240707
"Hickeringill, Edmund, 1631-1708.",Hickeringill,Edmund,not_applicable,1631,1708,23,0.000240707
"Hickes, George, 1642-1715.",Hickes,George,not_applicable,1642,1715,23,0.000240707
"Humfrey, John, 1621-1719.",Humfrey,John,not_applicable,1621,1719,23,0.000240707
"James II, King of England, 1633-1701.",King of England,James II,not_applicable,1633,1701,23,0.000240707
"Long, Thomas, 1621-1707.",Long,Thomas,not_applicable,1621,1707,23,0.000240707
"Marana, Giovanni Paolo, 1642-1693.",Marana,Giovanni Paolo,not_applicable,1642,1693,23,0.000240707
"Marshall, Stephen, 1594-1655.",Marshall,Stephen,not_applicable,1594,1655,23,0.000240707
"Saunders, Richard, 1613-1675.",Saunders,Richard,not_applicable,1613,1675,23,0.000240707
"Sprat, Thomas, 1635-1713.",Sprat,Thomas,not_applicable,1635,1713,23,0.000240707
"Vines, Richard, 1600-1656.",Vines,Richard,not_applicable,1600,1656,23,0.000240707
"Wharton, George, Sir, 1617-1681.",Wharton,George,not_applicable,1617,1681,23,0.000240707
"Wilkins, John, 1614-1672.",Wilkins,John,not_applicable,1614,1672,23,0.000240707
Ireland. Lord Deputy (1622-1629 : Falkland),not_applicable,Ireland Lord Deputy (1622-1629 : Falkland),not_applicable,not_applicable,not_applicable,23,0.000240707
"Chapman, George, 1559-1634.",Chapman,George,not_applicable,1559,1634,22,0.000230241
"Chaucer, Geoffrey, d. 1400.",Chaucer,Geoffrey,not_applicable,not_applicable,1400,22,0.000230241
"Dade, William.",Dade,William,not_applicable,not_applicable,not_applicable,22,0.000230241
"Holles, Denzil Holles, Baron, 1599-1680.",Holles,Denzil,not_applicable,1599,1680,22,0.000230241
"Hooper, John, d. 1555.",Hooper,John,not_applicable,not_applicable,1555,22,0.000230241
"Hutton, Richard, Sir, 1561-1639.",Hutton,Richard,not_applicable,1561,1639,22,0.000230241
"Janeway, James, 1636-1674.",Janeway,James,not_applicable,1636,1674,22,0.000230241
"Latimer, Hugh, 1485-1555.",Latimer,Hugh,not_applicable,1485,1555,22,0.000230241
"Neale, Thomas, d. 1699",Neale,Thomas,not_applicable,not_applicable,1699,22,0.000230241
