author,count
"Rippon, John, 1751-1836.",2
"Godley, John. Langrische, Hector, Sir, 1738-1811.",1
"Wotton, Thomas, d. 1766.",3
"Collins, Arthur, 1682?-1760.",4
"Hare, Francis, 1671-1740. Townshend, Charles Townshend, Viscount, 1674-1738.",1
"Burrish, Onslow.",2
"Penn, John, 1760-1834.",3
"Sotheby, William, 1757-1833.",2
"Mainvilliers, Genu-Soalhat, chevalier de, d. 1776.",1
"Leslie, Charles, 1650-1722.",8
"Goldsmith, Oliver, 1730?-1774.",10
"Sterne, Laurence, 1713-1768.",37
"Pye, Henry James, 1745-1813.",5
"Dodsley, Robert, 1703-1764.",16
"Irwin, Eyles, 1751?-1817.",5
"Anderson, James, 1739-1808, Biodiversity Heritage Library.",41
"Bonner, James, writer on bee-keeping.",3
"Vanière, J. 1664-1739.",1
"Bell, John, 1745-1831.",2
"Shakespeare, William, 1564-1616.",101
"Bengel, Johann Albrecht, 1687-1752.",1
"Ashe, Simeon, d. 1662.",1
"Rede, Leman Thomas, 1754 or 5-1810.",1
"Haywood, Thomas, 1678-1746. Parker, Samuel, 1681-1730.",1
"Tyrrell, James, 1642-1718.",1
"Nichols, John, 1745-1826.",12
"Baker, David Erskine, 1730-1767.",1
"Campbell, John, 1708-1775.",14
"Charnock, John, 1756-1807.",12
"Martin, Benjamin, 1705-1782.",14
"Harwood, Edward, 1729-1794.",3
"Foot, T. (Thomas), Adolphus, John, 1768-1845,",2
Society of gentlemen,2
"Granger, James, 1723-1776.",9
"Beckford, William, 1760-1844.",1
"Adolphus, John, 1768-1845.",5
"Bion, of Phlossa near Smyrna",1
"Burges, James Bland, Sir, 1752-1824.",1
"Burnet, Gilbert, 1643-1715.",13
"Hacket, John, 1592-1670.",1
"Law, William, 1686-1761.",12
"Wake, William, 1657-1737.",2
"Stillingfleet, Edward, 1635-1699.",4
"Parker, Samuel, 1640-1688.",3
"Cobbett, William, 1763-1835.",1
"D'Alenzon, Monsr.",2
Church of England.,4
"Scott, Thomas, 1705-1775.",1
"Digges, Leonard, d. 1571?",1
"Gidde, Walter.",1
"Ridpath, George, 1717?-1772.",1
"Boyer, Abel, 1667-1729.",18
"Jephson, Robert, 1736-1803.",3
"Dunkin, William, 1709?-1765.",1
"Bale, John, 1495-1563.",1
"Besse, Joseph, 1683?-1757.",3
"Stebbing, Henry, 1687-1763.",2
"Dinmore, Richard, 1765-1811.",3
"Owen, John, 1616-1683.",3
"MacCurtin, Hugh, 1680?-1755.",1
"Tucker, Josiah, 1712-1799.",10
"Rose, George, 1744-1818.",1
"Lewis, John, fl. 1759.",1
"Crosby, Thomas, 1685?-1750?",1
"Defoe, Daniel, 1661?-1731.",63
"Jerningham, Mr. (Edward), 1737?-1812. Cowley, Mrs. (Hannah), 1743-1809 Merry, Robert, 1755-1798.",2
"Nichols, Francis, 18th cent.",2
"Sheridan, Thomas, 1719-1788.",8
"Justice, James, Sir.",1
"Hayward, Thomas, Sir, 1743-1799.",2
"Piozzi, Hester Lynch, 1741-1821.",5
"Fenning, Daniel.",4
"Philips, Ambrose, 1674-1749.",3
"Smollett, T. (Tobias), 1721-1771,",1
"Feilding, Charles John.",1
"Barbour, John, d. 1395.",4
"Harvey, John, fl. 1702-1729.",2
"Jacob, Hildebrand, 1693-1739.",1
"Hartley, David, 1732-1813.",1
"Bullokar, William, fl. 1586.",1
"Drub. Thomas, H., bookseller, fl. 1790. Dibdin, Charles, 1745-1814. Literary Association.",1
"Caesar, Julius.",2
"Sallust, 86-34 B.C.",1
"Dale, W.",1
"Ayloffe, Joseph, Sir, 1709-1781.",1
"Mulso, Thomas.",1
"Burney, Fanny, 1752-1840.",1
"Barton, Thomas.",1
"Monk, J.,",1
"Maseres, Francis, 1731-1824.",5
Friend of Great Britain.,1
"Rimius, Henry, d. ca. 1757.",2
"Dent, John, fl. 1782-1795.",1
"Clarke, Bernard.",1
"MacMahon, Thomas O'Brien, fl. 1777.",1
"West, Gilbert, 1703-1756.",7
"Nisbet, Richard.",1
"Titus, in Sandgate.",1
"Inglefield, John Nicholson, 1748-1828.",1
"Mason, William, 1725-1797.",16
"Arne, Thomas Augustine, 1710-1778.",1
"Cibber, Colley, 1671-1757.",3
"Whirlepool, E., pseud.?",1
"Barthélemy, J.-J. 1716-1795.",2
"Dyer, R.",1
"Montgomery, James William, Sir, 1721-1803.",1
"Hickes, George, 1642-1715.",3
"Donellan, John, d. 1781.",1
"Davies, David, 1742-1819.",1
"Barnes, Joshua, 1654-1712.",3
"Mauduit, Israel, 1708-1787.",1
"Hatzfeld, John Conrad Francis de.",1
"Manning, Robert, d. 1731.",2
"Spinckes, Nathaniel, 1654-1727",1
"Duché, Jacob, 1738-1798.",1
"La Calprenède, Gaultier de Coste, seigneur de, d. 1663.",3
"Elyot, Thomas, Sir, 1490?-1546.",1
"Thomson, James, 1700-1748.",7
"Whalley, Thomas Sedgwick, 1746-1828.",2
"Radcliffe, Ann Ward, 1764-1823.",10
"Annesley, Samuel, 1620?-1696.",4
"Van der Doort, Abraham, d. 1640.",1
"Osborne, Thomas, bookseller, London.",1
"Clavell, Robert, d. 1711.",3
"Stockdale, John, 1749?-1814.",4
"Wedgwood, Josiah, 1730-1795.",1
"Bromley, Henry, b. 1750.",1
"Marchant, Nathaniel.",1
"Casley, David, fl. 1734.",2
"Boydell, John, 1719-1804.",1
"Oxford, Edward Harley, Earl of, 1689-1741.",8
"Bulkley, Charles, 1719-1797.",1
"Hill, Samuel, 1648-1716.",1
"Mumford, J. 1606-1666.",1
"Allen, William, fl. 1653-1676.",1
"Jonson, Ben, 1573?-1637.",12
"Cicero, Marcus Tullius.",17
"Trenchard, John, 1662-1723.",8
"Sheldrake, Timothy, the elder.",2
"Allestree, Richard, 1619-1681,",2
"Benezet, Anthony, 1713-1784.",2
"Barnett, Thomas, b. ca. 1677.",1
"Hornby, Charles, d. 1739.",1
"Gulliver, Martin, pseud.",1
"Man, James, ca. 1700-1761.",1
"Young, Edward, 1683-1765.",12
"La Motte, M. de 1672-1731.",2
"Somerville, William, 1675-1742.",3
"Halifax, George Savile, Marquis of, 1633-1695.",3
"Bohun, Edmund, 1645-1699.",3
"Shaftesbury, Anthony Ashley Cooper, Earl of, 1671-1713.",12
"Ristell, Adolf Fredrick, 1744-1829.",3
"Chesterfield, Philip Dormer Stanhope, Earl of, 1694-1773.",3
"Clarendon, Edward Hyde, Earl of, 1609-1674.",4
"Onely, Richard, 1723-1787.",1
"Whitehead, William, 1715-1785.",10
"Hawarden, Edward, 1662-1735.",1
"Kingston upon Thames (London, England).",1
"Elhuyar, Juan José de.",1
"Ellis, William, ca. 1700-1758.",2
"Bates, Ely.",1
"Braddick, Walter. Higgins, Nathaniel. Furley, J. Dennis.",2
"Aglionby, William, d. 1705.",1
"Vida, Marco Girolamo, ca. 1485-1566.",3
"Newton, John, 1725-1807.",7
"Norris, John, 1657-1711.",9
"Brown, John, 1722-1787.",2
"Robinson, Nicholas, 1697?-1775.",1
"Labilliere, Peter,",1
"Brevint, Daniel, 1616-1695.",1
"Drelincourt, Charles, 1595-1669.",2
"Stanhope, George, 1660-1728. Thomas, à Kempis, 1380-1471.",1
"Orton, Job, 1717-1783.",1
"Hobson, Thomas, b. 1713 or 14.",1
"Pagitt, Ephraim, 1574 or 5-1647.",1
"Coles, Elisha, 1640?-1680.",1
"Francke, August Hermann, 1663-1727.",2
"Heath, James, 1629-1664.",1
"Fleetwood, William, 1656-1723.",1
"Smith, John, 1747-1807.",4
"Dobson, John, fl. 1760.",1
"Jackson, John, 1686-1763.",13
"Falconer, Thomas, 1738-1792.",1
"Marshall, Benjamin, b. 1682 or 3.",1
"Newton, Isaac, 1642-1727.",5
"Johnstone, Charles, 1719?-1800?",11
"S. N., Esquire.",1
"Trapp, Joseph, 1679-1747.",5
"Gilbert, John.",1
"R. H., 1609-1678.",2
"Philo Strategos, pseud.",1
"Churchyard, Thomas, 1520?-1604.",8
"Philips, John, 1676-1709.",4
"Gelli, Giovanni Battista, 1498-1563.",3
"Jones, Rowland, 1722-1774.",3
"Jacob, Giles, 1686-1744.",4
"Harvey, Gideon, 1640?-1700?",1
"Boswell, Edward, 1760-1842.",1
"Giannone, Pietro, 1676-1748.",3
"Colman, George, 1732-1794.",20
"Parsons, John.",1
"Ward, John, of Chester.",8
"Smith, Joseph, 1670-1756.",1
"Milner, John, 1752-1826.",2
"Ussher, James, 1720-1772.",1
"Smyth, Philip.",1
"White, Stephen, b. 1696 or 7.",3
"Parkinson, Anthony, 1667-1728",1
"[Gutch, John] 1746-1831.",1
"Dalzel, Andrew",2
"Debrett, John, -1822,",1
"Johnson, John, 1662-1725.",2
"Gough, Richard, 1735-1809. Nichols, John, 1745-1826.",1
Church of Scotland.,4
"Hearne, Thomas, 1678-1735.",3
"Dalrymple, James, d. 1791 Dalrymple, Alexander, 1737-1808.",1
"Aubin, Penelope, 1679-1731.",2
"Fordyce, James, 1720-1796.",1
Bedford Level Corporation.,1
"Howard, Leonard, 1699?-1767.",2
"Lilly, John.",2
"Aulnoy, Madame d' 1650 or 51-1705.",7
"Griffith, Mrs. 1720?-1793.",3
"Carte, Thomas, 1686-1754.",3
"Kelly, Isabella.",1
"Dodsley, Robert, 1704-1764,",6
"Dodsley, Robert, 1704-1764",5
"Dodsley, Robert, 1703-1764,",12
"Thompson, Isaac.",1
"Whyte, Samuel, 1733-1811.",1
"Bolingbroke, Henry St. John, Viscount, 1678-1751.",33
"Barba, Alvaro Alonso, 1569-",1
"Ruddiman, Walter, 1719-1781.",2
"Palmer, Charles, Deputy Serjeant of the House of Commons.",2
"Cervantes Saavedra, Miguel de, 1547-1616.",2
"Locke, John, 1632-1704.",12
"Tavernier, Jean-Baptiste, 1605-1689.",1
"Adams, John, 1735-1826.",9
London Yearly Meeting (Society of Friends),1
Christian politician.,1
"Mendez, Moses, d. 1758.",3
"Troward, Richard.",1
"Chalkley, Thomas, 1675-1741.",1
"Womock, Laurence, 1612-1685. Potter, Christopher, 1591-1646. Plaifere, John, d. 1608. Goad, Thomas, 1576-1638.",1
"Chubb, Thomas, 1679-1747.",7
"Emlyn, Thomas, 1663-1741.",1
"Churchill, Awnsham, d. 1728.",1
"Cook, James, 1728-1779.",14
Massachusetts Historical Society.,8
"Colliber, Samuel, fl. 1718-1737.",3
"Plautus, Titus Maccius.",11
Terence.,3
"Maconochie, I. Molière, 1622-1673. Marivaux, Pierre Carlet de Chamblain de, 1688-1763. Destouches, Néricault, 1680-1754 Foote, Samuel, 1720-1777.",5
"Le Sage, Alain René, 1668-1747.",4
"Wilson, James, 1742-1798.",1
"Blackstone, William, Sir, 1723-1780.",8
"Pareus, David, 1548-1622.",1
"Lowth, William, 1660-1732.",2
"Patrick, Simon, 1626-1707.",3
"Brissot de Warville, J.-P. 1754-1793.",7
"Lewis, William, 1708-1781.",2
"Nalson, John, 1638?-1686.",1
"Robinson, Christopher, fl. 1755.",1
"Harrington, James, 1611-1677.",5
"Gregory, John, 1724-1773.",1
"Brent, Charles.",1
"Hoste, Paul, 1652-1700.",1
"Bancks, John, 1709-1751.",8
"Rowning, J. 1701?-1771.",6
"Wright, James, 1643-1713.",1
"Philipps, J. T. d. 1755.",2
"Anville, Jean Baptiste Bourguignon d', 1697-1782.",4
"Ostervald, Jean Frédéric, 1663-1747.",2
"Hope, John Thomas.",1
"Jeake, Samuel, 1623-1690.",1
"Ray, John, 1627-1705,",1
"Bailey, N. d. 1742.",4
"Maffei, Scipione, marchese, 1675-1755.",2
"Ray, James, b. 1700?",1
"[Freschot, Casimir] 1640?-1720.",2
"Hawney, William.",3
"Varenius, Bernhardus, 1622-1650.",2
"Patoun, Archibald.",2
"Clarke, Thomas, accountant.",1
"Gildon, Charles, 1665-1724.",5
"Wilkes, John, 1725-1797.",6
"Milton, John, 1608-1674.",19
"Danet, Pierre, approximately 1650-1709.",1
"Wesley, John, 1703-1791.",9
"Henry, David, 1710-1792.",1
"Cooke, Samuel.",1
"Abercrombie, John, 1726-1806.",2
"Wildman, Daniel, fl. 1772-1812.",3
"White, William, of Shutford.",1
"Morgan, J., fl. 1739.",2
"Seymour, Edward, Sir, 1633-1708.",1
"Crull, J. d. 1713?",1
"Burchett, Josiah, 1666?-1746.",3
"Richardson, Joseph, 1755-1803.",4
"Mordant, John.",4
"Breaks, Thomas.",1
"Sadler, Thomas.",1
"Cavallo, Tiberius, 1749-1809.",4
"Macgregor, John, teacher of mathematics.",1
"Crouch, Henry, d. 1732.",2
"Buckler, Benjamin, 1718-1780.",1
"Ambrose, Isaac, 1604-1664.",2
"Melrose, A.",1
"Sherlock, Thomas, 1678-1761.",9
"Scott, Major 1747-1819.",10
"Toulmin, Joshua, 1740-1815.",1
"Wallace, Lady d. 1803.",1
"Hervey, John Hervey, Baron, 1696-1743.",2
"Stevenson, William.",1
"Ford, Simon, 1619?-1699.",1
"Davy, Charles, 1722-1797",1
"Thornton, Bonnell, 1724-1768. Colman, George, 1732-1794.",5
"Colman, George, 1732-1794. Thornton, Bonnell, 1724-1768.",4
"Ockley, Simon, 1678-1720.",5
"Gibson, William, 1745-1821.",1
"Brand, John, 1744-1806.",3
"Webster, W. 1689-1758.",3
"Dagge, Henry.",3
"Bolts, Willem, 1740?-1808.",1
"Phillips, Catherine Payton, 1727-1794.",1
"Langrishe, Hercules, Sir, 1731-1811.",1
"Grenville, William Wyndham Grenville, Baron, 1759-1834.",1
"Rokeby, Matthew Robinson-Morris, Baron, 1713-1800.",1
"Mallet du Pan, M. 1749-1800.",1
"Calonne, M. de 1734-1802.",1
"Stuart, Andrew, 1725-1801.",4
"Sturges, John, 1736-1807.",1
"Law, Edmund, 1703-1787.",3
"O'Connor, Mr.",1
"King, Edward.",1
"Nugent, Robert Craggs Nugent, Earl, 1702?-1788",1
"Claparède, David, 1727-1801.",1
"Boethius, d. 524.",1
"Mathews, Charles, Mrs., d. 1802.",4
"Whittel, John.",1
"Stockdale, Percival, 1736-1811.",3
"Lolme, Jean Louis de, 1740-1806.",4
"Hale, Matthew, Sir, 1609-1676.",6
"Tindal, N. 1687-1774.",15
"Calamy, Edmund, 1671-1732.",5
Incorporated Society in Dublin for Promoting English Protestant Schools in Ireland.,1
"Knox, William, 1732-1810.",2
"Gerrald, Joseph, 1763-1796.",2
"Lettice, John, 1737-1832.",1
"Edwards, Samuel, b. 1702.",1
"Leeds, Thomas Osborne, Duke of, 1631-1712.",1
"Garrard, William.",1
"Nepos, Cornelius.",1
"Vanbrugh, John, Sir, 1664-1726.",1
"Macartney, George Macartney, Earl, 1737-1806.",1
"Massey, W.",1
"Tucker, Abraham, 1705-1774.",2
"Helsham, Richard, 1682?-1738.",1
"Doddridge, Philip, 1702-1751.",6
"Sliford, Wililam.",1
"Thompson, Edward, 1738?-1786.",1
"Castiglione, Baldassarre, conte, 1478-1529.",1
"Gracián y Morales, Baltasar, 1601-1658.",3
"Pulteney, William, Earl of Bath, 1684-1764. Bolingbroke, Henry St. John, Viscount, 1678-1751. Amhurst, N. (Nicholas), 1697-1742.",14
"Nivardus, 12th cent.",1
"Hall-Stevenson, John, 1718-1785.",7
"Blackmore, Richard, Sir, d. 1729.",3
"Dove, John, d. 1772.",1
"Maurice, Thomas, 1754-1824.",19
"Moore, Samuel.",1
"Linguet, Simon Nicolas Henri, 1736-1794.",1
"Macpherson, John, 1710-1765.",2
"Salmon, Thomas, 1679-1767.",3
"Pasquin, Anthony, 1761-1818.",4
"[Ralph, James] d. 1762.",1
"Waterland, Daniel, 1683-1740.",3
"Simon, Richard, 1638-1712.",1
"Sainte-Croix, Guillaume-Emmanuel-Joseph Guilhem de Clermont-Lodève, baron de, 1746-1809.",1
"Towne, John, 1711-1791",1
