author_name,last_name,first_name,title,birthdate,deathdate,count,fraction_total
"Greene, Robert, 1558-1592.",Greene,Robert,,1558,1592,104,0.001088413
Scotland.,,Scotland,,,,103,0.001077947
Ireland. Lords Justices and Council.,Ireland,Lords Justices and Council,,,,103,0.001077947
"Breton, Nicholas, 1545-1626",Breton,Nicholas,,1545,1626,99,0.001036085
"Quarles, Francis, 1592-1644.",Quarles,Francis,,1592,1644,97,0.001015154
"Calvin, Jean, 1509-1564.",Calvin,Jean,,1509,1564,93,0.000973292
"Preston, John, 1587-1628.",Preston,John,,1587,1628,93,0.000973292
M. P. d. 1656,P,M,,,1656,93,0.000973292
"Dent, Arthur, d. 1607.",Dent,Arthur,,,1607,91,0.000952361
"D'Urfey, Thomas, 1653-1723.",D'Urfey,Thomas,,1653,1723,91,0.000952361
"Mather, Cotton, 1663-1728.",Mather,Cotton,,1663,1728,91,0.000952361
"Heywood, Thomas, d. 1641.",Heywood,Thomas,,,1641,90,0.000941896
"Erasmus, Desiderius, d. 1536.",Erasmus,Desiderius,,,1536,89,0.00093143
"Hammond, Henry, 1605-1660.",Hammond,Henry,,1605,1660,86,0.000900033
"Speed, John, 1552-1629.",Speed,John,,1552,1629,85,0.000889568
Scotland. Parliament.,Scotland,Parliament,,,,85,0.000889568
"Dering, Edward, 1540-1576.",Dering,Edward,,1540,1576,84,0.000879102
"Lily, William, 1468-1522.",Lily,William,,1468,1522,83,0.000868637
England and Wales. Sovereign (1694-1702 : William III),Sovereign,William III,,1694,1702,82,0.000858171
"Heylyn, Peter, 1600-1662.",Heylyn,Peter,,1600,1662,81,0.000847706
"Hieron, Samuel, 1576-1617.",Hieron,Samuel,,1576,1617,81,0.000847706
England and Wales. Lord Protector (1653-1658 : O. Cromwell),Lord Protector,Oliver Cromwell,,1653,1658,79,0.000826775
"Keith, George, 1639-1716.",Keith,George,,1639,1716,78,0.000816309
"Becon, Thomas, 1512-1567.",Becon,Thomas,,1512,1567,76,0.000795378
"Whitehead, George, 1636-1723.",Whitehead,George,,1636,1723,75,0.000784913
City of London (England). Court of Common Council.,City of London (England),Court of Common Council,,,,74,0.000774447
"William III, King of England, 1650-1702.",King of England,William III,,1650,1702,73,0.000763982
"Dekker, Thomas,1572-1632.",Dekker,Thomas,,1572,1632,71,0.000743051
England and Wales. Privy Council.,England and Wales,Privy Council,,,,70,0.000732585
"Behn, Aphra, 1640-1689.",Behn,Aphra,,1640,1689,69,0.00072212
"Broughton, Hugh, 1549-1612.",Broughton,Hugh,,1549,1612,69,0.00072212
"Bernard, Richard, 1568-1641.",Bernard,Richard,,1568,1641,68,0.000711654
"Dod, John, 1549-1645.",Dod,John,,1549,1645,68,0.000711654
"Settle, Elkanah, 1648-1724.",Settle,Elkanah,,1648,1724,68,0.000711654
"Reynolds, Edward, 1599-1676.",Reynolds,Edward,,1599,1676,66,0.000690723
"Howell, James, 1594-1666.",Howell,James,,1594,1666,65,0.000680258
"Fuller, Thomas, 1608-1661.",Fuller,Thomas,,1608,1661,64,0.000669792
"Pym, John, 1584-1643.",Pym,John,,1584,1643,64,0.000669792
"Younge, Richard.",Younge,Richard,,,,64,0.000669792
Person of quality.,,Person of quality,,,,63,0.000659327
"Ovid, 43 B.C.-17 or 18 A.D.",,Ovid,, 43 B.C.,17 or 18 A.D.,63,0.000659327
Church of Scotland. General Assembly. Commission.,Church of Scotland,General Assembly Commission,,,,63,0.000659327
Church of Scotland. General Assembly.,Church of Scotland,General Assembly,,,,63,0.000659327
"Smith, William, d. 1673.",Smith,William,,,1673,62,0.000648861
Scotland. Convention of Estates.,Scotland,Convention of Estates,,,,62,0.000648861
"Burrough, Edward, 1634-1662.",Burrough,Edward,,1634,1662,61,0.000638396
"Gadbury, John, 1627-1704.",Gadbury,John,,1627,1704,60,0.00062793
"Goodwin, Thomas, 1600-1680.",Goodwin,Thomas,,1600,1680,60,0.00062793
"Owen, John, 1616-1683.",Owen,John,,1616,1683,59,0.000617465
"Williams, John, 1636-1709.",Williams,John,,1636,1709,59,0.000617465
"Sibbes, Richard, 1577-1635.",Sibbes,Richard,,1577,1635,58,0.000606999
"Culpeper, Nicholas, 1616-1654.",Culpeper,Nicholas,,1616,1654,57,0.000596534
"Keach, Benjamin, 1640-1704.",Keach,Benjamin,,1640,1704,57,0.000596534
"Tate, Nahum, 1652-1715.",Tate,Nahum,,1652,1715,57,0.000596534
England and Wales. Sovereign (1509-1547 : Henry VIII),Sovereign,Henry VIII,,1509,1547,55,0.000575603
"Brooks, Thomas, 1608-1680.",Brooks,Thomas,,1608,1680,54,0.000565137
"Comber, Thomas, 1645-1699.",Comber,Thomas,,1645,1699,54,0.000565137
"Cotton, John, 1584-1652.",Cotton,John,,1584,1652,54,0.000565137
City of London (England).,,City of London (England),,,,54,0.000565137
"Beverley, Thomas.",Beverley,Thomas,,,,53,0.000554672
"Scott, Thomas, 1580-1626.",Scott,Thomas,,1580,1626,53,0.000554672
"Stephens, Edward, d. 1706.",Stephens,Edward,,,1706,53,0.000554672
"R. B., 1632-1725",B,R,,1632,1725,52,0.000544206
England and Wales. Sovereign (1547-1553 : Edward VI),Sovereign,Edward VI,,1547,1553,52,0.000544206
"Milton, John, 1608-1674.",Milton,John,,1608,1674,51,0.000533741
"Shirley, James, 1596-1666.",Shirley,James,,1596,1666,51,0.000533741
"Strafford, Thomas Wentworth, Earl of, 1593-1641.",Wentworth,Thomas,,1593,1641,51,0.000533741
"Burton, Henry, 1578-1648.",Burton,Henry,,1578,1648,50,0.000523275
"Mather, Increase, 1639-1723.",Mather,Increase,,1639,1723,50,0.000523275
"Penington, Isaac, 1616-1679.",Penington,Isaac,,1616,1679,50,0.000523275
"Rowlands, Samuel, 1570-1630",Rowlands,Samuel,,1570,1630,50,0.000523275
"Lilly, William, 1602-1681.",Lilly,William,,1602,1681,49,0.00051281
"Lloyd, William, 1627-1717.",Lloyd,William,,1627,1717,49,0.00051281
"Norden, John, 1548-1625",Norden,John,,1548,1625,49,0.00051281
"Stafford, Richard, 1663-1703.",Stafford,Richard,,1663,1703,49,0.00051281
University of Oxford.,,University of Oxford,,,,49,0.00051281
"Burroughs, Jeremiah, 1599-1646.",Burroughs,Jeremiah,,1599,1646,48,0.000502344
"Donne, John, 1572-1631.",Donne,John,,1572,1631,48,0.000502344
"Gauden, John, 1605-1662.",Gauden,John,,1605,1662,48,0.000502344
Catholic Church.,,Catholic Church,,,,48,0.000502344
"Byfield, Nicholas, 1579-1622.",Byfield,Nicholas,,1579,1622,47,0.000491879
"Elyot, Thomas, Sir, 1490-1546.",Elyot,Thomas,,1490,1546,47,0.000491879
"Drayton, Michael, 1563-1631.",Drayton,Michael,,1563,1631,46,0.000481413
"Gother, John, d. 1704.",Gother,John,,,1704,46,0.000481413
"Lyly, John, 1554-1606.",Lyly,John,,1554,1606,46,0.000481413
Scotland. Parliament. Committee of Estates.,Scotland,Parliament Committee of Estates,,,,46,0.000481413
Plutarch.,,Plutarch,,,,46,0.000481413
"Ainsworth, Henry, 1571-1622",Ainsworth,Henry,,1571,1622,45,0.000470948
"Du Moulin, Pierre, 1568-1658.",Du Moulin,Pierre,,1568,1658,45,0.000470948
"Eleanor, Lady, d. 1652.",Eleanor,Lady,,,1652,45,0.000470948
"Harris, Robert, 1581-1658.",Harris,Robert,,1581,1658,45,0.000470948
"Andrewes, Lancelot, 1555-1626.",Andrewes,Lancelot,,1555,1626,44,0.000460482
"Naylor, James, 1617-1660.",Naylor,James,,1617,1660,44,0.000460482
"Ussher, James, 1581-1656.",Ussher,James,,1581,1656,44,0.000460482
England and Wales. Sovereign (1553-1558 : Mary I),Sovereign,Mary I,,1553,1558,44,0.000460482
England and Wales. Parliament. House of Lords.,England and Wales,Parliament House of Lords,,,,44,0.000460482
"Parsons, Robert, 1546-1610.",Parsons,Robert,,1546,1610,42,0.000439551
"Stanbridge, John, 1463-1510.",Stanbridge,John,,1463,1510,42,0.000439551
L. P. fl. 1625-1680,Price,Laurence,,fl. 1625,1680,41,0.000429086
England and Wales. Army.,England and Wales,Army,,,,41,0.000429086
"Brathwaite, Richard, 1588-1673.",Brathwaite,Richard,,1588,1673,40,0.00041862
"Bullinger, Heinrich, 1504-1575.",Bullinger,Heinrich,,1504,1575,40,0.00041862
"Jordan, Thomas, 1612-1685",Jordan,Thomas,,1612,1685,40,0.00041862
"Middleton, Thomas, d. 1627.",Middleton,Thomas,,,1627,40,0.00041862
"Bèze, Théodore de, 1519-1605.",de Bèze,Théodore,,1519,1605,39,0.000408155
"Lilburne, John, 1614-1657.",Lilburne,John,,1614,1657,39,0.000408155
"Taylor, Thomas, 1576-1632.",Taylor,Thomas,,1576,1632,39,0.000408155
"Bentley, Richard, 1662-1742.",Bentley,Richard,,1662,1742,38,0.000397689
"Gataker, Thomas, 1574-1654.",Gataker,Thomas,,1574,1654,38,0.000397689
"Partridge, John, 1644-1715.",Partridge,John,,1644,1715,38,0.000397689
"Ward, Samuel, 1577-1640.",Ward,Samuel,,1577,1640,38,0.000397689
Ireland.,,Ireland,,,,38,0.000397689
Church of Scotland.,,Church of Scotland,,,,38,0.000397689
"Boys, John, 1571-1625.",Boys,John,,1571,1625,37,0.000387224
"Fenner, William, 1600-1640.",Fenner,William,,1600,1640,37,0.000387224
"Gifford, George, 1547 or 8-1600.",Gifford,George,, 1547 or 8,1600,37,0.000387224
"Leslie, Charles, 1650-1722.",Leslie,Charles,,1650,1722,37,0.000387224
"Lydgate, John, 1370-1451",Lydgate,John,,1370,1451,37,0.000387224
Ireland. Lord Lieutenant (1672-1677 : Essex),Lord Lieutenant,Essex,,1672,1677,37,0.000387224
"Cleveland, John, 1613-1658.",Cleveland,John,,1613,1658,36,0.000376758
"Charles I, King of England, 1600-1649.",King of England,Charles I,,1600,1649,36,0.000376758
"James I, King of England, 1566-1625.",King of England,James I,,1566,1625,36,0.000376758
"Shadwell, Thomas, 1642-1692.",Shadwell,Thomas,,1642,1692,36,0.000376758
"Tryon, Thomas, 1634-1703.",Tryon,Thomas,,1634,1703,36,0.000376758
"Ward, Edward, 1667-1731.",Ward,Edward,,1667,1731,36,0.000376758
"Bayly, Lewis, d. 1631.",Bayly,Lewis,,,1631,35,0.000366293
"Bullord, John.",Bullord,John,,,,35,0.000366293
"Churchyard, Thomas, 1520-1604.",Churchyard,Thomas,,1520,1604,35,0.000366293
"Cowper, William, 1568-1619.",Cowper,William,,1568,1619,35,0.000366293
"Goodwin, John, 1594-1665.",Goodwin,John,,1594,1665,35,0.000366293
"Nalson, John, 1638-1686.",Nalson,John,,1638,1686,35,0.000366293
"Raleigh, Walter, Sir, 1552-1618.",Raleigh,Walter,,1552,1618,35,0.000366293
"Rich, Barnabe, 1540-1617.",Rich,Barnabe,,1540,1617,35,0.000366293
"Mackenzie, George, Sir, 1636-1691.",Mackenzie,George,,1636,1691,34,0.000355827
"Ogilby, John, 1600-1676.",Ogilby,John,,1600,1676,34,0.000355827
"Smith, Humphrey, d. 1663.",Smith,Humphrey,,,1663,34,0.000355827
R. F. d. 1666.,F,R,,,1666,34,0.000355827
Poor Robin.,,Poor Robin,,,,34,0.000355827
"Böhme, Jakob, 1575-1624.",B”hme,Jakob,,1575,1624,33,0.000345362
"Bugg, Francis, 1640-1724",Bugg,Francis,,1640,1724,33,0.000345362
"Flavel, John, 1630-1691.",Flavel,John,,1630,1691,33,0.000345362
"Hardy, Nathaniel, 1618-1670.",Hardy,Nathaniel,,1618,1670,33,0.000345362
"Sheppard, William, d. 1675",Sheppard,William,,,1675,33,0.000345362
"Tyndale, William, d. 1536.",Tyndale,William,,,1536,33,0.000345362
R. F. H. 16th cent.,,R F H 16th cent,,,,33,0.000345362
Company of Scotland Trading to Africa and the Indies.,,Company of Scotland Trading to Africa and the Indies,,,,33,0.000345362
"Clarke, Samuel, 1599-1682.",Clarke,Samuel,,1599,1682,32,0.000334896
"Cocker, Edward, 1631-1675.",Cocker,Edward,,1631,1675,32,0.000334896
"Hooker, Thomas, 1586-1647.",Hooker,Thomas,,1586,1647,32,0.000334896
"Love, Christopher, 1618-1651.",Love,Christopher,,1618,1651,32,0.000334896
"Luther, Martin, 1483-1546.",Luther,Martin,,1483,1546,32,0.000334896
"Smith, Samuel, 1588-1665.",Smith,Samuel,,1588,1665,32,0.000334896
"Beaumont, Francis, 1584-1616.",Beaumont,Francis,,1584,1616,31,0.000324431
"Coke, Edward, Sir, 1552-1634.",Coke,Edward,,1552,1634,31,0.000324431
"Pelling, Edward, d. 1718.",Pelling,Edward,,,1718,31,0.000324431
"Pond, Edward, d. 1629.",Pond,Edward,,,1629,31,0.000324431
"Weemes, John, 1579-1636.",Weemes,John,,1579,1636,31,0.000324431
Westminster Assembly (1643-1652),,Westminster Assembly (1643-1652),,,,31,0.000324431
"Bray, Thomas, 1658-1730.",Bray,Thomas,,1658,1730,30,0.000313965
"Fulke, William, 1538-1589.",Fulke,William,,1538,1589,30,0.000313965
"Glanvill, Joseph, 1636-1680.",Glanvill,Joseph,,1636,1680,30,0.000313965
"Marvell, Andrew, 1621-1678.",Marvell,Andrew,,1621,1678,30,0.000313965
"Albemarle, George Monck, Duke of, 1608-1670.",Monck,George,,1608,1670,30,0.000313965
"Tenison, Thomas, 1636-1715.",Tenison,Thomas,,1636,1715,30,0.000313965
"Wake, William, 1657-1737.",Wake,William,,1657,1737,30,0.000313965
"Wild, Robert, 1609-1679.",Wild,Robert,,1609,1679,30,0.000313965
"Fox, George, d. 1661.",Fox,George,,,1661,29,0.0003035
"Rudyerd, Benjamin, Sir, 1572-1658.",Rudyerd,Benjamin,,1572,1658,29,0.0003035
"Skelton, John, 1460-1529.",Skelton,John,,1460,1529,29,0.0003035
J. P. d. 1671,,J P d 1671,,,,29,0.0003035
"Ames, Richard, d. 1693.",Ames,Richard,,,1693,28,0.000293034
"Bale, John, 1495-1563.",Bale,John,,1495,1563,28,0.000293034
"Booker, John, 1603-1667.",Booker,John,,1603,1667,28,0.000293034
"Mornay, Philippe de, seigneur du Plessis-Marly, 1549-1623.",de Mornay,Philippe,,1549,1623,28,0.000293034
"Fitzherbert, Anthony, Sir, 1470-1538.",Fitzherbert,Anthony,,1470,1538,28,0.000293034
"Gouge, Thomas, 1605-1681.",Gouge,Thomas,,1605,1681,28,0.000293034
"Hale, Matthew, Sir, 1609-1676.",Hale,Matthew,,1609,1676,28,0.000293034
"Charles II, King of England, 1630-1685.",King of England,Charles II,,1630,1685,28,0.000293034
"Salmon, William, 1644-1713.",Salmon,William,,1644,1713,28,0.000293034
"Venning, Ralph, 1621-1674.",Venning,Ralph,,1621,1674,28,0.000293034
"Whately, William, 1583-1639.",Whately,William,,1583,1639,28,0.000293034
"Chamberlayne, Edward, 1616-1703.",Chamberlayne,Edward,,1616,1703,27,0.000282569
"Crook, John, 1617-1699.",Crook,John,,1617,1699,27,0.000282569
"Dury, John, 1596-1680.",Dury,John,,1596,1680,27,0.000282569
"Lambarde, William, 1536-1601.",Lambarde,William,,1536,1601,27,0.000282569
"Spenser, Edmund, 1552-1599.",Spenser,Edmund,,1552,1599,27,0.000282569
"Wing, Vincent, 1619-1668.",Wing,Vincent,,1619,1668,27,0.000282569
Ireland. Lord Lieutenant (1661-1669 : Ormonde),,Ireland Lord Lieutenant (1661-1669 : Ormonde),,,,27,0.000282569
"Crimsal, Richard.",Crimsal,Richard,,,,26,0.000272103
"Hayward, John, Sir, 1564-1627.",Hayward,John,,1564,1627,26,0.000272103
"King, William, 1650-1729.",King,William,,1650,1729,26,0.000272103
"Lodge, Thomas, 1558-1625.",Lodge,Thomas,,1558,1625,26,0.000272103
"Millington, Edward, d. 1703.",Millington,Edward,,,1703,26,0.000272103
"Shepard, Thomas, 1605-1649.",Shepard,Thomas,,1605,1649,26,0.000272103
"Watson, Thomas, d. 1686.",Watson,Thomas,,,1686,26,0.000272103
"Ball, John, 1585-1640.",Ball,John,,1585,1640,25,0.000261638
"Brinsley, John, fl. 1581-1624.",Brinsley,John,, fl. 1581,1624,25,0.000261638
"Burgess, Daniel, 1645-1713.",Burgess,Daniel,,1645,1713,25,0.000261638
"Cromwell, Oliver, 1599-1658.",Cromwell,Oliver,,1599,1658,25,0.000261638
"Heywood, John, 1497-1580",Heywood,John,,1497,1580,25,0.000261638
"Hollyband, Claudius, 16th cent.",Hollyband,Claudius,, 16th cent.,,25,0.000261638
"Horneck, Anthony, 1641-1697.",Horneck,Anthony,,1641,1697,25,0.000261638
"Locke, John, 1632-1704.",Locke,John,,1632,1704,25,0.000261638
"Halifax, George Savile, Marquis of, 1633-1695.",Savile,George,,1633,1695,25,0.000261638
Ireland. Lord Lieutenant (1677-1685 : Ormonde),,Ireland Lord Lieutenant (1677-1685 : Ormonde),,,,25,0.000261638
"Adams, Thomas, fl. 1612-1653.",Adams,Thomas,, fl. 1612,1653,24,0.000251172
"Clapham, Henoch.",Clapham,Henoch,,,,24,0.000251172
"Daniel, Samuel, 1562-1619.",Daniel,Samuel,,1562,1619,24,0.000251172
"Guevara, Antonio de, Bp., d. 1545",de Guevara,Antonio,,,1545,24,0.000251172
"Downame, John, d. 1652.",Downame,John,,,1652,24,0.000251172
"Fairfax, Thomas Fairfax, Baron, 1612-1671.",Fairfax,Thomas,,1612,1671,24,0.000251172
"Fox, Margaret Askew Fell, 1614-1702.",Fox,Margaret Askew Fell,,1614,1702,24,0.000251172
"Hart, John, D.D.",Hart,John,,,,24,0.000251172
"Howgill, Francis, 1618-1669.",Howgill,Francis,,1618,1669,24,0.000251172
"Littleton, Thomas, Sir, d. 1481.",Littleton,Thomas,,,1481,24,0.000251172
"Mede, Joseph, 1586-1638.",Mede,Joseph,,1586,1638,24,0.000251172
"Seller, John, fl. 1658-1698.",Seller,John,, fl. 1658,1698,24,0.000251172
"Stow, John, 1525-1605.",Stow,John,,1525,1605,24,0.000251172
"Willet, Andrew, 1562-1621.",Willet,Andrew,,1562,1621,24,0.000251172
"Woodhouse, John.",Woodhouse,John,,,,24,0.000251172
J. S.,,J S,,,,24,0.000251172
England and Wales. Council of State.,,England and Wales Council of State,,,,24,0.000251172
England and Wales. Army. Council.,,England and Wales Army Council,,,,24,0.000251172
"Bolton, Robert, 1572-1631.",Bolton,Robert,,1572,1631,23,0.000240707
"Calamy, Edmund, 1600-1666.",Calamy,Edmund,,1600,1666,23,0.000240707
"Congreve, William, 1670-1729.",Congreve,William,,1670,1729,23,0.000240707
"Dove, Jonathan.",Dove,Jonathan,,,,23,0.000240707
"Evelyn, John, 1620-1706.",Evelyn,John,,1620,1706,23,0.000240707
"Fitzherbert, John, d. 1531.",Fitzherbert,John,,,1531,23,0.000240707
"Hickeringill, Edmund, 1631-1708.",Hickeringill,Edmund,,1631,1708,23,0.000240707
"Hickes, George, 1642-1715.",Hickes,George,,1642,1715,23,0.000240707
"Humfrey, John, 1621-1719.",Humfrey,John,,1621,1719,23,0.000240707
"James II, King of England, 1633-1701.",King of England,James II,,1633,1701,23,0.000240707
"Long, Thomas, 1621-1707.",Long,Thomas,,1621,1707,23,0.000240707
"Marana, Giovanni Paolo, 1642-1693.",Marana,Giovanni Paolo,,1642,1693,23,0.000240707
"Marshall, Stephen, 1594-1655.",Marshall,Stephen,,1594,1655,23,0.000240707
"Saunders, Richard, 1613-1675.",Saunders,Richard,,1613,1675,23,0.000240707
"Sprat, Thomas, 1635-1713.",Sprat,Thomas,,1635,1713,23,0.000240707
"Vines, Richard, 1600-1656.",Vines,Richard,,1600,1656,23,0.000240707
"Wharton, George, Sir, 1617-1681.",Wharton,George,,1617,1681,23,0.000240707
"Wilkins, John, 1614-1672.",Wilkins,John,,1614,1672,23,0.000240707
Ireland. Lord Deputy (1622-1629 : Falkland),,Ireland Lord Deputy (1622-1629 : Falkland),,,,23,0.000240707
"Chapman, George, 1559-1634.",Chapman,George,,1559,1634,22,0.000230241
"Chaucer, Geoffrey, d. 1400.",Chaucer,Geoffrey,,,1400,22,0.000230241
"Dade, William.",Dade,William,,,,22,0.000230241
"Holles, Denzil Holles, Baron, 1599-1680.",Holles,Denzil,,1599,1680,22,0.000230241
"Hooper, John, d. 1555.",Hooper,John,,,1555,22,0.000230241
"Hutton, Richard, Sir, 1561-1639.",Hutton,Richard,,1561,1639,22,0.000230241
"Janeway, James, 1636-1674.",Janeway,James,,1636,1674,22,0.000230241
"Latimer, Hugh, 1485-1555.",Latimer,Hugh,,1485,1555,22,0.000230241
"Neale, Thomas, d. 1699",Neale,Thomas,,,1699,22,0.000230241
"Ness, Christopher, 1621-1705.",Ness,Christopher,,1621,1705,22,0.000230241
"Neve, Jeffery, 1579-1654.",Neve,Jeffery,,1579,1654,22,0.000230241
"Parker, Henry, 1604-1652.",Parker,Henry,,1604,1652,22,0.000230241
"Saint German, Christopher, 1460-1540.",Saint German,Christopher,,1460,1540,22,0.000230241
"Sempill, Robert, 1530-1595.",Sempill,Robert,,1530,1595,22,0.000230241
"Southwell, Robert, Saint, 1561-1595.",Southwell,Robert,,1561,1595,22,0.000230241
J. C.,,J C,,,,22,0.000230241
England and Wales. Lords Justices.,,England and Wales Lords Justices,,,,22,0.000230241
"Bayly, William, d. 1675.",Bayly,William,,,1675,21,0.000219776
"Bishop, George, d. 1668.",Bishop,George,,,1668,21,0.000219776
"Bonner, Edmund, 1500-1569.",Bonner,Edmund,,1500,1569,21,0.000219776
"Collier, Thomas, fl. 1691.",Collier,Thomas,, fl. 1691.,,21,0.000219776
"Culverwell, Ezekiel, 1553 or 4-1631.",Culverwell,Ezekiel,, 1553 or 4,1631,21,0.000219776
"Dering, Edward, Sir, 1598-1644.",Dering,Edward,,1598,1644,21,0.000219776
"Essex, Robert Devereux, Earl of, 1591-1646.",Devereux,Robert,,1591,1646,21,0.000219776
"Fisher, John, Saint, 1469-1535.",Fisher,John,,1469,1535,21,0.000219776
"Jewel, John, 1522-1571.",Jewel,John,,1522,1571,21,0.000219776
"Vincent, Thomas, 1634-1678.",Vincent,Thomas,,1634,1678,21,0.000219776
Scotland. Sovereign (1625-1649 : Charles I),,Scotland Sovereign (1625-1649 : Charles I),,,,21,0.000219776
"Bagshaw, Edward, 1629-1671.",Bagshaw,Edward,,1629,1671,20,0.00020931
"Barrow, Isaac, 1630-1677.",Barrow,Isaac,,1630,1677,20,0.00020931
"Bates, William, 1625-1699.",Bates,William,,1625,1699,20,0.00020931
"Bell, Thomas, fl. 1593-1610.",Bell,Thomas,, fl. 1593,1610,20,0.00020931
"Collinges, John, 1623-1690.",Collinges,John,,1623,1690,20,0.00020931
"Crowley, Robert, 1518-1588.",Crowley,Robert,,1518,1588,20,0.00020931
"Deloney, Thomas, 1543-1600.",Deloney,Thomas,,1543,1600,20,0.00020931
"Doolittle, Thomas, 1632-1707.",Doolittle,Thomas,,1632,1707,20,0.00020931
"Johnson, Samuel, 1649-1703.",Johnson,Samuel,,1649,1703,20,0.00020931
"Nash, Thomas, 1567-1601.",Nash,Thomas,,1567,1601,20,0.00020931
"Pemble, William, 1592-1623.",Pemble,William,,1592,1623,20,0.00020931
"Sydenham, Humphrey, 1591-1650",Sydenham,Humphrey,,1591,1650,20,0.00020931
J. B.,,J B,,,,20,0.00020931
"Briscoe, John, fl. 1695.",Briscoe,John,, fl. 1695.,,19,0.000198845
"Chamberlen, Hugh.",Chamberlen,Hugh,,,,19,0.000198845
"Cicero, Marcus Tullius.",Cicero,Marcus Tullius,,,,19,0.000198845
"Bristol, George Digby, Earl of, 1612-1677.",Digby,George,,1612,1677,19,0.000198845
"Ferguson, Robert, d. 1714.",Ferguson,Robert,,,1714,19,0.000198845
"Lenthall, William, 1591-1662.",Lenthall,William,,1591,1662,19,0.000198845
"Lloyd, Lodowick, fl. 1573-1610.",Lloyd,Lodowick,, fl. 1573,1610,19,0.000198845
"Marston, John, 1575-1634.",Marston,John,,1575,1634,19,0.000198845
"Maynwaringe, Everard, 1628-1699",Maynwaringe,Everard,,1628,1699,19,0.000198845
"Rainolds, John, 1549-1607.",Rainolds,John,,1549,1607,19,0.000198845
"Walker, Clement, 1595-1651.",Walker,Clement,,1595,1651,19,0.000198845
"Butler, Samuel, 1612-1680.",Butler,Samuel,,1612,1680,18,0.000188379
"Care, Henry, 1646-1688.",Care,Henry,,1646,1688,18,0.000188379
"Defoe, Daniel, 1661-1731.",Defoe,Daniel,,1661,1731,18,0.000188379
"Hubberthorn, Richard, 1628-1662.",Hubberthorn,Richard,,1628,1662,18,0.000188379
"Phayer, Thomas, 1510-1560.",Phayer,Thomas,,1510,1560,18,0.000188379
"Playfere, Thomas, 1561-1609.",Playfere,Thomas,,1561,1609,18,0.000188379
"Powel, Gabriel, 1576-1611.",Powel,Gabriel,,1576,1611,18,0.000188379
"Record, Robert, 1510-1558.",Record,Robert,,1510,1558,18,0.000188379
