author_name,last_name,first_name,title,birthdate,deathdate,misc1,misc2,misc3,misc4,,misc5,count,fraction_total
"Cook, James, 1728-1779.",Cook,James,,1728,1779,,,,,,,14,0.001482737
"Tillotson, John, 1630-1694.",Tillotson,John,,1630,1694,,,,,,,14,0.001482737
"Campbell, John, 1708-1775.",Campbell,John,,1708,1775,,,,,,,14,0.001482737
"Marshall, Mr. 1745-1818.",Marshall,Mr,,1745,1818,,,,,,,14,0.001482737
"Shenstone, William, 1714-1763.",Shenstone,William,,1714,1763,,,,,,,14,0.001482737
"Churchill, Charles, 1731-1764.",Churchill,Charles,,1731,1764,,,,,,,13,0.001376827
"Hume, David, 1711-1776.",Hume,David,,1711,1776,,,,,,,13,0.001376827
"Beaumont, Francis, 1584-1616.",Beaumont,Francis,,1584,1616,,,,,,,13,0.001376827
"Berkeley, George, 1685-1753.",Berkeley,George,,1685,1753,,,,,,,13,0.001376827
"Burnet, Gilbert, 1643-1715.",Burnet,Gilbert,,1643,1715,,,,,,,13,0.001376827
"Jackson, John, 1686-1763.",Jackson,John,,1686,1763,,,,,,,13,0.001376827
"Warton, Joseph, 1722-1800.",Warton,Joseph,,1722,1800,,,,,,,13,0.001376827
"Ritson, Joseph, 1752-1803.",Ritson,Joseph,,1752,1803,,,,,,,13,0.001376827
"Butler, Samuel, 1612-1680.",Butler,Samuel,,1612,1680,,,,,,,13,0.001376827
"Guthrie, William, 1708-1770.",Guthrie,William,,1708,1770,,,,,,,13,0.001376827
"Maitland, William Fuller.",Maitland,William Fuller,,,,,,,,,,13,0.001376827
"Voltaire, 1694-1778.",,Voltaire,,1694,1778,,,,,,,13,0.001376827
Homer.,,Homer,,,,,,,,,,13,0.001376827
Plutarch.,,Plutarch,,,,,,,,,,13,0.001376827
"Shaftesbury, Anthony Ashley Cooper, Earl of, 1671-1713.",Cooper,Anthony Ashley,,1671,1713,,,,,,,12,0.001270917
"Jonson, Ben, 1573?-1637.",Jonson,Ben,, 1573?,1637,,,,,,,12,0.001270917
"Mallet, David, 1705?-1765.",Mallet,David,, 1705?,1765,,,,,,,12,0.001270917
"Young, Edward, 1683-1765.",Young,Edward,,1683,1765,,,,,,,12,0.001270917
"Bacon, Francis, 1561-1626.",Bacon,Francis,,1561,1626,,,,,,,12,0.001270917
"La Calprenède, Gaultier de Coste, seigneur de, d. 1663.",de Coste,Gaultier,,,1663,,,,,,,12,0.001270917
"Fielding, Henry, 1707-1754.",Fielding,Henry,,1707,1754,,,,,,,12,0.001270917
"Locke, John, 1632-1704.",Locke,John,,1632,1704,,,,,,,12,0.001270917
"Hutchinson, John, 1674-1737.",Hutchinson,John,,1674,1737,,,,,,,12,0.001270917
"Charnock, John, 1756-1807.",Charnock,John,,1756,1807,,,,,,,12,0.001270917
"La Roche, Michael de, fl. 1710-1731,",de la Roche,Michael,, fl. 1710,1731,,,,,,,12,0.001270917
"Price, Richard, 1723-1791.",Price,Richard,,1723,1791,,,,,,,12,0.001270917
"Plautus, Titus Maccius.",Plautus,Titus Maccius,,,,,,,,,,12,0.001270917
"Law, William, 1686-1761.",Law,William,,1686,1761,,,,,,,12,0.001270917
East India Company.,,East India Company,,,,,,,,,,12,0.001270917
"Barruel, abbé, 1741-1820.",Barruel,abbé,,1741,1820,,,,,,,11,0.001165007
"Hoadly, Benjamin, 1676-1761.",Hoadly,Benjamin,,1676,1761,,,,,,,11,0.001165007
"Johnstone, Charles, 1719?-1800?",Johnstone,Charles,, 1719?,1800?,,,,,,,11,0.001165007
"Dumouriez, Charles Francois Du Perier, 1739-1823.",Dumouriez,Charles Francois Du Perier,,1739,1823,,,,,,,11,0.001165007
"Hughs, Henry, d. 1810.",Hughs,Henry,,,1810,,,,,,,11,0.001165007
"Walpole, Horace, 1717-1797.",Walpole,Horace,,1717,1797,,,,,,,11,0.001165007
"Reed, Isaac, 1742-1807.",Reed,Isaac,,1742,1807,,,,,,,11,0.001165007
"Dodsley, James, 1724-1797.",Dodsley,James,,1724,1797,,,,,,,11,0.001165007
"Beattie, James, 1735-1803.",Beattie,James,,1735,1803,,,,,,,11,0.001165007
"Scott, Major (John), 1747-1819,",Scott,John,,1747,1819,,,,,,,11,0.001165007
"Pratt, Mr. 1749-1814.",Pratt,Mr,,1749,1814,,,,,,,11,0.001165007
"Hurd, Richard, 1720-1808.",Hurd,Richard,,1720,1808,,,,,,,11,0.001165007
"Gisborne, Thomas, 1758-1846.",Gisborne,Thomas,,1758,1846,,,,,,,11,0.001165007
"Penn, William, 1644-1718.",Penn,William,,1644,1718,,,,,,,11,0.001165007
"Radcliffe, Ann Ward, 1764-1823.",Radcliffe,Ann Ward,,1764,1823,,,,,,,10,0.001059098
"Anstey, Christopher, 1724-1805.",Anstey,Christopher,,1724,1805,,,,,,,10,0.001059098
"Hutcheson, Francis, 1694-1746.",Hutcheson,Francis,,1694,1746,,,,,,,10,0.001059098
"Hervey, Frederic.",Hervey,Frederic,,,,,,,,,,10,0.001059098
"Harris, James, 1709-1780.",Harris,James,,1709,1780,,,,,,,10,0.001059098
"Crévier, Jean Baptiste Louis, 1693-1765.",Crévier,Jean Baptiste Louis,,1693,1765,,,,,,,10,0.001059098
"Zimmermann, Johann Georg, 1728-1795.",Zimmermann,Johann Georg,,1728,1795,,,,,,,10,0.001059098
"Norris, John, 1657-1711.",Norris,John,,1657,1711,,,,,,,10,0.001059098
"Witherspoon, John, 1723-1794.",Witherspoon,John,,1723,1794,,,,,,,10,0.001059098
"Marshall, Joseph, fl. 1770.",Marshall,Joseph,, fl. 1770.,,,,,,,,10,0.001059098
"Tucker, Josiah, 1712-1799.",Tucker,Josiah,,1712,1799,,,,,,,10,0.001059098
"Mairobert, Mathieu François Pidanzat de, 1727-1779.",de Mairobert,Mathieu François Pidanzat,,1727,1779,,,,,,,10,0.001059098
"Gunning, Mrs. 1740?-1800.",Gunning,,Mrs,1740?,1800,,,,,,,10,0.001059098
"Goldsmith, Oliver, 1730?-1774.",Goldsmith,Oliver,, 1730?,1774,,,,,,,10,0.001059098
"Pindar, Peter, 1738-1819.",Pindar,Peter,,1738,1819,,,,,,,10,0.001059098
"Jones, Stephen, 1763-1827.",Jones,Stephen,,1763,1827,,,,,,,10,0.001059098
"Whitehead, William, 1715-1785.",Whitehead,William,,1715,1785,,,,,,,10,0.001059098
"Robertson, William, 1721-1793.",Robertson,William,,1721,1793,,,,,,,10,0.001059098
"Dodd, William, 1729-1777.",Dodd,William,,1729,1777,,,,,,,10,0.001059098
Harry Houdini Collection (Library of Congress),Library of Congress,Harry Houdini Collection,,,,,,,,,,10,0.001059098
John Davis Batchelder Collection (Library of Congress),Library of Congress,John Davis Batchelder Collection,,,,,,,,,,10,0.001059098
Euclid.,,Euclid,,,,,,,,,,10,0.001059098
Great Britain. Parliament. House of Lords.,Great Britain,Parliament House of Lords,,,,,,,,,,10,0.001059098
"Junius, 18th cent.",,Junius,, 18th cent.,,,,,,,,9,0.000953188
"Baxter, Andrew, 1686?-1750.",Baxter,Andrew,, 1686?,1750,,,,,,,9,0.000953188
"Büsching, Anton Friedrich, 1724-1793.",Büsching,Anton Friedrich,,1724,1793,,,,,,,9,0.000953188
"Thornton, Bonnell, 1724-1768.",Thornton,Bonnell,,1724,1768,,,,,,,9,0.000953188
"Hutton, Charles, 1737-1823.",Hutton,Charles,,1737,1823,,,,,,,9,0.000953188
"MacLaurin, Colin, 1698-1746.",MacLaurin,Colin,,1698,1746,,,,,,,9,0.000953188
"Atterbury, Francis, 1662-1732.",Atterbury,Francis,,1662,1732,,,,,,,9,0.000953188
"Quevedo, Francisco de, 1580-1645.",Quevedo,Francisco de,,1580,1645,,,,,,,9,0.000953188
"Hervey, James, 1714-1758.",Hervey,James,,1714,1758,,,,,,,9,0.000953188
"Granger, James, 1723-1776.",Granger,James,,1723,1776,,,,,,,9,0.000953188
"Burroughs, Jeremiah, 1599-1646.",Burroughs,Jeremiah,,1599,1646,,,,,,,9,0.000953188
"Willison, John, 1680-1750.",Willison,John,,1680,1750,,,,,,,9,0.000953188
"Gay, John, 1685-1732.",Gay,John,,1685,1732,,,,,,,9,0.000953188
"Wesley, John, 1703-1791.",Wesley,John,,1703,1791,,,,,,,9,0.000953188
"Langhorne, John, 1735-1779.",Langhorne,John,,1735,1779,,,,,,,9,0.000953188
"Adams, John, 1735-1826.",Adams,John,,1735,1826,,,,,,,9,0.000953188
"O'Keeffe, John, 1747-1833.",O'Keeffe,John,,1747,1833,,,,,,,9,0.000953188
"Pinkerton, John, 1758-1826.",Pinkerton,John,,1758,1826,,,,,,,9,0.000953188
"Montaigne, Michel de, 1533-1592.",de Montaigne,Michel,,1533,1592,,,,,,,9,0.000953188
"Addison, Mr.",Addison,Mr,,,,,,,,,,9,0.000953188
"Baxter, Richard, 1615-1691.",Baxter,Richard,,1615,1691,,,,,,,9,0.000953188
"Heron, Robert, 1764-1807.",Heron,Robert,,1764,1807,,,,,,,9,0.000953188
"Berington, Simon, 1680-1755.",Berington,Simon,,1680,1755,,,,,,,9,0.000953188
"Sherlock, Thomas, 1678-1761.",Sherlock,Thomas,,1678,1761,,,,,,,9,0.000953188
"Birch, Thomas, 1705-1766.",Birch,Thomas,,1705,1766,,,,,,,9,0.000953188
"Warton, Thomas, 1728-1790.",Warton,Thomas,,1728,1790,,,,,,,9,0.000953188
"Harris, William, 1720-1770.",Harris,William,,1720,1770,,,,,,,9,0.000953188
"Blackstone, William, 1723-1780.",Blackstone,William,,1723,1780,,,,,,,9,0.000953188
"Thomson, William, 1746-1817.",Thomson,William,,1746,1817,,,,,,,9,0.000953188
"Coxe, William, 1747-1828.",Coxe,William,,1747,1828,,,,,,,9,0.000953188
Virgil.,,Virgil,,,,,,,,,,9,0.000953188
"Cowley, Abraham, 1618-1667.",Cowley,Abraham,,1618,1667,,,,,,,8,0.000847278
"Westmacott, C. M. (Charles Molloy), 1787 or 8-1868.",Westmacott,Charles Molloy,, 1787 or 8,1868,,,,,,,8,0.000847278
"Leslie, Charles, 1650-1722.",Leslie,Charles,,1650,1722,,,,,,,8,0.000847278
"Hereford, Charles John Ann, b. 1758.",Hereford,Charles John Ann,,1758,,,,,,,,8,0.000847278
"Gibbon, Edward, 1737-1794.",Gibbon,Edward,,1737,1794,,,,,,,8,0.000847278
"Bysshe, Edward, fl. 1702-1712.",Bysshe,Edward,, fl. 1702,1712,,,,,,,8,0.000847278
"Swediaur, F. 1748-1824.",Swediaur,F,,1748,1824,,,,,,,8,0.000847278
"Cruikshank, George, 1792-1878.",Cruikshank,George,,1792,1878,,,,,,,8,0.000847278
"Newton, Isaac, 1642-1727.",Newton,Isaac,,1642,1727,,,,,,,8,0.000847278
"Macpherson, James, 1736-1796.",Macpherson,James,,1736,1796,,,,,,,8,0.000847278
"Newman, Jeremiah Whitaker, 1759-1839.",Newman,Jeremiah Whitaker,,1759,1839,,,,,,,8,0.000847278
"Dunton, John, 1659-1733.",Dunton,John,,1659,1733,,,,,,,8,0.000847278
"Toland, John, 1670-1722.",Toland,John,,1670,1722,,,,,,,8,0.000847278
"Jortin, John, 1698-1770.",Jortin,John,,1698,1770,,,,,,,8,0.000847278
"Orrery, John Boyle, Earl of, 1707-1762.",Boyle,John,,1707,1762,,,,,,,8,0.000847278
"Bancks, John, 1709-1751.",Bancks,John,,1709,1751,,,,,,,8,0.000847278
"Wilkes, John, 1725-1797.",Wilkes,John,,1725,1797,,,,,,,8,0.000847278
"Whitaker, John, 1735-1808.",Whitaker,John,,1735,1808,,,,,,,8,0.000847278
"Rushworth, John, 1612?-1690.",Rushworth,John,, 1612?,1690,,,,,,,8,0.000847278
"Ward, John, of Chester.",Ward,John,,,,,,,,,,8,0.000847278
"Grove, Joseph, d. 1764.",Grove,Joseph,,,1764,,,,,,,8,0.000847278
"PÃ¶llnitz, Karl Ludwig, Freiherr von, 1692-1775.",von Pöllnitz,Karl Ludwig Freiherr,,1692,1775,,,,,,,8,0.000847278
"Richelieu, Louis François Armand du Plessis, duc de, 1696-1788.",du Plessis,Louis François Armand,,1696,1788,,,,,,,8,0.000847278
"Prior, Matthew, 1664-1721.",Prior,Matthew,,1664,1721,,,,,,,8,0.000847278
"Bartholomew. Steele, Richard, Sir, 1672-1729.",Steele,Richard,,1672,1729,,,,,,,8,0.000847278
"Graves, Richard, 1715-1804.",Graves,Richard,,1715,1804,,,,,,,8,0.000847278
"Lloyd, Robert, 1733-1764.",Lloyd,Robert,,1733,1764,,,,,,,8,0.000847278
"Cruikshank, Robert, 1789-1856.",Cruikshank,Robert,,1789,1856,,,,,,,8,0.000847278
"Pufendorf, Samuel, Freiherr von, 1632-1694.",von Pufendorf,Samuel,,1632,1694,,,,,,,8,0.000847278
"Oldfield, T. H. B. 1755-1822.",Oldfield,T H B,,1755,1822,,,,,,,8,0.000847278
"Brown, Thomas, 1663-1704.",Brown,Thomas,,1663,1704,,,,,,,8,0.000847278
"Simpson, Thomas, 1710-1761.",Simpson,Thomas,,1710,1761,,,,,,,8,0.000847278
"Sheridan, Thomas, 1719-1788.",Sheridan,Thomas,,1719,1788,,,,,,,8,0.000847278
"Astle, Thomas, 1735-1803.",Astle,Thomas,,1735,1803,,,,,,,8,0.000847278
"Churchyard, Thomas, 1520?-1604.",Churchyard,Thomas,, 1520?,1604,,,,,,,8,0.000847278
"Hastings, Warren, 1732-1818.",Hastings,Warren,,1732,1818,,,,,,,8,0.000847278
"King, William, 1663-1712.",King,William,,1663,1712,,,,,,,8,0.000847278
"Hay, William, 1695-1755.",Hay,William,,1695,1755,,,,,,,8,0.000847278
"Combe, William, 1742-1823.",Combe,William,,1742,1823,,,,,,,8,0.000847278
"Belsham, William, 1752-1827.",Belsham,William,,1752,1827,,,,,,,8,0.000847278
"Sherlock, William, 1641?-1707.",Sherlock,William,, 1641?,1707,,,,,,,8,0.000847278
"Lucian, of Samosata.",,Lucian of Samosata,,,,,,,,,,8,0.000847278
Massachusetts Historical Society.,,Massachusetts Historical Society,,,,,,,,,,8,0.000847278
Board of Agriculture (Great Britain),Great Britain/,Board of Agriculture,,,,,,,,,,8,0.000847278
"Wood, Anthony à, 1632-1695.",Wood,Anthony,,1632,1695,,,,,,,7,0.000741368
"Kennett, Basil, 1674-1715.",Kennett,Basil,,1674,1715,,,,,,,7,0.000741368
"Burney, Charles, 1726-1814.",Burney,Charles,,1726,1814,,,,,,,7,0.000741368
"Leadbetter, Charles, fl. 1728.",Leadbetter,Charles,, fl. 1728.,,,,,,,,7,0.000741368
"Moore, Edward, 1712-1757.",Moore,Edward,,1712,1757,,,,,,,7,0.000741368
"Budgell, Eustace, 1686-1737.",Budgell,Eustace,,1686,1737,,,,,,,7,0.000741368
"Maseres, Francis, 1731-1824.",Maseres,Francis,,1731,1824,,,,,,,7,0.000741368
"Chastellux, FrancÌ§ois Jean, marquis de, 1734-1788.",de Chastellux,François-Jean,,1734,1788,,,,,,,7,0.000741368
"Gregory, G. 1754-1808.",Gregory,G,,1754,1808,,,,,,,7,0.000741368
"Keate, George, 1729-1797.",Keate,George,,1729,1797,,,,,,,7,0.000741368
"Chalmers, George, 1742-1825.",Chalmers,George,,1742,1825,,,,,,,7,0.000741368
"Adams, George, 1750-1795.",Adams,George,,1750,1795,,,,,,,7,0.000741368
"West, Gilbert, 1703-1756.",West,Gilbert,,1703,1756,,,,,,,7,0.000741368
"Baker, Henry, 1698-1774.",Baker,Henry,,1698,1774,,,,,,,7,0.000741368
"Mackenzie, Henry, 1745-1831.",Mackenzie,Henry,,1745,1831,,,,,,,7,0.000741368
"Penington, Isaac, 1616-1679.",Penington,Isaac,,1616,1679,,,,,,,7,0.000741368
"Sales, J. de 1741-1816.",Sales,J de,,1741,1816,,,,,,,7,0.000741368
"Brissot de Warville, J.-P. 1754-1793.",Brissot de Warville,J-P,,1754,1793,,,,,,,7,0.000741368
"Bryant, Jacob, 1715-1804.",Bryant,Jacob,,1715,1804,,,,,,,7,0.000741368
"Necker, Jacques, 1732-1804.",Necker,Jacques,,1732,1804,,,,,,,7,0.000741368
"Thomson, James, 1700-1748.",Thomson,James,,1700,1748,,,,,,,7,0.000741368
"Bourgoing, Jean-FrancÌ§ois, baron de, 1748-1811.",Bourgoing,Jean-François,,1748,1811,,,,,,,7,0.000741368
"Keyssler, Johann Georg, 1693-1743.",Keyssler,Johann Georg,,1693,1743,,,,,,,7,0.000741368
"Georgi, Johann Gottlieb, 1738-1802.",Georgi,Johann Gottlieb,,1738,1802,,,,,,,7,0.000741368
"Mosheim, Johann Lorenz, 1694?-1755.",Mosheim,Johann Lorenz,, 1694?,1755,,,,,,,7,0.000741368
"Keill, John, 1671-1721.",Keill,John,,1671,1721,,,,,,,7,0.000741368
"Shebbeare, John, 1709-1788.",Shebbeare,John,,1709,1788,,,,,,,7,0.000741368
"Brown, John, 1715-1766.",Brown,John,,1715,1766,,,,,,,7,0.000741368
"Hall-Stevenson, John, 1718-1785.",Hall-Stevenson,John,,1718,1785,,,,,,,7,0.000741368
"Newton, John, 1725-1807.",Newton,John,,1725,1807,,,,,,,7,0.000741368
"Ogilvie, John, 1733-1813.",Ogilvie,John,,1733,1813,,,,,,,7,0.000741368
"Adolphus, John, 1768-1845.",Adolphus,John,,1768,1845,,,,,,,7,0.000741368
"Flavel, John, 1630?-1691.",Flavel,John,, 1630?,1691,,,,,,,7,0.000741368
"CamoÌƒes, LuiÌs de, 1524?-1580.",CamoÌƒes,LuiÌs de,, 1524?,1580,,,,,,,7,0.000741368
"Aulnoy, Madame d' 1650 or 51-1705.",d'Aulnoy,Madame,,1650 or 51,1705,,,,,,,7,0.000741368
"Bacon, Matthew, fl. 1730.",Bacon,Matthew,, fl. 1730.,,,,,,,,7,0.000741368
"Firishtah, Muḥammad Qāsim Hindū Shāh Astarābādī.",Firishtah,Muḥammad Qāsim Hindū Shāh Astarābādī,,,,,,,,,,7,0.000741368
"Wraxall, Nathaniel William, Sir, 1751-1831.",Wraxall,Nathaniel William,,1751,1831,,,,,,,7,0.000741368
"Pluche, NoÃ«l Antoine, 1688-1761.",Pluche,Noël Antoine,,1688,1761,,,,,,,7,0.000741368
"Delany, Patrick, 1685 or 6-1768.",Delany,Patrick,, 1685 or 6,1768,,,,,,,7,0.000741368
"Glover, Richard, 1712-1785.",Glover,Richard,,1712,1785,,,,,,,7,0.000741368
"Rolt, Richard, 1724 or 5-1770.",Rolt,Richard,, 1724 or 5,1770,,,,,,,7,0.000741368
"Sullivan, Richard Joseph, Sir, bart., 1752-1806.",Sullivan,Richard Joseph,,1752,1806,,,,,,,7,0.000741368
"Boyle, Robert, 1627-1691.",Boyle,Robert,,1627,1691,,,,,,,7,0.000741368
"Paltock, Robert, 1697-1767.",Paltock,Robert,,1697,1767,,,,,,,7,0.000741368
"Hearne, Thomas, 1678-1735.",Hearne,Thomas,,1678,1735,,,,,,,7,0.000741368
"Chubb, Thomas, 1679-1747.",Chubb,Thomas,,1679,1747,,,,,,,7,0.000741368
"Leland, Thomas, 1722-1785.",Leland,Thomas,,1722,1785,,,,,,,7,0.000741368
"Evans, Thomas, 1742-1784.",Evans,Thomas,,1742,1784,,,,,,,7,0.000741368
