author_name,last_name,first_name,title,birthdate,deathdate,count,fraction_total,
"Yonge, Charlotte M. (Charlotte Mary)",Yonge,Charlotte Mary,,1823,1901,66,0.001091775,
"Sue, Eugène",Sue,Eugène,,1804,1857,66,0.001091775,
"Hume, Fergus",Hume,Fergus,,1859,1932,66,0.001091775,
Plato,Plato,,,428 BC,348 BC,66,0.001091775,
"Harte, Bret",Harte,Bret,,1836,1902,64,0.001058691,
"Cervantes Saavedra, Miguel de",Cervantes Saavedra,Miguel de,,1547,1616,64,0.001058691,
"Wharton, Edith",Wharton,Edith,,1862,1937,63,0.001042149,
"Wilde, Oscar",Wilde,Oscar,,1854,1900,63,0.001042149,
Dante Alighieri,Alighieri,Dante,,1265,1321,63,0.001042149,
"Burroughs, Edgar Rice",Burroughs,Edgar Rice,,1875,1950,62,0.001025607,
"Baring-Gould, S. (Sabine)",Baring-Gould,Sabine,,1834,1924,62,0.001025607,
"Oppenheim, E. Phillips (Edward Phillips)",Oppenheim,Edward Phillips,,1866,1946,61,0.001009065,
"Alcott, Louisa May",Alcott,Louisa May,,1832,1888,61,0.001009065,
"Optic, Oliver",Optic,Oliver,,1822,1897,61,0.001009065,
"Wells, Carolyn",Wells,Carolyn,,1862,1942,60,0.000992523,
"Ellis, Edward Sylvester",Ellis,Edward Sylvester,,1840,1916,60,0.000992523,
"Schiller, Friedrich",Schiller,Friedrich,,1759,1805,60,0.000992523,
"France, Anatole",France,Anatole,,1844,1924,59,0.000975981,
"Warner, Charles Dudley",Warner,Charles Dudley,,1829,1900,58,0.000959439,
"Molesworth, Mrs.",Molesworth,,Mrs,1839,1921,58,0.000959439,
"Hardy, Thomas",Hardy,Thomas,,1840,1928,58,0.000959439,
"Strindberg, August",Strindberg,August,,1849,1912,57,0.000942897,
"Galsworthy, John",Galsworthy,John,,1867,1933,57,0.000942897,
"Reid, Mayne",Reid,Mayne,,1818,1883,57,0.000942897,
"Hugo, Victor",Hugo,Victor,,1802,1885,57,0.000942897,
"Shaw, Bernard",Shaw,Bernard,,1856,1950,56,0.000926355,
"Meade, L. T.",Meade,L. T.,,1854,1914,56,0.000926355,
"Lever, Charles James",Lever,Charles James,,1806,1872,55,0.000909813,
"Burnett, Frances Hodgson",Burnett,Frances Hodgson,,1849,1924,55,0.000909813,
"Huxley, Thomas Henry",Huxley,Thomas Henry,,1825,1895,54,0.000893271,
"Bennett, Arnold",Bennett,Arnold,,1867,1931,53,0.000876729,
"Abbott, Jacob",Abbott,Jacob,,1803,1879,53,0.000876729,
"Ruskin, John",Ruskin,John,,1819,1900,53,0.000876729,
"Marryat, Frederick",Marryat,Frederick,,1792,1848,52,0.000860187,
"Ibsen, Henrik",Ibsen,Henrik,,1828,1906,51,0.000843645,
"Collins, Wilkie",Collins,Wilkie,,1824,1889,51,0.000843645,
"Chesterton, G. K. (Gilbert Keith)",Chesterton,Gilbert Keith,,1874,1936,50,0.000827102,
"James, G. P. R. (George Payne Rainsford)",James,George Payne Rainsford,,no_birthdate,1860,50,0.000827102,
"Davis, Richard Harding",Davis,Richard Harding,,1864,1916,50,0.000827102,
"Kingsley, Charles",Kingsley,Charles,,1819,1875,49,0.00081056,
"Benson, E. F. (Edward Frederic)",Benson,Edward Frederic,,1867,1940,49,0.00081056,
"Aimard, Gustave",Aimard,Gustave,,1818,1883,49,0.00081056,
"Cooper, James Fenimore",Cooper,James Fenimore,,1789,1851,49,0.00081056,
"Garrett, Randall",Garrett,Randall,,1927,1987,49,0.00081056,
"Castelo Branco, Camilo",Castelo Branco,Camilo,,1825,1890,48,0.000794018,
"Blasco Ibáñez, Vicente",Blasco Ibáñez,Vicente,,1867,1928,48,0.000794018,
"Crawford, F. Marion (Francis Marion)",Crawford,Francis Marion,,1854,1909,47,0.000777476,
"Stowe, Harriet Beecher",Stowe,Harriet Beecher,,1811,1896,47,0.000777476,
"Lebert, Marie",Lebert,Marie,,no_birthdate,no_deathdate,47,0.000777476,
Voltaire,,Voltaire,,1694,1778,47,0.000777476,
"Gerstäcker, Friedrich",Gerstäcker,Friedrich,,1816,1872,46,0.000760934,
"Otis, James",Otis,James,,1848,1912,46,0.000760934,
"Chambers, Robert W. (Robert William)",Chambers,Robert William,,1865,1933,46,0.000760934,
"Whittier, John Greenleaf",Whittier,John Greenleaf,,1807,1892,45,0.000744392,
"Richards, Laura Elizabeth Howe",Richards,Laura Elizabeth Howe,,1850,1943,45,0.000744392,
"Wodehouse, P. G. (Pelham Grenville)",Wodehouse,Pelham Grenville,,1881,1975,45,0.000744392,
"Darwin, Charles",Darwin,Charles,,1809,1882,44,0.00072785,
"Borrow, George",Borrow,George,,1803,1881,44,0.00072785,
"Bindloss, Harold",Bindloss,Harold,,1866,1945,44,0.00072785,
"Snell, Roy J. (Roy Judson)",Snell,Roy J. (Roy Judson),,1878,1959,44,0.00072785,
"Castlemon, Harry",Castlemon,Harry,,1842,1915,43,0.000711308,
"Macaulay, Thomas Babington Macaulay, Baron",Macaulay,Thomas Babington,,1800,1859,43,0.000711308,
"Burgess, Thornton W. (Thornton Waldo)",Burgess,Thornton Waldo,,1874,1965,43,0.000711308,
"Bailey, Arthur Scott",Bailey,Arthur Scott,,1877,1949,42,0.000694766,
"Poe, Edgar Allan",Poe,Edgar Allan,,1809,1849,42,0.000694766,
"Nietzsche, Friedrich Wilhelm",Nietzsche,Friedrich Wilhelm,,1844,1900,42,0.000694766,
"Jerome, Jerome K. (Jerome Klapka)",Jerome,Jerome Klapka,,1859,1927,42,0.000694766,
"Westerman, Percy F. (Percy Francis)",Westerman,Percy Francis,,1876,1959,42,0.000694766,
"Barbour, Ralph Henry",Barbour,Ralph Henry,,1870,1944,42,0.000694766,
"Daudet, Alphonse",Daudet,Alphonse,,1840,1897,41,0.000678224,
"Chekhov, Anton Pavlovich",Chekhov,Anton Pavlovich,,1860,1904,41,0.000678224,
"Quiller-Couch, Arthur",Quiller-Couch,Arthur,,1863,1944,41,0.000678224,
"Pérez Galdós, Benito",Pérez Galdós,Benito,,1843,1920,41,0.000678224,
"Garis, Howard Roger",Garis,Howard Roger,,1873,1962,41,0.000678224,
"Carlyle, Thomas",Carlyle,Thomas,,1795,1881,41,0.000678224,
"Topelius, Zacharias",Topelius,Zacharias,,1818,1898,41,0.000678224,
Molière,,Molière,,1622,1673,41,0.000678224,
"Green, Anna Katharine",Green,Anna Katharine,,1846,1935,40,0.000661682,
"Nesbit, E. (Edith)",Nesbit,Edith,,1858,1924,40,0.000661682,
"Casanova, Giacomo",Casanova,Giacomo,,1725,1798,40,0.000661682,
"Hancock, H. Irving (Harrie Irving)",Hancock,Harrie Irving,,1868,1922,40,0.000661682,
"Goldfrap, John Henry",Goldfrap,John Henry,,1879,1917,40,0.000661682,
"Michelet, Jules",Michelet,Jules,,1798,1874,40,0.000661682,
"Becke, Louis",Becke,Louis,,1855,1913,40,0.000661682,
"Yeats, W. B. (William Butler)",Yeats,William Butler,,1865,1939,40,0.000661682,
"Bangs, John Kendrick",Bangs,John Kendrick,,1862,1922,39,0.00064514,
"Leinster, Murray",Leinster,Murray,,1896,1975,39,0.00064514,
"Loti, Pierre",Loti,Pierre,,1850,1923,39,0.00064514,
"Johnston, Annie F. (Annie Fellows)",Johnston,Annie Fellows,,1863,1931,38,0.000628598,
"Piper, H. Beam",Piper,H. Beam,,1904,1964,38,0.000628598,
"La Fontaine, Jean de",de la Fontaine,Jean,,1621,1695,38,0.000628598,
"Hope, Anthony",Hope,Anthony,,1863,1933,37,0.000612056,
"Bjørnson, Bjørnstjerne",Bjørnson,Bjørnstjerne,,1832,1910,37,0.000612056,
"Wiggin, Kate Douglas Smith",Wiggin,Kate Douglas Smith,,1856,1923,37,0.000612056,
"Wood, Henry, Mrs.",Wood,Henry,Mrs,1814,1887,37,0.000612056,
"Holmes, Oliver Wendell",Holmes,Oliver Wendell,,1809,1894,37,0.000612056,
"Dostoyevsky, Fyodor",Dostoyevsky,Fyodor,,1821,1881,36,0.000595514,
"Sienkiewicz, Henryk",Sienkiewicz,Henryk,,1846,1916,36,0.000595514,
"Curwood, James Oliver",Curwood,James Oliver,,1878,1927,36,0.000595514,
"Braddon, M. E. (Mary Elizabeth)",Braddon,M. E. (Mary Elizabeth),,1835,1915,36,0.000595514,
"Lagerlöf, Selma",Lagerlöf,Selma,,1858,1940,36,0.000595514,
Homer,,Homer,,750 BC,650 BC,36,0.000595514,
"Harper, Charles G. (Charles George)",Harper,Charles G. (Charles George),,1863,1943,35,0.000578972,
"Hoare, Edward",Hoare,Edward,,1812,1894,35,0.000578972,
"Stockton, Frank Richard",Stockton,Frank Richard,,1834,1902,35,0.000578972,
"McCutcheon, George Barr",McCutcheon,George Barr,,1866,1928,35,0.000578972,
"Flaubert, Gustave",Flaubert,Gustave,,1821,1880,35,0.000578972,
"Turgenev, Ivan Sergeevich",Turgenev,Ivan Sergeevich,,1818,1883,35,0.000578972,
"Swift, Jonathan",Swift,Jonathan,,1667,1745,35,0.000578972,
"Carroll, Lewis",Carroll,Lewis,,1832,1898,35,0.000578972,
"Finley, Martha",Finley,Martha,,1828,1909,35,0.000578972,
"Irving, Washington",Irving,Washington,,1783,1859,35,0.000578972,
"Williamson, A. M. (Alice Muriel)",Williamson,A. M. (Alice Muriel),,1869,1933,34,0.00056243,
"Collingwood, Harry",Collingwood,Harry,,1851,1922,34,0.00056243,
"Van Dyke, Henry",Van Dyke,Henry,,1852,1933,34,0.00056243,
"Altsheler, Joseph A. (Joseph Alexander)",Altsheler,Joseph A. (Joseph Alexander),,1862,1919,34,0.00056243,
"Ward, Humphry, Mrs.",Humphry Ward,Humphry,Mrs,1851,1920,34,0.00056243,
"Tagore, Rabindranath",Tagore,Rabindranath,,1861,1941,34,0.00056243,
"Sinclair, Upton",Sinclair,Upton,,1878,1968,34,0.00056243,
United States. Work Projects Administration,United States.,Work Projects Administration,,no_birthdate,no_deathdate,34,0.00056243,
"Palacio Valdés, Armando",Palacio Valdés,Armando,,1853,1938,33,0.000545888,
"Gaboriau, Emile",Gaboriau,Emile,,1832,1873,33,0.000545888,
"Allen, Grant",Allen,Grant,,1848,1899,33,0.000545888,
"Strang, Herbert",Strang,Herbert,,no_birthdate,no_deathdate,33,0.000545888,
"Barrie, J. M. (James Matthew)",Barrie,J. M. (James Matthew),,1860,1937,33,0.000545888,
"Chase, Josephine",Chase,Josephine,,no_birthdate,1931,33,0.000545888,
"Gorky, Maksim",Gorky,Maksim,,1868,1936,33,0.000545888,
"Appleton, Victor",Appleton,Victor,,no_birthdate,no_deathdate,33,0.000545888,
"Paine, Albert Bigelow",Paine,Albert Bigelow,,1861,1937,32,0.000529346,
"Gibbon, Edward",Gibbon,Edward,,1737,1794,32,0.000529346,
"Byron, George Gordon Byron, Baron",Byron,George Gordon,,1788,1824,32,0.000529346,
"Le Fanu, Joseph Sheridan",Le Fanu,Joseph Sheridan,,1814,1873,32,0.000529346,
"Ingersoll, Robert Green",Ingersoll,Robert Green,,1833,1899,32,0.000529346,
"Matthews, Stanley R.",Matthews,Stanley R.,,no_birthdate,no_deathdate,32,0.000529346,
"Arthur, T. S. (Timothy Shay)",Arthur,T. S. (Timothy Shay),,1809,1885,32,0.000529346,
"Grey, Zane",Grey,Zane,,1872,1939,32,0.000529346,
"Lamartine, Alphonse de",Lamartine,Alphonse de,,1790,1869,31,0.000512804,
"Williamson, C. N. (Charles Norris)",Williamson,C. N. (Charles Norris),,1859,1920,31,0.000512804,
"Roberts, Charles G. D., Sir",Roberts,Charles G. D.,,1860,1943,31,0.000512804,
"Andersen, H. C. (Hans Christian)",Andersen,H. C. (Hans Christian),,1805,1875,31,0.000512804,
"Aho, Juhani",Aho,Juhani,,1861,1921,31,0.000512804,
"Fitzhugh, Percy Keese",Fitzhugh,Percy Keese,,1876,1950,31,0.000512804,
"Warner, Susan",Warner,Susan,,1819,1885,31,0.000512804,
"Besant, Walter",Besant,Walter,,1836,1901,31,0.000512804,
"Bower, B. M.",Bower,B. M.,,1871,1940,30,0.000496261,
"Lawrence, D. H. (David Herbert)",Lawrence,D. H. (David Herbert),,1885,1930,30,0.000496261,
"Hall, E. Raymond (Eugene Raymond)",Hall,E. Raymond (Eugene Raymond),,1902,1986,30,0.000496261,
"Hornung, E. W. (Ernest William)",Hornung,E. W. (Ernest William),,1866,1921,30,0.000496261,
"Gaskell, Elizabeth Cleghorn",Gaskell,Elizabeth Cleghorn,,1810,1865,30,0.000496261,
"Austen, Jane",Austen,Jane,,1775,1817,30,0.000496261,
"Morley, John",Morley,John,,1838,1923,30,0.000496261,
"Abbott, John S. C. (John Stevens Cabot)",Abbott,John S. C. (John Stevens Cabot),,1805,1877,30,0.000496261,
"Montgomery, L. M. (Lucy Maud)",Montgomery,L. M. (Lucy Maud),,1874,1942,30,0.000496261,
"Tracy, Louis",Tracy,Louis,,1863,1928,30,0.000496261,
"Lassila, Maiju",Lassila,Maiju,,1868,1918,30,0.000496261,
"Maeterlinck, Maurice",Maeterlinck,Maurice,,1862,1949,30,0.000496261,
"Wirt, Mildred A. (Mildred Augustine)",Wirt,Mildred A. (Mildred Augustine),,1905,2002,30,0.000496261,
"McGuinn, Roger",McGuinn,Roger,,no_birthdate,no_deathdate,30,0.000496261,
"Rolland, Romain",Rolland,Romain,,1866,1944,30,0.000496261,
"Freud, Sigmund",Freud,Sigmund,,1856,1939,30,0.000496261,
"Weyman, Stanley John",Weyman,Stanley John,,1855,1928,30,0.000496261,
United States. National Park Service,United States.,National Park Service,,no_birthdate,no_deathdate,30,0.000496261,
"Farjeon, B. L. (Benjamin Leopold)",Farjeon,B. L. (Benjamin Leopold),,1833,1903,29,0.000479719,
"Spyri, Johanna",Spyri,Johanna,,1827,1901,29,0.000479719,
"Rinehart, Mary Roberts",Rinehart,Mary Roberts,,1876,1958,29,0.000479719,
"Montaigne, Michel de",Montaigne,Michel de,,1533,1592,29,0.000479719,
"Holinshed, Raphael",Holinshed,Raphael,,no_birthdate,no_deathdate,29,0.000479719,
"Cannon, Richard",Cannon,Richard,,1779,1865,29,0.000479719,
Aesop,,Aesop,,no_birthdate,no_deathdate,29,0.000479719,
"King, Charles",King,Charles,,1844,1933,28,0.000463177,
"Eliot, George",Eliot,George,,1819,1880,28,0.000463177,
"Belloc, Hilaire",Belloc,Hilaire,,1870,1953,28,0.000463177,
"Weymouth, Richard Francis",Weymouth,Richard Francis,,1822,1902,28,0.000463177,
"Hichens, Robert",Hichens,Robert,,1864,1950,28,0.000463177,
"Vaknin, Samuel",Vaknin,Samuel,,1961,no_deathdate,28,0.000463177,
"Morris, William",Morris,William,,1834,1896,28,0.000463177,
Chautauqua Institution,,Chautauqua Institution,,no_birthdate,no_deathdate,28,0.000463177,
Chautauqua Literary and Scientific Circle,,Chautauqua Literary and Scientific Circle,,no_birthdate,no_deathdate,28,0.000463177,
"Barr, Amelia E.",Barr,Amelia E.,,1831,1919,27,0.000446635,
"Brazil, Angela",Brazil,Angela,,1869,1947,27,0.000446635,
"Potter, Beatrix",Potter,Beatrix,,1866,1943,27,0.000446635,
"Mitford, Bertram",Mitford,Bertram,,1855,1914,27,0.000446635,
"Tarkington, Booth",Tarkington,Booth,,1869,1946,27,0.000446635,
"Guerrazzi, Francesco Domenico",Guerrazzi,Francesco Domenico,,1804,1873,27,0.000446635,
"Stables, Gordon",Stables,Gordon,,1840,1910,27,0.000446635,
"Cobb, Irvin S. (Irvin Shrewsbury)",Cobb,Irvin S. (Irvin Shrewsbury),,1876,1944,27,0.000446635,
"Vandercook, Margaret",Vandercook,Margaret,,1876,no_deathdate,27,0.000446635,
"Bracco, Roberto",Bracco,Roberto,,1861,1943,27,0.000446635,
"Gautier, Théophile",Gautier,Théophile,,1811,1872,27,0.000446635,
"Locke, William John",Locke,William John,,1863,1930,27,0.000446635,
"Nourse, Alan Edward",Nourse,Alan Edward,,1928,1992,26,0.000430093,
"Hough, Emerson",Hough,Emerson,,1857,1923,26,0.000430093,
"Atherton, Gertrude Franklin Horn",Atherton,Gertrude Franklin Horn,,1857,1948,26,0.000430093,
"Melville, Herman",Melville,Herman,,1819,1891,26,0.000430093,
"Fletcher, John",Fletcher,John,,1579,1625,26,0.000430093,
"Burroughs, John",Burroughs,John,,1837,1921,26,0.000430093,
"Murfree, Mary Noailles",Murfree,Mary Noailles,,1850,1922,26,0.000430093,
"Leblanc, Maurice",Leblanc,Maurice,,1864,1941,26,0.000430093,
"Féval, Paul",Féval,Paul,,1817,1887,26,0.000430093,
"Page, Thomas Nelson",Page,Thomas Nelson,,1853,1922,26,0.000430093,
"Maugham, W. Somerset (William Somerset)",Maugham,W. Somerset (William Somerset),,1874,1965,26,0.000430093,
"Lincoln, Abraham",Lincoln,Abraham,,1809,1865,25,0.000413551,
"Swinburne, Algernon Charles",Swinburne,Algernon Charles,,1837,1909,25,0.000413551,
"Chapman, Allen",Chapman,Allen,,no_birthdate,no_deathdate,25,0.000413551,
"Bierce, Ambrose",Bierce,Ambrose,,1842,1913,25,0.000413551,
"Standish, Burt L.",Standish,Burt L.,,1866,1945,25,0.000413551,
"Smith, Francis Hopkinson",Smith,Francis Hopkinson,,1838,1915,25,0.000413551,
"Lessing, Gotthold Ephraim",Lessing,Gotthold Ephraim,,1729,1781,25,0.000413551,
"Kant, Immanuel",Kant,Immanuel,,1724,1804,25,0.000413551,
"Reynolds, Mack",Reynolds,Mack,,1917,1983,25,0.000413551,
"Freeman, Mary Eleanor Wilkins",Freeman,Mary Eleanor Wilkins,,1852,1930,25,0.000413551,
"Gogol, Nikolai Vasilevich",Gogol,Nikolai Vasilevich,,1809,1852,25,0.000413551,
"Päivärinta, Pietari",Päivärinta,Pietari,,1827,1913,25,0.000413551,
"Baroja, Pío",Baroja,Pío,,1872,1956,25,0.000413551,
"Blackmore, R. D. (Richard Doddridge)",Blackmore,R. D. (Richard Doddridge),,1825,1900,25,0.000413551,
"Johnson, Samuel",Johnson,Samuel,,1709,1784,25,0.000413551,
"Coleridge, Samuel Taylor",Coleridge,Samuel Taylor,,1772,1834,25,0.000413551,
"May, Sophie",May,Sophie,,1833,1906,25,0.000413551,
"Brehm, Alfred Edmund",Brehm,Alfred Edmund,,1829,1884,24,0.000397009,
"Blackwood, Algernon",Blackwood,Algernon,,1869,1951,24,0.000397009,
"Young, Clarence",Young,Clarence,,no_birthdate,no_deathdate,24,0.000397009,
"Brinton, Daniel G. (Daniel Garrison)",Brinton,Daniel G. (Daniel Garrison),,1837,1899,24,0.000397009,
"Wilcox, Ella Wheeler",Wilcox,Ella Wheeler,,1850,1919,24,0.000397009,
"Orczy, Emmuska Orczy, Baroness",Orczy,Emmuska,,1865,1947,24,0.000397009,
"Gissing, George",Gissing,George,,1857,1903,24,0.000397009,
"Pyle, Howard",Pyle,Howard,,1853,1911,24,0.000397009,
"Smith, J. Jay (John Jay)",Smith,J. Jay (John Jay),,1798,1881,24,0.000397009,
"Grimm, Jacob",Grimm,Jacob,,1785,1863,24,0.000397009,
"Edgeworth, Maria",Edgeworth,Maria,,1767,1849,24,0.000397009,
"Grimm, Wilhelm",Grimm,Wilhelm,,1786,1859,24,0.000397009,
Ouida,,Ouida,,1839,1908,24,0.000397009,
"Emerson, Alice B.",Emerson,Alice B.,,no_birthdate,no_deathdate,23,0.000380467,
"Järnefelt, Arvid",Järnefelt,Arvid,,1861,1932,23,0.000380467,
"Sumner, Charles",Sumner,Charles,,1811,1874,23,0.000380467,
"Bellamy, Edward",Bellamy,Edward,,1850,1898,23,0.000380467,
"Beaumont, Francis",Beaumont,Francis,,1584,1616,23,0.000380467,
"Caine, Hall, Sir",Caine,Hall,,1853,1931,23,0.000380467,
"Garland, Hamlin",Garland,Hamlin,,1860,1940,23,0.000380467,
"Malot, Hector",Malot,Hector,,1830,1907,23,0.000380467,
"Church, J. (John)",Church,J. (John),,no_birthdate,no_deathdate,23,0.000380467,
"Couperus, Louis",Couperus,Louis,,1863,1923,23,0.000380467,
"Beethoven, Ludwig van",Beethoven,Ludwig van,,1770,1827,23,0.000380467,
"Penrose, Margaret",Penrose,Margaret,,no_birthdate,no_deathdate,23,0.000380467,
"Luther, Martin",Luther,Martin,,1483,1546,23,0.000380467,
"Vaizey, George de Horne, Mrs.",de Horne Vaizey,George,Mrs,1857,1917,23,0.000380467,
"Heyse, Paul",Heyse,Paul,,1830,1914,23,0.000380467,
"Bourget, Paul",Bourget,Paul,,1852,1935,23,0.000380467,
"Barr, Robert",Barr,Robert,,1850,1912,23,0.000380467,
"Darío, Rubén",Darío,Rubén,,1867,1916,23,0.000380467,
"Marlowe, Stephen",Marlowe,Stephen,,1928,2008,23,0.000380467,
"White, Stewart Edward",White,Stewart Edward,,1873,1946,23,0.000380467,
"Crane, Walter",Crane,Walter,,1845,1915,23,0.000380467,
"Thiers, Adolphe",Thiers,Adolphe,,1797,1877,22,0.000363925,
"Barrili, Anton Giulio",Barrili,Anton Giulio,,1836,1908,22,0.000363925,
"De Amicis, Edmondo",De Amicis,Edmondo,,1846,1908,22,0.000363925,
"Butler, Ellis Parker",Butler,Ellis Parker,,1869,1937,22,0.000363925,
"Holt, Emily Sarah",Holt,Emily Sarah,,1836,1893,22,0.000363925,
"Guizot, François",Guizot,François,,1787,1874,22,0.000363925,
"Moore, Frank Frankfort",Moore,Frank Frankfort,,1855,1931,22,0.000363925,
"Leiber, Fritz",Leiber,Fritz,,1910,1992,22,0.000363925,
"Stacpoole, H. De Vere (Henry De Vere)",Stacpoole,H. De Vere (Henry De Vere),,1863,1951,22,0.000363925,
"MacGrath, Harold",MacGrath,Harold,,1871,1932,22,0.000363925,
"Fletcher, J. S. (Joseph Smith)",Fletcher,J. S. (Joseph Smith),,1863,1935,22,0.000363925,
"Riley, James Whitcomb",Riley,James Whitcomb,,1849,1916,22,0.000363925,
"Mühlbach, L. (Luise)",Mühlbach,L. (Luise),,1814,1873,22,0.000363925,
"Hearn, Lafcadio",Hearn,Lafcadio,,1850,1904,22,0.000363925,
"Cicero, Marcus Tullius",Cicero,Marcus Tullius,,106 BC,43 BC,22,0.000363925,
"Holley, Marietta",Holley,Marietta,,1836,1926,22,0.000363925,
"Sinclair, May",Sinclair,May,,1863,1946,22,0.000363925,
"Kock, Paul de",Kock,Paul de,,1793,1871,22,0.000363925,
"Sabatini, Rafael",Sabatini,Rafael,,1875,1950,22,0.000363925,
"Speight, T. W. (Thomas Wilkinson)",Speight,T. W. (Thomas Wilkinson),,1830,1915,22,0.000363925,
"Storm, Theodor",Storm,Theodor,,1817,1888,22,0.000363925,
"Raine, William MacLeod",Raine,William MacLeod,,1871,1954,22,0.000363925,
Euripides,,Euripides,,no_birthdate,406 BC,22,0.000363925,
"Mason, A. E. W. (Alfred Edward Woodley)",Mason,A. E. W. (Alfred Edward Woodley),,1865,1948,21,0.000347383,
"Griffiths, Arthur",Griffiths,Arthur,,1838,1908,21,0.000347383,
"Phillpotts, Eden",Phillpotts,Eden,,1862,1960,21,0.000347383,
"Goncourt, Edmond de",Goncourt,Edmond de,,1822,1896,21,0.000347383,
"Leino, Eino",Leino,Eino,,1878,1926,21,0.000347383,
"Hubbard, Elbert",Hubbard,Elbert,,1856,1915,21,0.000347383,
"Pardo Bazán, Emilia, condesa de",de Pardo Bazán,Emilia,,1852,1921,21,0.000347383,
"Seton, Ernest Thompson",Seton,Ernest Thompson,,1860,1946,21,0.000347383,
"Home, Gordon",Home,Gordon,,1878,1969,21,0.000347383,
