author_name,last_name,first_name,title,birthdate,deathdate,,count,fraction_total,dataset
"Johnson, Samuel, 1709-1784.",Johnson,Samuel,,1709,1784,,6,0.002173126,ota
"Lee, Sophia, 1750-1824.",Lee,Sophia,,1750,1824,,6,0.002173126,ota
"Mendez, Moses, d. 1758.",Mendez,Moses,,,1758,,6,0.002173126,ota
"Milton, John, 1608-1674",Milton,John,,1608,1674,,6,0.002173126,ota
"Savage, Richard, d. 1743.",Savage,Richard,,,1743,,6,0.002173126,ota
"Smollett, Tobias George, 1721-1771.",Smollett,Tobias George,,1721,1771,,6,0.002173126,ota
"Twain, Mark, 1835-1910",Twain,Mark,,1835,1910,,6,0.002173126,ota
"Andrews, Miles Peter, d. 1814.",Andrews,Miles Peter,,,1814,,5,0.001810938,ota
"Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705.",Aulnoy,Madame d' (Marie-Catherine),, 1650 or 51,1705,,5,0.001810938,ota
"Bentley, R. (Richard), 1708-1782.",Bentley,R. (Richard),,1708,1782,,5,0.001810938,ota
"Berkeley, George Monck, 1763-1793.",Berkeley,George Monck,,1763,1793,,5,0.001810938,ota
"Berquin, M. (Arnaud), 1747-1791.",Berquin,M. (Arnaud),,1747,1791,,5,0.001810938,ota
"Brooke, Frances, 1724?-1789.",Brooke,Frances,, 1724?,1789,,5,0.001810938,ota
"Brooke, Henry, 1703?-1783.",Brooke,Henry,, 1703?,1783,,5,0.001810938,ota
"Cradock, Joseph, 1742-1826.",Cradock,Joseph,,1742,1826,,5,0.001810938,ota
"Craven, Elizabeth Craven, Baroness, 1750-1828.",Craven,Elizabeth,,1750,1828,,5,0.001810938,ota
"Cunningham, John, 1729-1773.",Cunningham,John,,1729,1773,,5,0.001810938,ota
"Fielding, Henry, 1707-1754.",Fielding,Henry,,1707,1754,,5,0.001810938,ota
"Hardy, Thomas, 1840-1928",Hardy,Thomas,,1840,1928,,5,0.001810938,ota
"Hoare, Prince, 1755-1834.",Hoare,Prince,,1755,1834,,5,0.001810938,ota
"Janeway, James, 1636?-1674.",Janeway,James,, 1636?,1674,,5,0.001810938,ota
"Johnstone, Charles, 1719?-1800?",Johnstone,Charles,, 1719?,1800?,,5,0.001810938,ota
"Jonson, Ben, 1573?-1637",Jonson,Ben,, 1573?,1637,,5,0.001810938,ota
"Kemble, John Philip, 1757-1823.",Kemble,John Philip,,1757,1823,,5,0.001810938,ota
"London, Jack, 1876-1916",London,Jack,,1876,1916,,5,0.001810938,ota
"Mason, William, 1719-1791.",Mason,William,,1719,1791,,5,0.001810938,ota
"Murray, James, 1732-1782.",Murray,James,,1732,1782,,5,0.001810938,ota
"Oldys, William, 1696-1761.",Oldys,William,,1696,1761,,5,0.001810938,ota
"Parnell, Thomas, 1679-1718.",Parnell,Thomas,,1679,1718,,5,0.001810938,ota
"Ritson, Joseph, 1752-1803.",Ritson,Joseph,,1752,1803,,5,0.001810938,ota
"Shiells, Robert, d. 1753.",Shiells,Robert,,,1753,,5,0.001810938,ota
"Smith, Charlotte Turner, 1749-1806.",Smith,Charlotte Turner,,1749,1806,,5,0.001810938,ota
"Steele, Richard, Sir, 1672-1729.",Steele,Richard,,1672,1729,,5,0.001810938,ota
"Waldron, F. G. (Francis Godolphin), 1744-1818.",Waldron,F. G. (Francis Godolphin),,1744,1818,,5,0.001810938,ota
"Woolston, Thomas, 1670-1733.",Woolston,Thomas,,1670,1733,,5,0.001810938,ota
"Akenside, Mark, 1721-1770.",Akenside,Mark,, 1721-1770.,,,4,0.00144875,ota
"Barbauld, Mrs. (Anna Letitia), 1743-1825.",Barbauld,Anna Letitia,Mrs, 1743-1825.,,,4,0.00144875,ota
"Brand, John, 1744-1806.",Brand,John,, 1744-1806.,,,4,0.00144875,ota
"Collins, William, 1721-1759.",Collins,William,, 1721-1759.,,,4,0.00144875,ota
"Dampier, William, 1652-1715.",Dampier,William,, 1652-1715.,,,4,0.00144875,ota
"Dow, Alexander, d. 1779.",Dow,Alexander,, d. 1779.,,,4,0.00144875,ota
"Francis, Philip, 1708?-1773.",Francis,Philip,, 1708?-1773.,,,4,0.00144875,ota
"Griffith, Richard, d. 1788.",Griffith,Richard,, d. 1788.,,,4,0.00144875,ota
"Hawkins, John, Sir, 1719-1789.",Hawkins,John,, Sir, 1719-1789.,,4,0.00144875,ota
"Hawkins, William, 1722-1801.",Hawkins,William,, 1722-1801.,,,4,0.00144875,ota
"Henry, David, 1710-1792.",Henry,David,, 1710-1792.,,,4,0.00144875,ota
"Hitchcock, Robert, d. 1809.",Hitchcock,Robert,, d. 1809.,,,4,0.00144875,ota
"Holman, J. G. (Joseph George), 1764-1817.",Holman,J. G. (Joseph George),, 1764-1817.,,,4,0.00144875,ota
"Lillo, George, 1693-1739.",Lillo,George,, 1693-1739.,,,4,0.00144875,ota
"Marat, Jean Paul, 1743-1793.",Marat,Jean Paul,, 1743-1793.,,,4,0.00144875,ota
"O'Hara, Kane, 1714?-1782.",O'Hara,Kane,, 1714?-1782.,,,4,0.00144875,ota
"Ovid, 43 B.C.-17 or 18 A.D.",Ovid,43 B.C.-17 or 18 A.D.,,,,,4,0.00144875,ota
"Pearch, G.",Pearch,G.,,,,,4,0.00144875,ota
"Pilkington, Laetitia, 1712-1750.",Pilkington,Laetitia,, 1712-1750.,,,4,0.00144875,ota
"Psalmanazar, George, 1679?-1763.",Psalmanazar,George,, 1679?-1763.,,,4,0.00144875,ota
"Reed, Joseph, 1723-1787.",Reed,Joseph,, 1723-1787.,,,4,0.00144875,ota
"Shenstone, William, 1714-1763.",Shenstone,William,, 1714-1763.,,,4,0.00144875,ota
"Smith, Adam, 1723-1790.",Smith,Adam,, 1723-1790.,,,4,0.00144875,ota
"Walpole, Horace, 1717-1797.",Walpole,Horace,, 1717-1797.,,,4,0.00144875,ota
"Whitehead, William, 1715-1785.",Whitehead,William,, 1715-1785.,,,4,0.00144875,ota
"Wilkinson, Tate, 1739-1803.",Wilkinson,Tate,, 1739-1803.,,,4,0.00144875,ota
"Austen, Jane, 1775-1817",Austen,Jane,, 1775-1817,,,3,0.001086563,ota
"Blake, William, 1757-1827",Blake,William,, 1757-1827,,,3,0.001086563,ota
"Bourne, Henry, 1696-1733.",Bourne,Henry,, 1696-1733.,,,3,0.001086563,ota
"Brown, Charles Brockden, 1771-1810.",Brown,Charles Brockden,, 1771-1810.,,,3,0.001086563,ota
"Burke, William, 1730-1798.",Burke,William,, 1730-1798.,,,3,0.001086563,ota
"Burroughs, Edgar Rice, 1875-1950",Burroughs,Edgar Rice,, 1875-1950,,,3,0.001086563,ota
"Charke, Charlotte, 1713-1760.",Charke,Charlotte,, 1713-1760.,,,3,0.001086563,ota
"Chatterton, Thomas, 1752-1770.",Chatterton,Thomas,, 1752-1770.,,,3,0.001086563,ota
"Cheyne, George, 1673-1743.",Cheyne,George,, 1673-1743.,,,3,0.001086563,ota
"Conrad, Joseph, 1857-1924",Conrad,Joseph,, 1857-1924,,,3,0.001086563,ota
"Darwin, Erasmus, 1731-1802.",Darwin,Erasmus,, 1731-1802.,,,3,0.001086563,ota
"Dodington, George Bubb, Baron of Melcombe Regis, 1691-1762.",Dodington,George Bubb,, Baron of Melcombe Regis, 1691-1762.,,3,0.001086563,ota
"Ellwood, Thomas, 1639-1713.",Ellwood,Thomas,, 1639-1713.,,,3,0.001086563,ota
"Fielding, Henry, 1707-1754",Fielding,Henry,, 1707-1754,,,3,0.001086563,ota
"Hartley, David, 1705-1757.",Hartley,David,, 1705-1757.,,,3,0.001086563,ota
"Hawkins, W. (William), 18th cent.",Hawkins,W. (William),, 18th cent.,,,3,0.001086563,ota
"Hazlitt, William, 1737-1820.",Hazlitt,William,, 1737-1820.,,,3,0.001086563,ota
"Hill, John, 1714?-1775.",Hill,John,, 1714?-1775.,,,3,0.001086563,ota
"Hoole, John, 1727-1803.",Hoole,John,, 1727-1803.,,,3,0.001086563,ota
"James, William, 1842-1910",James,William,, 1842-1910,,,3,0.001086563,ota
"Jurin, James, 1684-1750.",Jurin,James,, 1684-1750.,,,3,0.001086563,ota
"King, Thomas, 1730-1805.",King,Thomas,, 1730-1805.,,,3,0.001086563,ota
"Melville, Herman, 1819-1891",Melville,Herman,, 1819-1891,,,3,0.001086563,ota
"Pulteney, Richard, 1730-1801.",Pulteney,Richard,, 1730-1801.,,,3,0.001086563,ota
"Stevenson, Robert Louis, 1850-1894",Stevenson,Robert Louis,, 1850-1894,,,3,0.001086563,ota
"Wallis, John, 1714-1793.",Wallis,John,, 1714-1793.,,,3,0.001086563,ota
"Walton, Jacob, d. 1743.",Walton,Jacob,, d. 1743.,,,3,0.001086563,ota
"Warton, Joseph, 1722-1800.",Warton,Joseph,, 1722-1800.,,,3,0.001086563,ota
"Way, G. L. (Gregory Lewis), d. 1799.",Way,G. L. (Gregory Lewis),, d. 1799.,,,3,0.001086563,ota
"Wells, H.G. (Herbert George), 1866-1946",Wells,H.G. (Herbert George),, 1866-1946,,,3,0.001086563,ota
"Amory, Thomas, 1691?-1788?",Amory,Thomas,, 1691?-1788?,,,2,0.000724375,ota
"Arbuthnot, John, of Mitcham.",Arbuthnot,John,, of Mitcham.,,,2,0.000724375,ota
"Ashmole, Elias, 1617-1692.",Ashmole,Elias,, 1617-1692.,,,2,0.000724375,ota
Authoress of Emeline.,Authoress of Emeline.,,,,,,2,0.000724375,ota
"Baum, L. Frank (Lyman Frank), 1856-1919",Baum,L. Frank (Lyman Frank),, 1856-1919,,,2,0.000724375,ota
"Beilby, Ralph, 1743-1817.",Beilby,Ralph,, 1743-1817.,,,2,0.000724375,ota
"Belloste, Augustin, 1654-1730.",Belloste,Augustin,, 1654-1730.,,,2,0.000724375,ota
"Berkeley, George, 1733-1795.",Berkeley,George,, 1733-1795.,,,2,0.000724375,ota
"BrontÃƒÂ«, Anne, 1820-1849",BrontÃƒÂ«,Anne,, 1820-1849,,,2,0.000724375,ota
"Browne, Thomas, Sir, 1605-1682",Browne,Thomas,, Sir, 1605-1682,,2,0.000724375,ota
"Bulstrode, Richard, Sir, 1610-1711.",Bulstrode,Richard,, Sir, 1610-1711.,,2,0.000724375,ota
"Chaigneau, William, 1709-1781.",Chaigneau,William,, 1709-1781.,,,2,0.000724375,ota
"Chaucer, Geoffrey, d. 1400",Chaucer,Geoffrey,, d. 1400,,,2,0.000724375,ota
"Clive, Mrs. (Catherine), 1711-1785.",Clive,Mrs. (Catherine),, 1711-1785.,,,2,0.000724375,ota
"Cockburn, W. (William), 1669-1739.",Cockburn,W. (William),, 1669-1739.,,,2,0.000724375,ota
"Colman, George, 1762-1836.",Colman,George,, 1762-1836.,,,2,0.000724375,ota
"Cowper, William, 1731-1800.",Cowper,William,, 1731-1800.,,,2,0.000724375,ota
"Crane, Stephen, 1871-1900",Crane,Stephen,, 1871-1900,,,2,0.000724375,ota
"Defoe, Daniel, 1661?-1731",Defoe,Daniel,, 1661?-1731,,,2,0.000724375,ota
"Doddridge, Philip, 1702-1751.",Doddridge,Philip,, 1702-1751.,,,2,0.000724375,ota
"Donaldson, J. (John), 1737-1801.",Donaldson,J. (John),, 1737-1801.,,,2,0.000724375,ota
"Edgeworth, Maria, 1767-1849.",Edgeworth,Maria,, 1767-1849.,,,2,0.000724375,ota
"Equiano, Olaudah, b. 1745.",Equiano,Olaudah,, b. 1745.,,,2,0.000724375,ota
"Erasmus, Desiderius, d. 1536",Erasmus,Desiderius,, d. 1536,,,2,0.000724375,ota
"Firishtah, Muhammad Qasim Hindu Shah Astarabadi",Firishtah,Muhammad Qasim Hindu Shah Astarabadi,,,,,2,0.000724375,ota
"Gay, John, 1685-1732.",Gay,John,, 1685-1732.,,,2,0.000724375,ota
"Hartson, Hall, d. 1773.",Hartson,Hall,, d. 1773.,,,2,0.000724375,ota
"Hawthorne, Nathaniel, 1804-1864",Hawthorne,Nathaniel,, 1804-1864,,,2,0.000724375,ota
"Hayley, William, 1657-1715.",Hayley,William,, 1657-1715.,,,2,0.000724375,ota
"Jardine, Alexander, d. 1799.",Jardine,Alexander,, d. 1799.,,,2,0.000724375,ota
"John and William Cunningham and Company (Brewers : Glasgow, Scotland)",John and William Cunningham and Company (Brewers : Glasgow,Scotland),,,,,2,0.000724375,ota
"Kelley, Hugh, 1739-1777.",Kelley,Hugh,, 1739-1777.,,,2,0.000724375,ota
"Lawrence, D.H. (David Herbert), 1885-1930",Lawrence,D.H. (David Herbert),, 1885-1930,,,2,0.000724375,ota
"Leland, Thomas, 1722-1785.",Leland,Thomas,, 1722-1785.,,,2,0.000724375,ota
"Lennox, Charlotte, 1729-1804.",Lennox,Charlotte,, 1729-1804.,,,2,0.000724375,ota
"Malthus, T. R. (Thomas Robert), 1766-1834.",Malthus,T. R. (Thomas Robert),, 1766-1834.,,,2,0.000724375,ota
"Mead, Richard, 1673-1754.",Mead,Richard,, 1673-1754.,,,2,0.000724375,ota
"Montgomery, L. M. (Lucy Maud), 1874-1942",Montgomery,L. M. (Lucy Maud),, 1874-1942,,,2,0.000724375,ota
"Muir, John, 1838-1914",Muir,John,, 1838-1914,,,2,0.000724375,ota
"Musgrave, Samuel, 1732-1780.",Musgrave,Samuel,, 1732-1780.,,,2,0.000724375,ota
"Otis, James, 1725-1783",Otis,James,, 1725-1783,,,2,0.000724375,ota
Pindaromastix.,Pindaromastix.,,,,,,2,0.000724375,ota
"Pott, Percivall, 1714-1788.",Pott,Percivall,, 1714-1788.,,,2,0.000724375,ota
"Reynolds, Frederick, 1764-1841.",Reynolds,Frederick,, 1764-1841.,,,2,0.000724375,ota
"Richardson, Samuel, fl. 1643-1658.",Richardson,Samuel,, fl. 1643-1658.,,,2,0.000724375,ota
"Sheridan, Richard, d. 1793.",Sheridan,Richard,, d. 1793.,,,2,0.000724375,ota
"Sidney, Algernon, 1622-1683.",Sidney,Algernon,, 1622-1683.,,,2,0.000724375,ota
"Smith, Hugh, 1736?-1789.",Smith,Hugh,, 1736?-1789.,,,2,0.000724375,ota
"Spenser, Edmund, 1552?-1599",Spenser,Edmund,, 1552?-1599,,,2,0.000724375,ota
"Spilsbury, Francis.",Spilsbury,Francis.,,,,,2,0.000724375,ota
"Stedman, John Gabriel, 1744-1797.",Stedman,John Gabriel,, 1744-1797.,,,2,0.000724375,ota
"Sterne, Laurence, 1713-1768",Sterne,Laurence,, 1713-1768,,,2,0.000724375,ota
"Swift, Jonathan, 1667-1745",Swift,Jonathan,, 1667-1745,,,2,0.000724375,ota
"Tickell, Richard, 1751-1793.",Tickell,Richard,, 1751-1793.,,,2,0.000724375,ota
"Townley, James, 1714-1778.",Townley,James,, 1714-1778.,,,2,0.000724375,ota
Unknown,Unknown,,,,,,2,0.000724375,ota
"Vaughan, Thomas, fl. 1772-1820.",Vaughan,Thomas,, fl. 1772-1820.,,,2,0.000724375,ota
"Watts, Isaac, 1674-1748.",Watts,Isaac,, 1674-1748.,,,2,0.000724375,ota
"Wharton, Edith, 1862-1937",Wharton,Edith,, 1862-1937,,,2,0.000724375,ota
"White, Gilbert, 1720-1793.",White,Gilbert,, 1720-1793.,,,2,0.000724375,ota
"Wordsworth, William, 1770-1850",Wordsworth,William,, 1770-1850,,,2,0.000724375,ota
"Abbot, George, 1562-1633.",Abbot,George,, 1562-1633.,,,1,0.000362188,ota
"Abbott, Jacob, 1803-1879",Abbott,Jacob,, 1803-1879,,,1,0.000362188,ota
"Ade, George, 1866-1944",Ade,George,, 1866-1944,,,1,0.000362188,ota
"Aitken, John, d. 1790.",Aitken,John,, d. 1790.,,,1,0.000362188,ota
"Alcott, Louisa May, 1832-1888",Alcott,Louisa May,, 1832-1888,,,1,0.000362188,ota
"Alden, Henry Mills, 1836-1919 (ed.)",Alden,Henry Mills,, 1836-1919 (ed.),,,1,0.000362188,ota
"Alderson, John, 1757-1829.",Alderson,John,, 1757-1829.,,,1,0.000362188,ota
"Allen, Ethan, 1738-1789",Allen,Ethan,, 1738-1789,,,1,0.000362188,ota
"Amhurst, N. (Nicholas), 1697-1742.",Amhurst,N. (Nicholas),, 1697-1742.,,,1,0.000362188,ota
"Anderson, John, ca. 1730-1804.",Anderson,John,, ca. 1730-1804.,,,1,0.000362188,ota
Anonymous,Anonymous,,,,,,1,0.000362188,ota
"Anstey, Christopher, 1724-1805.",Anstey,Christopher,, 1724-1805.,,,1,0.000362188,ota
Apothecary.,Apothecary.,,,,,,1,0.000362188,ota
Aristotle.,Aristotle.,,,,,,1,0.000362188,ota
"Armstrong, John, 1709-1779.",Armstrong,John,, 1709-1779.,,,1,0.000362188,ota
"Arnaud de Ronsil, Georges, 1698-1774.",Arnaud de Ronsil,Georges,, 1698-1774.,,,1,0.000362188,ota
"Atkins, John, 1685-1757.",Atkins,John,, 1685-1757.,,,1,0.000362188,ota
Author of The practical scheme.,Author of The practical scheme.,,,,,,1,0.000362188,ota
"Avison, Charles, 1710-1770.",Avison,Charles,, 1710-1770.,,,1,0.000362188,ota
"Ayscough, James, d. ca. 1762.",Ayscough,James,, d. ca. 1762.,,,1,0.000362188,ota
"Bailey, J. (John), 1750-1819.",Bailey,J. (John),, 1750-1819.,,,1,0.000362188,ota
"Balestier, Wolcott, 1861-1891",Balestier,Wolcott,, 1861-1891,,,1,0.000362188,ota
"Banyer, Henry, fl. 1718-1736.",Banyer,Henry,, fl. 1718-1736.,,,1,0.000362188,ota
