author_name,last_name,first_name,title,birthdate,deathdate,,count,eebo_total,estc_total,open-syllabus_total,ota_total,project-gutenberg_total
"Sheridan, Richard Brinsley, 1751-1816.",Sheridan,Richard Brinsley,,1751,1816,,18,,,,0.006519377,
"Berkeley, George, 1685-1753.",Berkeley,George,,1685,1753,,17,,,,0.006157189,
"Carey, Henry, 1687?-1743.",Carey,Henry,, 1687?,1743,,16,,,,0.005795002,
"Gentleman, Francis, 1728-1784.",Gentleman,Francis,,1728,1784,,16,,,,0.005795002,
"Hill, Aaron, 1685-1750.",Hill,Aaron,,1685,1750,,16,,,,0.005795002,
"Sterne, Laurence, 1713-1768.",Sterne,Laurence,,1713,1768,,16,,,,0.005795002,
"Bickerstaff, Isaac, 1735-1812.",Bickerstaff,Isaac,,1735,1812,,15,,,,0.005432814,
"Cowley, Mrs. (Hannah), 1743-1809.",Cowley,Hannah,Mrs,1743,1809,,15,,,,0.005432814,
"Griffith, Mrs. (Elizabeth), 1720?-1793.",Griffith,Elizabeth,Mrs, 1720?,1793,,15,,,,0.005432814,
"Carey, George Saville, 1743-1807.",Carey,George Saville,,1743,1807,,14,,,,0.005070627,
"Dudley, H. Bate, Sir (Henry Bate), 1745-1824.",Dudley,Henry Bate,,1745,1824,,14,,,,0.005070627,
"Jephson, Robert, 1736-1803.",Jephson,Robert,,1736,1803,,14,,,,0.005070627,
"Warton, Thomas, 1728-1790.",Warton,Thomas,,1728,1790,,14,,,,0.005070627,
"Boswell, James, 1740-1795.",Boswell,James,,1740,1795,,13,,,,0.004708439,
"Brown, John, 1715-1766.",Brown,John,,1715,1766,,13,,,,0.004708439,
"Hull, Thomas, 1728-1808.",Hull,Thomas,,1728,1808,,13,,,,0.004708439,
"Thomson, James, 1700-1748.",Thomson,James,,1700,1748,,13,,,,0.004708439,
"Congreve, William, 1670-1729.",Congreve,William,,1670,1729,,12,,,,0.004346251,
"Fawkes, Francis, 1720-1777.",Fawkes,Francis,,1720,1777,,12,,,,0.004346251,
"Francis, Philip, Sir, 1740-1818.",Francis,Philip,,1740,1818,,12,,,,0.004346251,
"Jones, Henry, 1721-1770.",Jones,Henry,,1721,1770,,12,,,,0.004346251,
"Kames, Henry Home, Lord, 1696-1782.",Kames,Henry Home,,1696,1782,,12,,,,0.004346251,
"Mason, William, 1725-1797.",Mason,William,,1725,1797,,12,,,,0.004346251,
"Woty, William, 1731?-1791.",Woty,William,,1731?,1791,,12,,,,0.004346251,
"Defoe, Daniel, attributed name. 1661?-1731,",Defoe,Daniel,,1661?,1731,,11,,,,0.003984064,
"Gibbon, Edward, 1737-1794.",Gibbon,Edward,,1737,1794,,11,,,,0.003984064,
"Glover, Richard, 1712-1785.",Glover,Richard,,1712,1785,,11,,,,0.003984064,
"Gray, Thomas, 1716-1771.",Gray,Thomas,,1716,1771,,11,,,,0.003984064,
"Pilon, Frederick, 1750-1788.",Pilon,Frederick,,1750,1788,,11,,,,0.003984064,
"Buffon, Georges Louis Leclerc, comte de, 1707-1788.",Leclerc,Georges-Louis,,1707,1788,,10,,,,0.003621876,
"Duck, Stephen, 1705-1756.",Duck,Stephen,,1705,1756,,10,,,,0.003621876,
"Hutchinson, William, 1732-1814.",Hutchinson,William,,1732,1814,,10,,,,0.003621876,
"Macpherson, James, 1736-1796.",Macpherson,James,,1736,1796,,10,,,,0.003621876,
"Paley, William, 1743-1805.",Paley,William,,1743,1805,,10,,,,0.003621876,
"Pinkerton, John, 1758-1826.",Pinkerton,John,,1758,1826,,10,,,,0.003621876,
"Brand, John, d. 1808.",Brand,John,,,1808,,9,,,,0.003259689,
"Cibber, Theophilus, 1703-1758.",Cibber,Theophilus,,1703,1758,,9,,,,0.003259689,
"Hawkesworth, John, 1715?-1773.",Hawkesworth,John,, 1715?,1773,,9,,,,0.003259689,
"James, Henry, 1843-1916",James,Henry,,1843,1916,,9,,,,0.003259689,
"Kelly, Hugh, 1739-1777.",Kelly,Hugh,,1739,1777,,9,,,,0.003259689,
"Lloyd, Robert, 1733-1764.",Lloyd,Robert,,1733,1764,,9,,,,0.003259689,
"MacNally, Leonard, 1752-1820.",MacNally,Leonard,,1752,1820,,9,,,,0.003259689,
"Radcliffe, Ann Ward, 1764-1823.",Radcliffe,Ann Ward,,1764,1823,,9,,,,0.003259689,
"Whiston, William, 1667-1752.",Whiston,William,,1667,1752,,9,,,,0.003259689,
"Chetwood, W. R. (William Rufus), d. 1766.",Chetwood,W. R. (William Rufus),,,1766,,8,,,,0.002897501,
"Cobb, James, 1756-1818.",Cobb,James,,1756,1818,,8,,,,0.002897501,
Homer.,Homer.,,,,,,8,,,,0.002897501,
"Hutton, Charles, 1737-1823.",Hutton,Charles,,1737,1823,,8,,,,0.002897501,
"Macklin, Charles, 1697?-1797.",Macklin,Charles,, 1697?,1797,,8,,,,0.002897501,
"Spence, Thomas, 1750-1814.",Spence,Thomas,,1750,1814,,8,,,,0.002897501,
"Trollope, Anthony, 1815-1882",Trollope,Anthony,,1815,1882,,8,,,,0.002897501,
"Aikin, John, 1747-1822.",Aikin,John,,1747,1822,,7,,,,0.002535313,
"Blair, Hugh, 1718-1800.",Blair,Hugh,,1718,1800,,7,,,,0.002535313,
"Burgoyne, John, 1722-1792.",Burgoyne,John,,1722,1792,,7,,,,0.002535313,
"Burney, Fanny, 1752-1840.",Burney,Fanny,,1752,1840,,7,,,,0.002535313,
"Dickens, Charles, 1812-1870",Dickens,Charles,,1812,1870,,7,,,,0.002535313,
"Downman, Hugh, 1740-1809.",Downman,Hugh,,1740,1809,,7,,,,0.002535313,
"Gerard, Alexander, 1728-1795.",Gerard,Alexander,,1728,1795,,7,,,,0.002535313,
"Lewis, M. G. (Matthew Gregory), 1775-1818.",Lewis,M. G. (Matthew Gregory),,1775,1818,,7,,,,0.002535313,
"Morton, Thomas, 1764-1838.",Morton,Thomas,,1764,1838,,7,,,,0.002535313,
"Rowe, Nicholas, 1674-1718.",Rowe,Nicholas,,1674,1718,,7,,,,0.002535313,
"Stevens, George Alexander, 1710-1784.",Stevens,George Alexander,,1710,1784,,7,,,,0.002535313,
"Williams, Helen Maria, 1762-1827.",Williams,Helen Maria,,1762,1827,,7,,,,0.002535313,
"Boreman, Thomas, fl. 1730-1743.",Boreman,Thomas,, fl. 1730,1743,,6,,,,0.002173126,
"Brown, John, 1722-1787.",Brown,John,,1722,1787,,6,,,,0.002173126,
"Colman, George, 1732-1794.",Colman,George,,1732,1794,,6,,,,0.002173126,
"Delap, J. (John), 1725-1812.",Delap,J. (John),,1725,1812,,6,,,,0.002173126,
"Disraeli, Isaac, 1766-1848.",Disraeli,Isaac,,1766,1848,,6,,,,0.002173126,
"Eliot, George, 1819-1880",Eliot,George,,1819,1880,,6,,,,0.002173126,
"Home, John, 1722-1808.",Home,John,,1722,1808,,6,,,,0.002173126,
"Jefferson, Thomas, 1743-1826",Jefferson,Thomas,,1743,1826,,6,,,,0.002173126,
"Johnson, Samuel, 1709-1784.",Johnson,Samuel,,1709,1784,,6,,,,0.002173126,
"Lee, Sophia, 1750-1824.",Lee,Sophia,,1750,1824,,6,,,,0.002173126,
"Mendez, Moses, d. 1758.",Mendez,Moses,,,1758,,6,,,,0.002173126,
"Milton, John, 1608-1674",Milton,John,,1608,1674,,6,,,,0.002173126,
"Savage, Richard, d. 1743.",Savage,Richard,,,1743,,6,,,,0.002173126,
"Smollett, Tobias George, 1721-1771.",Smollett,Tobias George,,1721,1771,,6,,,,0.002173126,
"Twain, Mark, 1835-1910",Twain,Mark,,1835,1910,,6,,,,0.002173126,
"Andrews, Miles Peter, d. 1814.",Andrews,Miles Peter,,,1814,,5,,,,0.001810938,
"Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705.",Aulnoy,Madame d' (Marie-Catherine),, 1650 or 51,1705,,5,,,,0.001810938,
"Bentley, R. (Richard), 1708-1782.",Bentley,R. (Richard),,1708,1782,,5,,,,0.001810938,
"Berkeley, George Monck, 1763-1793.",Berkeley,George Monck,,1763,1793,,5,,,,0.001810938,
"Berquin, M. (Arnaud), 1747-1791.",Berquin,M. (Arnaud),,1747,1791,,5,,,,0.001810938,
"Brooke, Frances, 1724?-1789.",Brooke,Frances,, 1724?,1789,,5,,,,0.001810938,
"Brooke, Henry, 1703?-1783.",Brooke,Henry,, 1703?,1783,,5,,,,0.001810938,
"Cradock, Joseph, 1742-1826.",Cradock,Joseph,,1742,1826,,5,,,,0.001810938,
"Craven, Elizabeth Craven, Baroness, 1750-1828.",Craven,Elizabeth,,1750,1828,,5,,,,0.001810938,
"Cunningham, John, 1729-1773.",Cunningham,John,,1729,1773,,5,,,,0.001810938,
"Fielding, Henry, 1707-1754.",Fielding,Henry,,1707,1754,,5,,,,0.001810938,
"Hardy, Thomas, 1840-1928",Hardy,Thomas,,1840,1928,,5,,,,0.001810938,
"Hoare, Prince, 1755-1834.",Hoare,Prince,,1755,1834,,5,,,,0.001810938,
"Janeway, James, 1636?-1674.",Janeway,James,, 1636?,1674,,5,,,,0.001810938,
"Johnstone, Charles, 1719?-1800?",Johnstone,Charles,, 1719?,1800?,,5,,,,0.001810938,
"Jonson, Ben, 1573?-1637",Jonson,Ben,, 1573?,1637,,5,,,,0.001810938,
"Kemble, John Philip, 1757-1823.",Kemble,John Philip,,1757,1823,,5,,,,0.001810938,
"London, Jack, 1876-1916",London,Jack,,1876,1916,,5,,,,0.001810938,
"Mason, William, 1719-1791.",Mason,William,,1719,1791,,5,,,,0.001810938,
"Murray, James, 1732-1782.",Murray,James,,1732,1782,,5,,,,0.001810938,
"Oldys, William, 1696-1761.",Oldys,William,,1696,1761,,5,,,,0.001810938,
"Parnell, Thomas, 1679-1718.",Parnell,Thomas,,1679,1718,,5,,,,0.001810938,
"Ritson, Joseph, 1752-1803.",Ritson,Joseph,,1752,1803,,5,,,,0.001810938,
"Shiells, Robert, d. 1753.",Shiells,Robert,,,1753,,5,,,,0.001810938,
"Smith, Charlotte Turner, 1749-1806.",Smith,Charlotte Turner,,1749,1806,,5,,,,0.001810938,
"Steele, Richard, Sir, 1672-1729.",Steele,Richard,,1672,1729,,5,,,,0.001810938,
"Waldron, F. G. (Francis Godolphin), 1744-1818.",Waldron,F. G. (Francis Godolphin),,1744,1818,,5,,,,0.001810938,
"Woolston, Thomas, 1670-1733.",Woolston,Thomas,,1670,1733,,5,,,,0.001810938,
"Akenside, Mark, 1721-1770.",Akenside,Mark,, 1721-1770.,,,4,,,,0.00144875,
"Barbauld, Mrs. (Anna Letitia), 1743-1825.",Barbauld,Anna Letitia,Mrs, 1743-1825.,,,4,,,,0.00144875,
"Brand, John, 1744-1806.",Brand,John,, 1744-1806.,,,4,,,,0.00144875,
"Collins, William, 1721-1759.",Collins,William,, 1721-1759.,,,4,,,,0.00144875,
"Dampier, William, 1652-1715.",Dampier,William,, 1652-1715.,,,4,,,,0.00144875,
"Dow, Alexander, d. 1779.",Dow,Alexander,, d. 1779.,,,4,,,,0.00144875,
"Francis, Philip, 1708?-1773.",Francis,Philip,, 1708?-1773.,,,4,,,,0.00144875,
"Griffith, Richard, d. 1788.",Griffith,Richard,, d. 1788.,,,4,,,,0.00144875,
"Hawkins, John, Sir, 1719-1789.",Hawkins,John,, Sir, 1719-1789.,,4,,,,0.00144875,
"Hawkins, William, 1722-1801.",Hawkins,William,, 1722-1801.,,,4,,,,0.00144875,
"Henry, David, 1710-1792.",Henry,David,, 1710-1792.,,,4,,,,0.00144875,
"Hitchcock, Robert, d. 1809.",Hitchcock,Robert,, d. 1809.,,,4,,,,0.00144875,
"Holman, J. G. (Joseph George), 1764-1817.",Holman,J. G. (Joseph George),, 1764-1817.,,,4,,,,0.00144875,
"Lillo, George, 1693-1739.",Lillo,George,, 1693-1739.,,,4,,,,0.00144875,
"Marat, Jean Paul, 1743-1793.",Marat,Jean Paul,, 1743-1793.,,,4,,,,0.00144875,
"O'Hara, Kane, 1714?-1782.",O'Hara,Kane,, 1714?-1782.,,,4,,,,0.00144875,
"Ovid, 43 B.C.-17 or 18 A.D.",Ovid,43 B.C.-17 or 18 A.D.,,,,,4,,,,0.00144875,
"Pearch, G.",Pearch,G.,,,,,4,,,,0.00144875,
"Pilkington, Laetitia, 1712-1750.",Pilkington,Laetitia,, 1712-1750.,,,4,,,,0.00144875,
"Psalmanazar, George, 1679?-1763.",Psalmanazar,George,, 1679?-1763.,,,4,,,,0.00144875,
"Reed, Joseph, 1723-1787.",Reed,Joseph,, 1723-1787.,,,4,,,,0.00144875,
"Shenstone, William, 1714-1763.",Shenstone,William,, 1714-1763.,,,4,,,,0.00144875,
"Smith, Adam, 1723-1790.",Smith,Adam,, 1723-1790.,,,4,,,,0.00144875,
"Walpole, Horace, 1717-1797.",Walpole,Horace,, 1717-1797.,,,4,,,,0.00144875,
"Whitehead, William, 1715-1785.",Whitehead,William,, 1715-1785.,,,4,,,,0.00144875,
"Wilkinson, Tate, 1739-1803.",Wilkinson,Tate,, 1739-1803.,,,4,,,,0.00144875,
"Austen, Jane, 1775-1817",Austen,Jane,, 1775-1817,,,3,,,,0.001086563,
"Blake, William, 1757-1827",Blake,William,, 1757-1827,,,3,,,,0.001086563,
"Bourne, Henry, 1696-1733.",Bourne,Henry,, 1696-1733.,,,3,,,,0.001086563,
"Brown, Charles Brockden, 1771-1810.",Brown,Charles Brockden,, 1771-1810.,,,3,,,,0.001086563,
"Burke, William, 1730-1798.",Burke,William,, 1730-1798.,,,3,,,,0.001086563,
"Burroughs, Edgar Rice, 1875-1950",Burroughs,Edgar Rice,, 1875-1950,,,3,,,,0.001086563,
"Charke, Charlotte, 1713-1760.",Charke,Charlotte,, 1713-1760.,,,3,,,,0.001086563,
"Chatterton, Thomas, 1752-1770.",Chatterton,Thomas,, 1752-1770.,,,3,,,,0.001086563,
"Cheyne, George, 1673-1743.",Cheyne,George,, 1673-1743.,,,3,,,,0.001086563,
"Conrad, Joseph, 1857-1924",Conrad,Joseph,, 1857-1924,,,3,,,,0.001086563,
"Darwin, Erasmus, 1731-1802.",Darwin,Erasmus,, 1731-1802.,,,3,,,,0.001086563,
"Dodington, George Bubb, Baron of Melcombe Regis, 1691-1762.",Dodington,George Bubb,, Baron of Melcombe Regis, 1691-1762.,,3,,,,0.001086563,
"Ellwood, Thomas, 1639-1713.",Ellwood,Thomas,, 1639-1713.,,,3,,,,0.001086563,
"Fielding, Henry, 1707-1754",Fielding,Henry,, 1707-1754,,,3,,,,0.001086563,
"Hartley, David, 1705-1757.",Hartley,David,, 1705-1757.,,,3,,,,0.001086563,
"Hawkins, W. (William), 18th cent.",Hawkins,W. (William),, 18th cent.,,,3,,,,0.001086563,
"Hazlitt, William, 1737-1820.",Hazlitt,William,, 1737-1820.,,,3,,,,0.001086563,
"Hill, John, 1714?-1775.",Hill,John,, 1714?-1775.,,,3,,,,0.001086563,
"Hoole, John, 1727-1803.",Hoole,John,, 1727-1803.,,,3,,,,0.001086563,
"James, William, 1842-1910",James,William,, 1842-1910,,,3,,,,0.001086563,
"Jurin, James, 1684-1750.",Jurin,James,, 1684-1750.,,,3,,,,0.001086563,
"King, Thomas, 1730-1805.",King,Thomas,, 1730-1805.,,,3,,,,0.001086563,
"Melville, Herman, 1819-1891",Melville,Herman,, 1819-1891,,,3,,,,0.001086563,
"Pulteney, Richard, 1730-1801.",Pulteney,Richard,, 1730-1801.,,,3,,,,0.001086563,
"Stevenson, Robert Louis, 1850-1894",Stevenson,Robert Louis,, 1850-1894,,,3,,,,0.001086563,
"Wallis, John, 1714-1793.",Wallis,John,, 1714-1793.,,,3,,,,0.001086563,
"Walton, Jacob, d. 1743.",Walton,Jacob,, d. 1743.,,,3,,,,0.001086563,
"Warton, Joseph, 1722-1800.",Warton,Joseph,, 1722-1800.,,,3,,,,0.001086563,
"Way, G. L. (Gregory Lewis), d. 1799.",Way,G. L. (Gregory Lewis),, d. 1799.,,,3,,,,0.001086563,
"Wells, H.G. (Herbert George), 1866-1946",Wells,H.G. (Herbert George),, 1866-1946,,,3,,,,0.001086563,
"Amory, Thomas, 1691?-1788?",Amory,Thomas,, 1691?-1788?,,,2,,,,0.000724375,
"Arbuthnot, John, of Mitcham.",Arbuthnot,John,, of Mitcham.,,,2,,,,0.000724375,
"Ashmole, Elias, 1617-1692.",Ashmole,Elias,, 1617-1692.,,,2,,,,0.000724375,
Authoress of Emeline.,Authoress of Emeline.,,,,,,2,,,,0.000724375,
"Baum, L. Frank (Lyman Frank), 1856-1919",Baum,L. Frank (Lyman Frank),, 1856-1919,,,2,,,,0.000724375,
"Beilby, Ralph, 1743-1817.",Beilby,Ralph,, 1743-1817.,,,2,,,,0.000724375,
"Belloste, Augustin, 1654-1730.",Belloste,Augustin,, 1654-1730.,,,2,,,,0.000724375,
"Berkeley, George, 1733-1795.",Berkeley,George,, 1733-1795.,,,2,,,,0.000724375,
"BrontÃƒÂ«, Anne, 1820-1849",BrontÃƒÂ«,Anne,, 1820-1849,,,2,,,,0.000724375,
"Browne, Thomas, Sir, 1605-1682",Browne,Thomas,, Sir, 1605-1682,,2,,,,0.000724375,
"Bulstrode, Richard, Sir, 1610-1711.",Bulstrode,Richard,, Sir, 1610-1711.,,2,,,,0.000724375,
"Chaigneau, William, 1709-1781.",Chaigneau,William,, 1709-1781.,,,2,,,,0.000724375,
"Chaucer, Geoffrey, d. 1400",Chaucer,Geoffrey,, d. 1400,,,2,,,,0.000724375,
"Clive, Mrs. (Catherine), 1711-1785.",Clive,Mrs. (Catherine),, 1711-1785.,,,2,,,,0.000724375,
"Cockburn, W. (William), 1669-1739.",Cockburn,W. (William),, 1669-1739.,,,2,,,,0.000724375,
"Colman, George, 1762-1836.",Colman,George,, 1762-1836.,,,2,,,,0.000724375,
"Cowper, William, 1731-1800.",Cowper,William,, 1731-1800.,,,2,,,,0.000724375,
"Crane, Stephen, 1871-1900",Crane,Stephen,, 1871-1900,,,2,,,,0.000724375,
"Defoe, Daniel, 1661?-1731",Defoe,Daniel,, 1661?-1731,,,2,,,,0.000724375,
"Doddridge, Philip, 1702-1751.",Doddridge,Philip,, 1702-1751.,,,2,,,,0.000724375,
"Donaldson, J. (John), 1737-1801.",Donaldson,J. (John),, 1737-1801.,,,2,,,,0.000724375,
"Edgeworth, Maria, 1767-1849.",Edgeworth,Maria,, 1767-1849.,,,2,,,,0.000724375,
"Equiano, Olaudah, b. 1745.",Equiano,Olaudah,, b. 1745.,,,2,,,,0.000724375,
"Erasmus, Desiderius, d. 1536",Erasmus,Desiderius,, d. 1536,,,2,,,,0.000724375,
"Firishtah, Muhammad Qasim Hindu Shah Astarabadi",Firishtah,Muhammad Qasim Hindu Shah Astarabadi,,,,,2,,,,0.000724375,
"Gay, John, 1685-1732.",Gay,John,, 1685-1732.,,,2,,,,0.000724375,
"Hartson, Hall, d. 1773.",Hartson,Hall,, d. 1773.,,,2,,,,0.000724375,
"Hawthorne, Nathaniel, 1804-1864",Hawthorne,Nathaniel,, 1804-1864,,,2,,,,0.000724375,
"Hayley, William, 1657-1715.",Hayley,William,, 1657-1715.,,,2,,,,0.000724375,
"Jardine, Alexander, d. 1799.",Jardine,Alexander,, d. 1799.,,,2,,,,0.000724375,
"John and William Cunningham and Company (Brewers : Glasgow, Scotland)",John and William Cunningham and Company (Brewers : Glasgow,Scotland),,,,,2,,,,0.000724375,
"Kelley, Hugh, 1739-1777.",Kelley,Hugh,, 1739-1777.,,,2,,,,0.000724375,
"Lawrence, D.H. (David Herbert), 1885-1930",Lawrence,D.H. (David Herbert),, 1885-1930,,,2,,,,0.000724375,
"Leland, Thomas, 1722-1785.",Leland,Thomas,, 1722-1785.,,,2,,,,0.000724375,
"Lennox, Charlotte, 1729-1804.",Lennox,Charlotte,, 1729-1804.,,,2,,,,0.000724375,
"Malthus, T. R. (Thomas Robert), 1766-1834.",Malthus,T. R. (Thomas Robert),, 1766-1834.,,,2,,,,0.000724375,
"Mead, Richard, 1673-1754.",Mead,Richard,, 1673-1754.,,,2,,,,0.000724375,
"Montgomery, L. M. (Lucy Maud), 1874-1942",Montgomery,L. M. (Lucy Maud),, 1874-1942,,,2,,,,0.000724375,
"Muir, John, 1838-1914",Muir,John,, 1838-1914,,,2,,,,0.000724375,
"Musgrave, Samuel, 1732-1780.",Musgrave,Samuel,, 1732-1780.,,,2,,,,0.000724375,
"Otis, James, 1725-1783",Otis,James,, 1725-1783,,,2,,,,0.000724375,
Pindaromastix.,Pindaromastix.,,,,,,2,,,,0.000724375,
"Pott, Percivall, 1714-1788.",Pott,Percivall,, 1714-1788.,,,2,,,,0.000724375,
"Reynolds, Frederick, 1764-1841.",Reynolds,Frederick,, 1764-1841.,,,2,,,,0.000724375,
"Richardson, Samuel, fl. 1643-1658.",Richardson,Samuel,, fl. 1643-1658.,,,2,,,,0.000724375,
"Sheridan, Richard, d. 1793.",Sheridan,Richard,, d. 1793.,,,2,,,,0.000724375,
"Sidney, Algernon, 1622-1683.",Sidney,Algernon,, 1622-1683.,,,2,,,,0.000724375,
"Smith, Hugh, 1736?-1789.",Smith,Hugh,, 1736?-1789.,,,2,,,,0.000724375,
"Spenser, Edmund, 1552?-1599",Spenser,Edmund,, 1552?-1599,,,2,,,,0.000724375,
"Spilsbury, Francis.",Spilsbury,Francis.,,,,,2,,,,0.000724375,
"Stedman, John Gabriel, 1744-1797.",Stedman,John Gabriel,, 1744-1797.,,,2,,,,0.000724375,
"Sterne, Laurence, 1713-1768",Sterne,Laurence,, 1713-1768,,,2,,,,0.000724375,
"Swift, Jonathan, 1667-1745",Swift,Jonathan,, 1667-1745,,,2,,,,0.000724375,
"Tickell, Richard, 1751-1793.",Tickell,Richard,, 1751-1793.,,,2,,,,0.000724375,
"Townley, James, 1714-1778.",Townley,James,, 1714-1778.,,,2,,,,0.000724375,
Unknown,Unknown,,,,,,2,,,,0.000724375,
"Vaughan, Thomas, fl. 1772-1820.",Vaughan,Thomas,, fl. 1772-1820.,,,2,,,,0.000724375,
"Watts, Isaac, 1674-1748.",Watts,Isaac,, 1674-1748.,,,2,,,,0.000724375,
"Wharton, Edith, 1862-1937",Wharton,Edith,, 1862-1937,,,2,,,,0.000724375,
"White, Gilbert, 1720-1793.",White,Gilbert,, 1720-1793.,,,2,,,,0.000724375,
"Wordsworth, William, 1770-1850",Wordsworth,William,, 1770-1850,,,2,,,,0.000724375,
"Abbot, George, 1562-1633.",Abbot,George,, 1562-1633.,,,1,,,,0.000362188,
"Abbott, Jacob, 1803-1879",Abbott,Jacob,, 1803-1879,,,1,,,,0.000362188,
"Ade, George, 1866-1944",Ade,George,, 1866-1944,,,1,,,,0.000362188,
"Aitken, John, d. 1790.",Aitken,John,, d. 1790.,,,1,,,,0.000362188,
"Alcott, Louisa May, 1832-1888",Alcott,Louisa May,, 1832-1888,,,1,,,,0.000362188,
"Alden, Henry Mills, 1836-1919 (ed.)",Alden,Henry Mills,, 1836-1919 (ed.),,,1,,,,0.000362188,
"Alderson, John, 1757-1829.",Alderson,John,, 1757-1829.,,,1,,,,0.000362188,
"Allen, Ethan, 1738-1789",Allen,Ethan,, 1738-1789,,,1,,,,0.000362188,
"Amhurst, N. (Nicholas), 1697-1742.",Amhurst,N. (Nicholas),, 1697-1742.,,,1,,,,0.000362188,
"Anderson, John, ca. 1730-1804.",Anderson,John,, ca. 1730-1804.,,,1,,,,0.000362188,
Anonymous,Anonymous,,,,,,1,,,,0.000362188,
"Anstey, Christopher, 1724-1805.",Anstey,Christopher,, 1724-1805.,,,1,,,,0.000362188,
Apothecary.,Apothecary.,,,,,,1,,,,0.000362188,
Aristotle.,Aristotle.,,,,,,1,,,,0.000362188,
"Armstrong, John, 1709-1779.",Armstrong,John,, 1709-1779.,,,1,,,,0.000362188,
"Arnaud de Ronsil, Georges, 1698-1774.",Arnaud de Ronsil,Georges,, 1698-1774.,,,1,,,,0.000362188,
"Atkins, John, 1685-1757.",Atkins,John,, 1685-1757.,,,1,,,,0.000362188,
Author of The practical scheme.,Author of The practical scheme.,,,,,,1,,,,0.000362188,
"Avison, Charles, 1710-1770.",Avison,Charles,, 1710-1770.,,,1,,,,0.000362188,
"Ayscough, James, d. ca. 1762.",Ayscough,James,, d. ca. 1762.,,,1,,,,0.000362188,
