author_name,last_name,first_name,title,birth_date,death_date,grand_total
"Psalmanazar, George, 1679?-1763",Psalmanazar,George,, 1679?,1763,4
"Walpole, Horace, 1717-1797",Walpole,Horace,,1717,1797,4
"Holman, J G (Joseph George), 1764-1817",Holman,J G (Joseph George),,1764,1817,4
"Marat, Jean Paul, 1743-1793",Marat,Jean Paul,,1743,1793,4
"Brand, John, 1744-1806",Brand,John,,1744,1806,4
"Hawkins, John, Sir, 1719-1789",Hawkins,John,,1719,1789,4
"Reed, Joseph, 1723-1787",Reed,Joseph,,1723,1787,4
"O'Hara, Kane, 1714?-1782",O'Hara,Kane,, 1714?,1782,4
"Pilkington, Laetitia, 1712-1750",Pilkington,Laetitia,,1712,1750,4
"Akenside, Mark, 1721-1770",Akenside,Mark,,1721,1770,4
"Barbauld, Mrs (Anna Letitia), 1743-1825",Barbauld,Anna Letitia,Mrs,1743,1825,4
"Francis, Philip, 1708?-1773",Francis,Philip,, 1708?,1773,4
"Griffith, Richard, d 1788",Griffith,Richard,, d 1788,,4
"Hitchcock, Robert, d 1809",Hitchcock,Robert,, d 1809,,4
"Wilkinson, Tate, 1739-1803",Wilkinson,Tate,,1739,1803,4
"Collins, William, 1721-1759",Collins,William,,1721,1759,4
"Dampier, William, 1652-1715",Dampier,William,,1652,1715,4
"Hawkins, William, 1722-1801",Hawkins,William,,1722,1801,4
"Shenstone, William, 1714-1763",Shenstone,William,,1714,1763,4
"Whitehead, William, 1715-1785",Whitehead,William,,1715,1785,4
"Brown, Charles Brockden, 1771-1810",Brown,Charles Brockden,,1771,1810,3
"Charke, Charlotte, 1713-1760",Charke,Charlotte,,1713,1760,3
"Hartley, David, 1705-1757",Hartley,David,,1705,1757,3
"Burroughs, Edgar Rice, 1875-1950",Burroughs,Edgar Rice,,1875,1950,3
"Darwin, Erasmus, 1731-1802",Darwin,Erasmus,,1731,1802,3
"Way, G L (Gregory Lewis), d 1799",Way,G L (Gregory Lewis),, d 1799,,3
"Cheyne, George, 1673-1743",Cheyne,George,,1673,1743,3
"Dodington, George Bubb, Baron of Melcombe Regis, 1691-1762",Dodington,George,,1691,1762,3
"Wells, HG (Herbert George), 1866-1946",Wells,HG (Herbert George),,1866,1946,3
"Bourne, Henry, 1696-1733",Bourne,Henry,,1696,1733,3
"Fielding, Henry, 1707-1754",Fielding,Henry,,1707,1754,3
"Melville, Herman, 1819-1891",Melville,Herman,,1819,1891,3
"Walton, Jacob, d 1743",Walton,Jacob,, d 1743,,3
"Jurin, James, 1684-1750",Jurin,James,,1684,1750,3
"Austen, Jane, 1775-1817",Austen,Jane,,1775,1817,3
"Hill, John, 1714?-1775",Hill,John,, 1714?,1775,3
"Hoole, John, 1727-1803",Hoole,John,,1727,1803,3
"Wallis, John, 1714-1793",Wallis,John,,1714,1793,3
"Conrad, Joseph, 1857-1924",Conrad,Joseph,,1857,1924,3
"Warton, Joseph, 1722-1800",Warton,Joseph,,1722,1800,3
"Pulteney, Richard, 1730-1801",Pulteney,Richard,,1730,1801,3
"Stevenson, Robert Louis, 1850-1894",Stevenson,Robert Louis,,1850,1894,3
"Chatterton, Thomas, 1752-1770",Chatterton,Thomas,,1752,1770,3
"Ellwood, Thomas, 1639-1713",Ellwood,Thomas,,1639,1713,3
"King, Thomas, 1730-1805",King,Thomas,,1730,1805,3
"Hawkins, W (William), 18th cent",Hawkins,W (William),, 18th cent,,3
"Blake, William, 1757-1827",Blake,William,,1757,1827,3
"Burke, William, 1730-1798",Burke,William,,1730,1798,3
"Hazlitt, William, 1737-1820",Hazlitt,William,,1737,1820,3
"James, William, 1842-1910",James,William,,1842,1910,3
"Jardine, Alexander, d 1799",Jardine,Alexander,, d 1799,,2
"Sidney, Algernon, 1622-1683",Sidney,Algernon,,1622,1683,2
"Bront�, Anne, 1820-1849",Bront�,Anne,,1820,1849,2
"Belloste, Augustin, 1654-1730",Belloste,Augustin,,1654,1730,2
"Lennox, Charlotte, 1729-1804",Lennox,Charlotte,,1729,1804,2
"Lennox, Charlotte, 1729-1804 Trifler",Lennox,Charlotte,,1729,1804 Trifler,2
"Lawrence, DH (David Herbert), 1885-1930",Lawrence,DH (David Herbert),,1885,1930,2
"Defoe, Daniel, 1661?-1731",Defoe,Daniel,, 1661?,1731,2
"Erasmus, Desiderius, d 1536",Erasmus,Desiderius,, d 1536,,2
"Wharton, Edith, 1862-1937",Wharton,Edith,,1862,1937,2
"Spenser, Edmund, 1552?-1599",Spenser,Edmund,, 1552?,1599,2
"Ashmole, Elias, 1617-1692",Ashmole,Elias,,1617,1692,2
"Spilsbury, Francis",Spilsbury,Francis,,,,2
"Reynolds, Frederick, 1764-1841",Reynolds,Frederick,,1764,1841,2
"Chaucer, Geoffrey, d 1400",Chaucer,Geoffrey,, d 1400,,2
"Berkeley, George, 1733-1795",Berkeley,George,,1733,1795,2
"Colman, George, 1762-1836",Colman,George,,1762,1836,2
"White, Gilbert, 1720-1793",White,Gilbert,,1720,1793,2
"Hartson, Hall, d 1773",Hartson,Hall,, d 1773,,2
"Kelley, Hugh, 1739-1777",Kelley,Hugh,,1739,1777,2
"Smith, Hugh, 1736?-1789",Smith,Hugh,, 1736?,1789,2
"Watts, Isaac, 1674-1748",Watts,Isaac,,1674,1748,2
"Donaldson, J (John), 1737-1801",Donaldson,J (John),,1737,1801,2
"Otis, James, 1725-1783",Otis,James,,1725,1783,2
"Townley, James, 1714-1778",Townley,James,,1714,1778,2
"Arbuthnot, John, of Mitcham",Arbuthnot,John,, of Mitcham,,2
"Gay, John, 1685-1732",Gay,John,,1685,1732,2
"Muir, John, 1838-1914",Muir,John,,1838,1914,2
"Stedman, John Gabriel, 1744-1797",Stedman,John Gabriel,,1744,1797,2
"Baum, L Frank (Lyman Frank), 1856-1919",Baum,L Frank (Lyman Frank),,1856,1919,2
"Montgomery, L M (Lucy Maud), 1874-1942",Montgomery,L M (Lucy Maud),,1874,1942,2
"Sterne, Laurence, 1713-1768",Sterne,Laurence,,1713,1768,2
"Edgeworth, Maria, 1767-1849",Edgeworth,Maria,,1767,1849,2
"Clive, Mrs (Catherine), 1711-1785",Clive,Catherine,Mrs,1711,1785,2
"Firishtah, Muḥammad Qāsim Hindū Shāh Astarābādī",Firishtah,Muḥammad Qāsim Hindū Shāh Astarābādī,,,,2
"Hawthorne, Nathaniel, 1804-1864",Hawthorne,Nathaniel,,1804,1864,2
"Equiano, Olaudah, b 1745",Equiano,Olaudah,, b 1745,,2
"Pott, Percivall, 1714-1788",Pott,Percivall,,1714,1788,2
"Doddridge, Philip, 1702-1751",Doddridge,Philip,,1702,1751,2
"Beilby, Ralph, 1743-1817",Beilby,Ralph,,1743,1817,2
"Bulstrode, Richard, Sir, 1610-1711",Bulstrode,Richard,,1610,1711,2
"Mead, Richard, 1673-1754",Mead,Richard,,1673,1754,2
"Sheridan, Richard, d 1793",Sheridan,Richard,, d 1793,,2
"Tickell, Richard, 1751-1793",Tickell,Richard,,1751,1793,2
"Musgrave, Samuel, 1732-1780",Musgrave,Samuel,,1732,1780,2
"Richardson, Samuel, fl 1643-1658",Richardson,Samuel,, fl 1643,1658,2
"John and William Cunningham and Company (Brewers : Glasgow, Scotland)",John and William Cunningham and Company (Brewers : Glasgow,Scotland),,,,2
"Crane, Stephen, 1871-1900",Crane,Stephen,,1871,1900,2
"Malthus, T R (Thomas Robert), 1766-1834",Malthus,T R (Thomas Robert),,1766,1834,2
"Amory, Thomas, 1691?-1788?",Amory,Thomas,, 1691?,1788?,2
"Browne, Thomas, Sir, 1605-1682",Browne,Thomas,,1605,1682,2
"Leland, Thomas, 1722-1785",Leland,Thomas,,1722,1785,2
"Vaughan, Thomas, fl 1772-1820",Vaughan,Thomas,, fl 1772,1820,2
"Cockburn, W (William), 1669-1739",Cockburn,W (William),,1669,1739,2
"Chaigneau, William, 1709-1781",Chaigneau,William,,1709,1781,2
"Cowper, William, 1731-1800",Cowper,William,,1731,1800,2
"Hayley, William, 1657-1715",Hayley,William,,1657,1715,2
"Wordsworth, William, 1770-1850",Wordsworth,William,,1770,1850,2
Authoress of Emeline,Authoress of Emeline,,,,,2
Pindaromastix,Pindaromastix,,,,,2
Unknown,Unknown,,,,,2
"College, Academy, and Charitable Schools of Philadelphia",College,Academy,, and Charitable Schools of Philadelphia,,1
"Ferguson, Adam, 1723-1816",Ferguson,Adam,,1723,1816,1
"Smith, Adam, 1723-1790",Smith,Adam,,1723,1790,1
"Forbes of Pitsligo, Alexander Forbes, Lord, 1678-1762",Forbes,Alexander,,1678,1762,1
"Grant, Alexander, d 1817",Grant,Alexander,, d 1817,,1
"Monro, Alexander, 1733-1817",Monro,Alexander,,1733,1817,1
"Pope, Alexander, 1688-1744",Pope,Alexander,,1688,1744,1
"Pope, Alexander, 1763-1835",Pope,Alexander,,1763,1835,1
"Thomson, Alexander, MD",Thomson,Alexander,, MD,,1
"Tennyson, Alfred Tennyson, Baron, 1809-1892",Tennyson,Alfred,,1809,1892,1
"Bierce, Ambrose, 1842-1914?",Bierce,Ambrose,,1842,1914?,1
"Philips, Ambrose, 1674-1749",Philips,Ambrose,,1674,1749,1
"Marvell, Andrew, 1621-1678",Marvell,Andrew,,1621,1678,1
"Radcliffe, Ann Sophia",Radcliffe,Ann Sophia,,,,1
"Winchilsea, Anne Kingsmill Finch, Countess of, 1661-1720",Kingsmill Finch,Anne,,1661,1720,1
"Turgot, Anne-Robert-Jacques, baron de l'Aulne, 1727-1781",Turgot,Anne-Robert-Jacques,,1727,1781,1
"Lambrechts, Arentius Ferdinand",Lambrechts,Arentius Ferdinand,,,,1
"Duck, Arthur",Duck,Arthur,,,,1
"Orczy, Baroness Emmuska, 1865-1947",Orczy,Baroness Emmuska,,1865,1947,1
"Potter, Beatrix, 1866-1943",Potter,Beatrix,,1866,1943,1
"Bell, Benjamin, 1749-1806",Bell,Benjamin,,1749,1806,1
"Franklin, Benjamin, 1706-1790",Franklin,Benjamin,,1706,1790,1
"Hoadly, Benjamin, 1676-1761",Hoadly,Benjamin,,1676,1761,1
"Robins, Benjamin, 1707-1751",Robins,Benjamin,,1707,1751,1
"Okell, Benjamin",Okell,Benjamin,,,,1
"Overton, Benjamin",Overton,Benjamin,,,,1
"Mandeville, Bernard, 1670-1733",Mandeville,Bernard,,1670,1733,1
"Ogden, Bernard, b 1767",Ogden,Bernard,, b 1767,,1
"Stoker, Bram, 1847-1912",Stoker,Bram,,1847,1912,1
"Duncan, Chapman",Duncan,Chapman,,,,1
"Avison, Charles, 1710-1770",Avison,Charles,,1710,1770,1
"Brown, Charles, fl 1797-1799",Brown,Charles,, fl 1797,1799,1
"Darwin, Charles, 1809-1882",Darwin,Charles,,1809,1882,1
"Hutton, Charles, shipmaster in Culross",Hutton,Charles,, shipmaster in Culross,,1
"Roberts, Charles George Douglas, Sir, 1860-1943",Roberts,Charles George Douglas,,1860,1943,1
"Gilman, Charlotte Perkins, 1860-1935",Gilman,Charlotte Perkins,,1860,1935,1
"Anstey, Christopher, 1724-1805",Anstey,Christopher,,1724,1805,1
"Marlowe, Christopher, 1564-1593",Marlowe,Christopher,,1564,1593,1
"Smart, Christopher, 1722-1771",Smart,Christopher,,1722,1771,1
"Famine, Citizen",Famine,Citizen,,,,1
"Josef Schmied, Claudia Claridge, Rainer Siemund (ed)",Josef Schmied,Claudia Claridge,, Rainer Siemund (ed),,1
"Wintringham, Clifton, 1689-1748",Wintringham,Clifton,,1689,1748,1
"Cibber, Colley, 1671-1757",Cibber,Colley,,1671,1757,1
"Merande, D",Merande,D,,,,1
"Turner, Daniel, 1667-1741",Turner,Daniel,,1667,1741,1
"Phillips, David Graham, 1867-1911",Phillips,David Graham,,1867,1911,1
"Rivers, David",Rivers,David,,,,1
"Killings, Douglas B (ed)",Killings,Douglas B (ed),,,,1
"Rock, Dr (Richard), 1708-1774",Rock,Dr (Richard),,1708,1774,1
"Kelly, Ebenezer Beriah, b 1783",Kelly,Ebenezer Beriah,, b 1783,,1
"Gibbon, Edward, 1737-1794",Gibbon,Edward,,1737,1794,1
"Jenner, Edward, 1749-1823",Jenner,Edward,,1749,1823,1
"Moore, Edward, 1712-1757",Moore,Edward,,1712,1757,1
"Westcott, Edward Noyes, 1847-1898",Westcott,Edward Noyes,,1847,1898,1
"Moxon, Elizabeth",Moxon,Elizabeth,,,,1
"Dobbie, Elliott Van Kirk (ed)",Dobbie,Elliott Van Kirk (ed),,,,1
"Bront�, Emily, 1818-1848",Bront�,Emily,,1818,1848,1
"Barbers' Company (London, England)",Barbers' Company (London,England),,,,1
"Dictionaries, etc",,Dictionaries,,,,1
"Allen, Ethan, 1738-1789",Allen,Ethan,,1738,1789,1
"Home, Everard, Sir, 1756-1832",Home,Everard,,1756,1832,1
"Skrimshire, F (Fenwick), 1774 or 5-1855",Skrimshire,Fenwick,, 1774 or 5,1855,1
"Fitzgerald, F Scott (Francis Scott), 1896-1940",Fitzgerald,F Scott (Francis Scott),,1896,1940,1
"Baratier, François, 1682-1751",Baratier,François,,1682,1751,1
"Sheridan, Frances Chamberlaine, 1724-1766",Sheridan,Frances Chamberlaine,,1724,1766,1
"Bellinger, Francis, d 1721",Bellinger,Francis,, d 1721,,1
"Hopkinson, Francis, 1737-1791",Hopkinson,Francis,,1737,1791,1
"Abbot, George, 1562-1633",Abbot,George,,1562,1633,1
"Ade, George, 1866-1944",Ade,George,,1866,1944,1
"Carleton, George, fl 1728",Carleton,George,, fl 1728,,1
"Cayley, George, Sir, 1773-1857",Cayley,George,,1773,1857,1
"Crawford, George, fl 1710",Crawford,George,, fl 1710,,1
"Culley, George, 1735-1813",Culley,George,,1735,1813,1
"Duckett, George, 1684-1732",Duckett,George,,1684,1732,1
"Puttenham, George, d 1590",Puttenham,George,, d 1590,,1
"Rennie, George, 1749-1828",Rennie,George,,1749,1828,1
"Krapp, George Philip, 1872-1934",Krapp,George Philip,,1872,1934,1
"Borthwick, George",Borthwick,George,,,,1
"Arnaud de Ronsil, Georges, 1698-1774",Arnaud de Ronsil,Georges,,1698,1774,1
"Blane, Gilbert, Sir, 1749-1834",Blane,Gilbert,,1749,1834,1
"Wakefield, Gilbert, 1756-1801",Wakefield,Gilbert,,1756,1801,1
"Langley, Gilbert",Langley,Gilbert,,,,1
"Brett-Smith, H F B (Herbert Francis Brett) (ed)",Brett-Smith,H F B (Herbert Francis Brett) (ed),,,,1
"Brand, Hannah, d 1821",Brand,Hannah,, d 1821,,1
"Sloane, Hans, Sir, 1660-1753",Sloane,Hans,,1660,1753,1
"Stowe, Harriet Beecher, 1811-1896",Stowe,Harriet Beecher,,1811,1896,1
"von Aue, Hartmann, 12th cent",von Aue,Hartmann,, 12th cent,,1
"Banyer, Henry, fl 1718-1736",Banyer,Henry,, fl 1718,1736,1
"Chettle, Henry,(ca 1560-1607)",Chettle,Henry,,(ca 1560,1607),1
"Giffard, Henry, 1699-1772",Giffard,Henry,,1699,1772,1
"Jones, Henry, fl 1782",Jones,Henry,, fl 1782,,1
"Alden, Henry Mills, 1836-1919 (ed)",Alden,Henry Mills,,1836,1919 (ed),1
"Dampier, Henry",Dampier,Henry,,,,1
"Flower, Henry",Flower,Henry,,,,1
"Wigstead, Henry",Wigstead,Henry,,,,1
"Boyesen, Hjalmar Hjorth, 1848-1895",Boyesen,Hjalmar Hjorth,,1848,1895,1
"Hudibras, Hugh",Hudibras,Hugh,,,,1
"Kelly, Hugh",Kelly,Hugh,,,,1
"Jackson, Humphrey, ca 1717-1801",Jackson,Humphrey,, ca 1717,1801,1
"Polesworth, Humphry, Sir, 18th cent",Polesworth,Humphry,, 18th cent,,1
"Bickerstaff, Isaac, Jun",Bickerstaff,Isaac,, Jun,,1
"Newton, Isaac, Sir, 1642-1727",Newton,Isaac,,1642,1727,1
"Pinto, Isaac de, 1715-1787",Pinto,Isaac de,,1715,1787,1
"Bickerstaff, Isaac",Bickerstaff,Isaac,,,,1
"Wall, J",Wall,J,,,,1
"Bailey, J (John), 1750-1819",Bailey,J (John),,1750,1819,1
"Wright, J (John), fl 1761-1765",Wright,J (John),, fl 1761,1765,1
"Holwell, J Z (John Zephaniah), 1711-1798",Holwell,J Z (John Zephaniah),,1711,1798,1
"Abbott, Jacob, 1803-1879",Abbott,Jacob,,1803,1879,1
"Vanderlint, Jacob",Vanderlint,Jacob,,,,1
"Ayscough, James, d ca 1762",Ayscough,James,, d ca 1762,,1
"Earle, James, Sir, 1755-1817",Earle,James,,1755,1817,1
"Graham, James, 1745-1794",Graham,James,,1745,1794,1
"Johnstone, James, 1730?-1802",Johnstone,James,, 1730?,1802,1
"Lind, James, 1736-1812",Lind,James,,1736,1812,1
