author_name,last_name,first_name,title,birth_date,death_date,count,fraction_total,dataset
"Centlivre, Susanna, 1667?-1723",Centlivre,Susanna,not_applicable, 1667?,1723,18,0.006517017,ota
"Pennant, Thomas, 1726-1798",Pennant,Thomas,not_applicable,1726,1798,18,0.006517017,ota
"Berkeley, George, 1685-1753",Berkeley,George,not_applicable,1685,1753,17,0.00615496,ota
"Hill, Aaron, 1685-1750",Hill,Aaron,not_applicable,1685,1750,16,0.005792904,ota
"Gentleman, Francis, 1728-1784",Gentleman,Francis,not_applicable,1728,1784,16,0.005792904,ota
"Carey, Henry, 1687?-1743",Carey,Henry,not_applicable, 1687?,1743,16,0.005792904,ota
"Sterne, Laurence, 1713-1768",Sterne,Laurence,not_applicable,1713,1768,16,0.005792904,ota
"Bickerstaff, Isaac, 1735-1812",Bickerstaff,Isaac,not_applicable,1735,1812,15,0.005430847,ota
"Griffith, Mrs (Elizabeth), 1720?-1793",Griffith,Elizabeth,Mrs, 1720?,1793,15,0.005430847,ota
"Cowley, Mrs (Hannah), 1743-1809",Cowley,Hannah,Mrs,1743,1809,15,0.005430847,ota
"Carey, George Saville, 1743-1807",Carey,George Saville,,1743,1807,14,0.005068791,ota
"Dudley, H Bate, Sir (Henry Bate), 1745-1824",Bate,Henry,,1745,1824,14,0.005068791,ota
"Jephson, Robert, 1736-1803",Jephson,Robert,,1736,1803,14,0.005068791,ota
"Warton, Thomas, 1728-1790",Warton,Thomas,,1728,1790,14,0.005068791,ota
"Boswell, James, 1740-1795",Boswell,James,,1740,1795,13,0.004706734,ota
"Thomson, James, 1700-1748",Thomson,James,,1700,1748,13,0.004706734,ota
"Brown, John, 1715-1766",Brown,John,,1715,1766,13,0.004706734,ota
"Hull, Thomas, 1728-1808",Hull,Thomas,,1728,1808,13,0.004706734,ota
"Fawkes, Francis, 1720-1777",Fawkes,Francis,,1720,1777,12,0.004344678,ota
"Kames, Henry Home, Lord, 1696-1782",Home,Henry,,1696,1782,12,0.004344678,ota
"Jones, Henry, 1721-1770",Jones,Henry,,1721,1770,12,0.004344678,ota
"Francis, Philip, Sir, 1740-1818",Francis,Philip,,1740,1818,12,0.004344678,ota
"Congreve, William, 1670-1729",Congreve,William,,1670,1729,12,0.004344678,ota
"Mason, William, 1725-1797",Mason,William,,1725,1797,12,0.004344678,ota
"Woty, William, 1731?-1791",Woty,William,, 1731?,1791,12,0.004344678,ota
"Gibbon, Edward, 1737-1794",Gibbon,Edward,,1737,1794,11,0.003982621,ota
"Pilon, Frederick, 1750-1788",Pilon,Frederick,,1750,1788,11,0.003982621,ota
"Glover, Richard, 1712-1785",Glover,Richard,,1712,1785,11,0.003982621,ota
"Gray, Thomas, 1716-1771",Gray,Thomas,,1716,1771,11,0.003982621,ota
"Buffon, Georges Louis Leclerc, comte de, 1707-1788",Leclerc,Georges-Louis,,1707,1788,10,0.003620565,ota
"Macpherson, James, 1736-1796",Macpherson,James,,1736,1796,10,0.003620565,ota
"Pinkerton, John, 1758-1826",Pinkerton,John,,1758,1826,10,0.003620565,ota
"Duck, Stephen, 1705-1756",Duck,Stephen,,1705,1756,10,0.003620565,ota
"Hutchinson, William, 1732-1814",Hutchinson,William,,1732,1814,10,0.003620565,ota
"Paley, William, 1743-1805",Paley,William,,1743,1805,10,0.003620565,ota
"Radcliffe, Ann Ward, 1764-1823",Radcliffe,Ann Ward,,1764,1823,9,0.003258508,ota
"James, Henry, 1843-1916",James,Henry,,1843,1916,9,0.003258508,ota
"Kelly, Hugh, 1739-1777",Kelly,Hugh,,1739,1777,9,0.003258508,ota
"Brand, John, d 1808",Brand,John,, d 1808,,9,0.003258508,ota
"Hawkesworth, John, 1715?-1773",Hawkesworth,John,, 1715?,1773,9,0.003258508,ota
"MacNally, Leonard, 1752-1820",MacNally,Leonard,,1752,1820,9,0.003258508,ota
"Lloyd, Robert, 1733-1764",Lloyd,Robert,,1733,1764,9,0.003258508,ota
"Cibber, Theophilus, 1703-1758",Cibber,Theophilus,,1703,1758,9,0.003258508,ota
"Whiston, William, 1667-1752",Whiston,William,,1667,1752,9,0.003258508,ota
"Trollope, Anthony, 1815-1882",Trollope,Anthony,,1815,1882,8,0.002896452,ota
"Hutton, Charles, 1737-1823",Hutton,Charles,,1737,1823,8,0.002896452,ota
"Macklin, Charles, 1697?-1797",Macklin,Charles,, 1697?,1797,8,0.002896452,ota
"Cobb, James, 1756-1818",Cobb,James,,1756,1818,8,0.002896452,ota
"Spence, Thomas, 1750-1814",Spence,Thomas,,1750,1814,8,0.002896452,ota
"Chetwood, W R (William Rufus), d 1766",Chetwood,W R (William Rufus),, d 1766,,8,0.002896452,ota
Homer,Homer,,,,,8,0.002896452,ota
"Gerard, Alexander, 1728-1795",Gerard,Alexander,,1728,1795,7,0.002534395,ota
"Dickens, Charles, 1812-1870",Dickens,Charles,,1812,1870,7,0.002534395,ota
"Burney, Fanny, 1752-1840",Burney,Fanny,,1752,1840,7,0.002534395,ota
"Stevens, George Alexander, 1710-1784",Stevens,George Alexander,,1710,1784,7,0.002534395,ota
"Williams, Helen Maria, 1762-1827",Williams,Helen Maria,,1762,1827,7,0.002534395,ota
"Blair, Hugh, 1718-1800",Blair,Hugh,,1718,1800,7,0.002534395,ota
"Downman, Hugh, 1740-1809",Downman,Hugh,,1740,1809,7,0.002534395,ota
"Aikin, John, 1747-1822",Aikin,John,,1747,1822,7,0.002534395,ota
"Burgoyne, John, 1722-1792",Burgoyne,John,,1722,1792,7,0.002534395,ota
"Lewis, M G (Matthew Gregory), 1775-1818",Lewis,M G (Matthew Gregory),,1775,1818,7,0.002534395,ota
"Rowe, Nicholas, 1674-1718",Rowe,Nicholas,,1674,1718,7,0.002534395,ota
"Morton, Thomas, 1764-1838",Morton,Thomas,,1764,1838,7,0.002534395,ota
"Colman, George, 1732-1794",Colman,George,,1732,1794,6,0.002172339,ota
"Eliot, George, 1819-1880",Eliot,George,,1819,1880,6,0.002172339,ota
"Disraeli, Isaac, 1766-1848",Disraeli,Isaac,,1766,1848,6,0.002172339,ota
"Delap, J (John), 1725-1812",Delap,J (John),,1725,1812,6,0.002172339,ota
"Brown, John, 1722-1787",Brown,John,,1722,1787,6,0.002172339,ota
"Home, John, 1722-1808",Home,John,,1722,1808,6,0.002172339,ota
"Milton, John, 1608-1674",Milton,John,,1608,1674,6,0.002172339,ota
"Twain, Mark, 1835-1910",Twain,Mark,,1835,1910,6,0.002172339,ota
"Mendez, Moses, d 1758",Mendez,Moses,, d 1758,,6,0.002172339,ota
"Savage, Richard, d 1743",Savage,Richard,, d 1743,,6,0.002172339,ota
"Johnson, Samuel, 1709-1784",Johnson,Samuel,,1709,1784,6,0.002172339,ota
"Lee, Sophia, 1750-1824",Lee,Sophia,,1750,1824,6,0.002172339,ota
"Boreman, Thomas, fl 1730-1743",Boreman,Thomas,, fl 1730,1743,6,0.002172339,ota
"Jefferson, Thomas, 1743-1826",Jefferson,Thomas,,1743,1826,6,0.002172339,ota
"Smollett, Tobias George, 1721-1771",Smollett,Tobias George,,1721,1771,6,0.002172339,ota
"Jonson, Ben, 1573?-1637",Jonson,Ben,, 1573?,1637,5,0.001810282,ota
"Johnstone, Charles, 1719?-1800?",Johnstone,Charles,, 1719?,1800?,5,0.001810282,ota
"Smith, Charlotte Turner, 1749-1806",Smith,Charlotte Turner,,1749,1806,5,0.001810282,ota
"Craven, Elizabeth Craven, Baroness, 1750-1828",Craven,Elizabeth,,1750,1828,5,0.001810282,ota
"Waldron, F G (Francis Godolphin), 1744-1818",Waldron,Francis Godolphin,,1744,1818,5,0.001810282,ota
"Brooke, Frances, 1724?-1789",Brooke,Frances,, 1724?,1789,5,0.001810282,ota
"Berkeley, George Monck, 1763-1793",Berkeley,George Monck,,1763,1793,5,0.001810282,ota
"Brooke, Henry, 1703?-1783",Brooke,Henry,, 1703?,1783,5,0.001810282,ota
"Fielding, Henry, 1707-1754",Fielding,Henry,,1707,1754,5,0.001810282,ota
"London, Jack, 1876-1916",London,Jack,,1876,1916,5,0.001810282,ota
"Janeway, James, 1636?-1674",Janeway,James,, 1636?,1674,5,0.001810282,ota
"Murray, James, 1732-1782",Murray,James,,1732,1782,5,0.001810282,ota
"Cunningham, John, 1729-1773",Cunningham,John,,1729,1773,5,0.001810282,ota
"Kemble, John Philip, 1757-1823",Kemble,John Philip,,1757,1823,5,0.001810282,ota
"Cradock, Joseph, 1742-1826",Cradock,Joseph,,1742,1826,5,0.001810282,ota
"Ritson, Joseph, 1752-1803",Ritson,Joseph,,1752,1803,5,0.001810282,ota
"Berquin, M (Arnaud), 1747-1791",Berquin,M (Arnaud),,1747,1791,5,0.001810282,ota
"Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705",Aulnoy,Madame d' (Marie-Catherine),, 1650 or 51,1705,5,0.001810282,ota
"Andrews, Miles Peter, d 1814",Andrews,Miles Peter,, d 1814,,5,0.001810282,ota
"Hoare, Prince, 1755-1834",Hoare,Prince,,1755,1834,5,0.001810282,ota
"Bentley, R (Richard), 1708-1782",Bentley,R (Richard),,1708,1782,5,0.001810282,ota
"Steele, Richard, Sir, 1672-1729",Steele,Richard,,1672,1729,5,0.001810282,ota
"Shiells, Robert, d 1753",Shiells,Robert,, d 1753,,5,0.001810282,ota
"Hardy, Thomas, 1840-1928",Hardy,Thomas,,1840,1928,5,0.001810282,ota
"Parnell, Thomas, 1679-1718",Parnell,Thomas,,1679,1718,5,0.001810282,ota
"Woolston, Thomas, 1670-1733",Woolston,Thomas,,1670,1733,5,0.001810282,ota
"Mason, William, 1719-1791",Mason,William,,1719,1791,5,0.001810282,ota
"Oldys, William, 1696-1761",Oldys,William,,1696,1761,5,0.001810282,ota
"Ovid, 43 BC-17 or 18 AD",,Ovid,, 43 BC,18 AD,5,0.001810282,ota
"Smith, Adam, 1723-1790",Smith,Adam,,1723,1790,4,0.001448226,ota
"Dow, Alexander, d 1779",Dow,Alexander,, d 1779,,4,0.001448226,ota
"Henry, David, 1710-1792",Henry,David,,1710,1792,4,0.001448226,ota
"Pearch, G",Pearch,G,,,,4,0.001448226,ota
"Lillo, George, 1693-1739",Lillo,George,,1693,1739,4,0.001448226,ota
"Psalmanazar, George, 1679?-1763",Psalmanazar,George,, 1679?,1763,4,0.001448226,ota
"Walpole, Horace, 1717-1797",Walpole,Horace,,1717,1797,4,0.001448226,ota
"Holman, J G (Joseph George), 1764-1817",Holman,J G (Joseph George),,1764,1817,4,0.001448226,ota
"Marat, Jean Paul, 1743-1793",Marat,Jean Paul,,1743,1793,4,0.001448226,ota
"Brand, John, 1744-1806",Brand,John,,1744,1806,4,0.001448226,ota
"Hawkins, John, Sir, 1719-1789",Hawkins,John,,1719,1789,4,0.001448226,ota
"Reed, Joseph, 1723-1787",Reed,Joseph,,1723,1787,4,0.001448226,ota
"O'Hara, Kane, 1714?-1782",O'Hara,Kane,, 1714?,1782,4,0.001448226,ota
"Pilkington, Laetitia, 1712-1750",Pilkington,Laetitia,,1712,1750,4,0.001448226,ota
"Akenside, Mark, 1721-1770",Akenside,Mark,,1721,1770,4,0.001448226,ota
"Barbauld, Mrs (Anna Letitia), 1743-1825",Barbauld,Anna Letitia,Mrs,1743,1825,4,0.001448226,ota
"Francis, Philip, 1708?-1773",Francis,Philip,, 1708?,1773,4,0.001448226,ota
"Griffith, Richard, d 1788",Griffith,Richard,, d 1788,,4,0.001448226,ota
"Hitchcock, Robert, d 1809",Hitchcock,Robert,, d 1809,,4,0.001448226,ota
"Wilkinson, Tate, 1739-1803",Wilkinson,Tate,,1739,1803,4,0.001448226,ota
"Collins, William, 1721-1759",Collins,William,,1721,1759,4,0.001448226,ota
"Dampier, William, 1652-1715",Dampier,William,,1652,1715,4,0.001448226,ota
"Hawkins, William, 1722-1801",Hawkins,William,,1722,1801,4,0.001448226,ota
"Shenstone, William, 1714-1763",Shenstone,William,,1714,1763,4,0.001448226,ota
"Whitehead, William, 1715-1785",Whitehead,William,,1715,1785,4,0.001448226,ota
"Brown, Charles Brockden, 1771-1810",Brown,Charles Brockden,,1771,1810,3,0.001086169,ota
"Charke, Charlotte, 1713-1760",Charke,Charlotte,,1713,1760,3,0.001086169,ota
"Hartley, David, 1705-1757",Hartley,David,,1705,1757,3,0.001086169,ota
"Burroughs, Edgar Rice, 1875-1950",Burroughs,Edgar Rice,,1875,1950,3,0.001086169,ota
"Darwin, Erasmus, 1731-1802",Darwin,Erasmus,,1731,1802,3,0.001086169,ota
"Way, G L (Gregory Lewis), d 1799",Way,G L (Gregory Lewis),, d 1799,,3,0.001086169,ota
"Cheyne, George, 1673-1743",Cheyne,George,,1673,1743,3,0.001086169,ota
"Dodington, George Bubb, Baron of Melcombe Regis, 1691-1762",Dodington,George,,1691,1762,3,0.001086169,ota
"Wells, HG (Herbert George), 1866-1946",Wells,HG (Herbert George),,1866,1946,3,0.001086169,ota
"Bourne, Henry, 1696-1733",Bourne,Henry,,1696,1733,3,0.001086169,ota
"Fielding, Henry, 1707-1754",Fielding,Henry,,1707,1754,3,0.001086169,ota
"Melville, Herman, 1819-1891",Melville,Herman,,1819,1891,3,0.001086169,ota
"Walton, Jacob, d 1743",Walton,Jacob,, d 1743,,3,0.001086169,ota
"Jurin, James, 1684-1750",Jurin,James,,1684,1750,3,0.001086169,ota
"Austen, Jane, 1775-1817",Austen,Jane,,1775,1817,3,0.001086169,ota
"Hill, John, 1714?-1775",Hill,John,, 1714?,1775,3,0.001086169,ota
"Hoole, John, 1727-1803",Hoole,John,,1727,1803,3,0.001086169,ota
"Wallis, John, 1714-1793",Wallis,John,,1714,1793,3,0.001086169,ota
"Conrad, Joseph, 1857-1924",Conrad,Joseph,,1857,1924,3,0.001086169,ota
"Warton, Joseph, 1722-1800",Warton,Joseph,,1722,1800,3,0.001086169,ota
"Pulteney, Richard, 1730-1801",Pulteney,Richard,,1730,1801,3,0.001086169,ota
"Stevenson, Robert Louis, 1850-1894",Stevenson,Robert Louis,,1850,1894,3,0.001086169,ota
"Chatterton, Thomas, 1752-1770",Chatterton,Thomas,,1752,1770,3,0.001086169,ota
"Ellwood, Thomas, 1639-1713",Ellwood,Thomas,,1639,1713,3,0.001086169,ota
"King, Thomas, 1730-1805",King,Thomas,,1730,1805,3,0.001086169,ota
"Hawkins, W (William), 18th cent",Hawkins,W (William),, 18th cent,,3,0.001086169,ota
"Blake, William, 1757-1827",Blake,William,,1757,1827,3,0.001086169,ota
"Burke, William, 1730-1798",Burke,William,,1730,1798,3,0.001086169,ota
"Hazlitt, William, 1737-1820",Hazlitt,William,,1737,1820,3,0.001086169,ota
"James, William, 1842-1910",James,William,,1842,1910,3,0.001086169,ota
"Jardine, Alexander, d 1799",Jardine,Alexander,, d 1799,,2,0.000724113,ota
"Sidney, Algernon, 1622-1683",Sidney,Algernon,,1622,1683,2,0.000724113,ota
"Bront�, Anne, 1820-1849",Bront�,Anne,,1820,1849,2,0.000724113,ota
"Belloste, Augustin, 1654-1730",Belloste,Augustin,,1654,1730,2,0.000724113,ota
"Lawrence, DH (David Herbert), 1885-1930",Lawrence,DH (David Herbert),,1885,1930,2,0.000724113,ota
"Erasmus, Desiderius, d 1536",Erasmus,Desiderius,, d 1536,,2,0.000724113,ota
"Wharton, Edith, 1862-1937",Wharton,Edith,,1862,1937,2,0.000724113,ota
"Spenser, Edmund, 1552?-1599",Spenser,Edmund,, 1552?,1599,2,0.000724113,ota
"Ashmole, Elias, 1617-1692",Ashmole,Elias,,1617,1692,2,0.000724113,ota
"Spilsbury, Francis",Spilsbury,Francis,,,,2,0.000724113,ota
"Reynolds, Frederick, 1764-1841",Reynolds,Frederick,,1764,1841,2,0.000724113,ota
"Chaucer, Geoffrey, d 1400",Chaucer,Geoffrey,, d 1400,,2,0.000724113,ota
"Berkeley, George, 1733-1795",Berkeley,George,,1733,1795,2,0.000724113,ota
"Colman, George, 1762-1836",Colman,George,,1762,1836,2,0.000724113,ota
"White, Gilbert, 1720-1793",White,Gilbert,,1720,1793,2,0.000724113,ota
"Hartson, Hall, d 1773",Hartson,Hall,, d 1773,,2,0.000724113,ota
"Kelley, Hugh, 1739-1777",Kelley,Hugh,,1739,1777,2,0.000724113,ota
"Smith, Hugh, 1736?-1789",Smith,Hugh,, 1736?,1789,2,0.000724113,ota
"Watts, Isaac, 1674-1748",Watts,Isaac,,1674,1748,2,0.000724113,ota
"Donaldson, J (John), 1737-1801",Donaldson,J (John),,1737,1801,2,0.000724113,ota
"Otis, James, 1725-1783",Otis,James,,1725,1783,2,0.000724113,ota
"Townley, James, 1714-1778",Townley,James,,1714,1778,2,0.000724113,ota
"Arbuthnot, John, of Mitcham",Arbuthnot,John,, of Mitcham,,2,0.000724113,ota
"Gay, John, 1685-1732",Gay,John,,1685,1732,2,0.000724113,ota
"Muir, John, 1838-1914",Muir,John,,1838,1914,2,0.000724113,ota
"Stedman, John Gabriel, 1744-1797",Stedman,John Gabriel,,1744,1797,2,0.000724113,ota
"Baum, L Frank (Lyman Frank), 1856-1919",Baum,L Frank (Lyman Frank),,1856,1919,2,0.000724113,ota
"Montgomery, L M (Lucy Maud), 1874-1942",Montgomery,L M (Lucy Maud),,1874,1942,2,0.000724113,ota
"Sterne, Laurence, 1713-1768",Sterne,Laurence,,1713,1768,2,0.000724113,ota
"Edgeworth, Maria, 1767-1849",Edgeworth,Maria,,1767,1849,2,0.000724113,ota
"Clive, Mrs (Catherine), 1711-1785",Clive,Catherine,Mrs,1711,1785,2,0.000724113,ota
"Firishtah, Muḥammad Qāsim Hindū Shāh Astarābādī",Firishtah,Muḥammad Qāsim Hindū Shāh Astarābādī,,,,2,0.000724113,ota
"Hawthorne, Nathaniel, 1804-1864",Hawthorne,Nathaniel,,1804,1864,2,0.000724113,ota
"Equiano, Olaudah, b 1745",Equiano,Olaudah,, b 1745,,2,0.000724113,ota
"Pott, Percivall, 1714-1788",Pott,Percivall,,1714,1788,2,0.000724113,ota
"Doddridge, Philip, 1702-1751",Doddridge,Philip,,1702,1751,2,0.000724113,ota
"Beilby, Ralph, 1743-1817",Beilby,Ralph,,1743,1817,2,0.000724113,ota
"Bulstrode, Richard, Sir, 1610-1711",Bulstrode,Richard,,1610,1711,2,0.000724113,ota
"Mead, Richard, 1673-1754",Mead,Richard,,1673,1754,2,0.000724113,ota
"Sheridan, Richard, d 1793",Sheridan,Richard,, d 1793,,2,0.000724113,ota
"Tickell, Richard, 1751-1793",Tickell,Richard,,1751,1793,2,0.000724113,ota
"Musgrave, Samuel, 1732-1780",Musgrave,Samuel,,1732,1780,2,0.000724113,ota
"Richardson, Samuel, fl 1643-1658",Richardson,Samuel,, fl 1643,1658,2,0.000724113,ota
"John and William Cunningham and Company (Brewers : Glasgow, Scotland)",John and William Cunningham and Company (Brewers : Glasgow,Scotland),,,,2,0.000724113,ota
"Crane, Stephen, 1871-1900",Crane,Stephen,,1871,1900,2,0.000724113,ota
"Malthus, T R (Thomas Robert), 1766-1834",Malthus,T R (Thomas Robert),,1766,1834,2,0.000724113,ota
"Amory, Thomas, 1691?-1788?",Amory,Thomas,, 1691?,1788?,2,0.000724113,ota
"Browne, Thomas, Sir, 1605-1682",Browne,Thomas,,1605,1682,2,0.000724113,ota
"Leland, Thomas, 1722-1785",Leland,Thomas,,1722,1785,2,0.000724113,ota
"Vaughan, Thomas, fl 1772-1820",Vaughan,Thomas,, fl 1772,1820,2,0.000724113,ota
"Cockburn, W (William), 1669-1739",Cockburn,W (William),,1669,1739,2,0.000724113,ota
"Chaigneau, William, 1709-1781",Chaigneau,William,,1709,1781,2,0.000724113,ota
"Cowper, William, 1731-1800",Cowper,William,,1731,1800,2,0.000724113,ota
"Wordsworth, William, 1770-1850",Wordsworth,William,,1770,1850,2,0.000724113,ota
Authoress of Emeline,Authoress of Emeline,,,,,2,0.000724113,ota
Pindaromastix,Pindaromastix,,,,,2,0.000724113,ota
Unknown,Unknown,,,,,2,0.000724113,ota
"College, Academy, and Charitable Schools of Philadelphia",College,Academy,, and Charitable Schools of Philadelphia,,1,0.000362056,ota
"Ferguson, Adam, 1723-1816",Ferguson,Adam,,1723,1816,1,0.000362056,ota
"Smith, Adam, 1723-1790",Smith,Adam,,1723,1790,1,0.000362056,ota
"Forbes of Pitsligo, Alexander Forbes, Lord, 1678-1762",Forbes,Alexander,,1678,1762,1,0.000362056,ota
"Grant, Alexander, d 1817",Grant,Alexander,, d 1817,,1,0.000362056,ota
"Monro, Alexander, 1733-1817",Monro,Alexander,,1733,1817,1,0.000362056,ota
"Pope, Alexander, 1763-1835",Pope,Alexander,,1763,1835,1,0.000362056,ota
"Thomson, Alexander, MD",Thomson,Alexander,, MD,,1,0.000362056,ota
"Tennyson, Alfred Tennyson, Baron, 1809-1892",Tennyson,Alfred,,1809,1892,1,0.000362056,ota
"Bierce, Ambrose, 1842-1914?",Bierce,Ambrose,,1842,1914?,1,0.000362056,ota
"Philips, Ambrose, 1674-1749",Philips,Ambrose,,1674,1749,1,0.000362056,ota
"Marvell, Andrew, 1621-1678",Marvell,Andrew,,1621,1678,1,0.000362056,ota
"Radcliffe, Ann Sophia",Radcliffe,Ann Sophia,,,,1,0.000362056,ota
"Winchilsea, Anne Kingsmill Finch, Countess of, 1661-1720",Kingsmill Finch,Anne,,1661,1720,1,0.000362056,ota
"Turgot, Anne-Robert-Jacques, baron de l'Aulne, 1727-1781",Turgot,Anne-Robert-Jacques,,1727,1781,1,0.000362056,ota
"Lambrechts, Arentius Ferdinand",Lambrechts,Arentius Ferdinand,,,,1,0.000362056,ota
"Duck, Arthur",Duck,Arthur,,,,1,0.000362056,ota
"Orczy, Baroness Emmuska, 1865-1947",Orczy,Baroness Emmuska,,1865,1947,1,0.000362056,ota
"Potter, Beatrix, 1866-1943",Potter,Beatrix,,1866,1943,1,0.000362056,ota
"Bell, Benjamin, 1749-1806",Bell,Benjamin,,1749,1806,1,0.000362056,ota
"Franklin, Benjamin, 1706-1790",Franklin,Benjamin,,1706,1790,1,0.000362056,ota
"Hoadly, Benjamin, 1676-1761",Hoadly,Benjamin,,1676,1761,1,0.000362056,ota
"Robins, Benjamin, 1707-1751",Robins,Benjamin,,1707,1751,1,0.000362056,ota
"Okell, Benjamin",Okell,Benjamin,,,,1,0.000362056,ota
"Overton, Benjamin",Overton,Benjamin,,,,1,0.000362056,ota
"Mandeville, Bernard, 1670-1733",Mandeville,Bernard,,1670,1733,1,0.000362056,ota
"Ogden, Bernard, b 1767",Ogden,Bernard,, b 1767,,1,0.000362056,ota
"Stoker, Bram, 1847-1912",Stoker,Bram,,1847,1912,1,0.000362056,ota
"Duncan, Chapman",Duncan,Chapman,,,,1,0.000362056,ota
"Avison, Charles, 1710-1770",Avison,Charles,,1710,1770,1,0.000362056,ota
"Brown, Charles, fl 1797-1799",Brown,Charles,, fl 1797,1799,1,0.000362056,ota
"Darwin, Charles, 1809-1882",Darwin,Charles,,1809,1882,1,0.000362056,ota
"Hutton, Charles, shipmaster in Culross",Hutton,Charles,, shipmaster in Culross,,1,0.000362056,ota
"Roberts, Charles George Douglas, Sir, 1860-1943",Roberts,Charles George Douglas,,1860,1943,1,0.000362056,ota
"Gilman, Charlotte Perkins, 1860-1935",Gilman,Charlotte Perkins,,1860,1935,1,0.000362056,ota
"Anstey, Christopher, 1724-1805",Anstey,Christopher,,1724,1805,1,0.000362056,ota
"Marlowe, Christopher, 1564-1593",Marlowe,Christopher,,1564,1593,1,0.000362056,ota
"Smart, Christopher, 1722-1771",Smart,Christopher,,1722,1771,1,0.000362056,ota
"Famine, Citizen",Famine,Citizen,,,,1,0.000362056,ota
"Josef Schmied, Claudia Claridge, Rainer Siemund (ed)",Josef Schmied,Claudia Claridge,, Rainer Siemund (ed),,1,0.000362056,ota
"Wintringham, Clifton, 1689-1748",Wintringham,Clifton,,1689,1748,1,0.000362056,ota
"Cibber, Colley, 1671-1757",Cibber,Colley,,1671,1757,1,0.000362056,ota
"Merande, D",Merande,D,,,,1,0.000362056,ota
"Turner, Daniel, 1667-1741",Turner,Daniel,,1667,1741,1,0.000362056,ota
"Phillips, David Graham, 1867-1911",Phillips,David Graham,,1867,1911,1,0.000362056,ota
