author_name,last_name,first_name,title,birthdate,deathdate,count,fraction_total,dataset
"Scott, Walter",Scott,Walter,not_applicable,1771,1832,95,0.001571495,project_gutenberg
"Oliphant, Mrs. (Margaret)",Oliphant,Margaret,Mrs,1828,1897,94,0.001554953,project_gutenberg
"Tolstoy, Leo, graf",Tolstoy,Leo,not_applicable,1828,1910,88,0.0014557,project_gutenberg
"Pepys, Samuel",Pepys,Samuel,not_applicable,1633,1703,87,0.001439158,project_gutenberg
"Trollope, Anthony",Trollope,Anthony,not_applicable,1815,1882,85,0.001406074,project_gutenberg
"James, Henry",James,Henry,not_applicable,1843,1916,85,0.001406074,project_gutenberg
"Lang, Andrew",Lang,Andrew,not_applicable,1844,1912,81,0.001339906,project_gutenberg
"Goethe, Johann Wolfgang von",Goethe,Johann Wolfgang von,not_applicable,1749,1832,81,0.001339906,project_gutenberg
"Stratemeyer, Edward",Stratemeyer,Edward,not_applicable,1862,1930,79,0.001306822,project_gutenberg
"Sand, George",Sand,George,not_applicable,1804,1876,77,0.001273738,project_gutenberg
"Defoe, Daniel",Defoe,Daniel,not_applicable,no_birthdate,1731,75,0.001240654,project_gutenberg
"Le Queux, William",Le Queux,William,not_applicable,1864,1927,75,0.001240654,project_gutenberg
"Churchill, Winston",Churchill,Winston,not_applicable,1871,1947,75,0.001240654,project_gutenberg
Library of Congress. Copyright Office,Library of Congress.,Copyright Office,not_applicable,no_birthdate,no_deathdate,75,0.001240654,project_gutenberg
"Maupassant, Guy de",Maupassant,Guy de,not_applicable,1850,1893,74,0.001224112,project_gutenberg
"Kipling, Rudyard",Kipling,Rudyard,not_applicable,1865,1936,73,0.00120757,project_gutenberg
Human Genome Project,Human Genome Project,Human Genome Project,not_applicable,no_birthdate,no_deathdate,73,0.00120757,project_gutenberg
"Conrad, Joseph",Conrad,Joseph,not_applicable,1857,1924,72,0.001191028,project_gutenberg
"MacDonald, George",MacDonald,George,not_applicable,1824,1905,71,0.001174486,project_gutenberg
"Haggard, H. Rider (Henry Rider)",Haggard,Henry Rider,not_applicable,1856,1925,68,0.001124859,project_gutenberg
"Hope, Laura Lee",Hope,Laura Lee,not_applicable,no_birthdate,no_deathdate,67,0.001108317,project_gutenberg
"Thackeray, William Makepeace",Thackeray,William Makepeace,not_applicable,1811,1863,67,0.001108317,project_gutenberg
"Yonge, Charlotte M. (Charlotte Mary)",Yonge,Charlotte Mary,not_applicable,1823,1901,66,0.001091775,project_gutenberg
"Sue, Eugène",Sue,Eugène,not_applicable,1804,1857,66,0.001091775,project_gutenberg
"Hume, Fergus",Hume,Fergus,not_applicable,1859,1932,66,0.001091775,project_gutenberg
Plato,Plato,not_applicable,not_applicable,428 BC,348 BC,66,0.001091775,project_gutenberg
"Harte, Bret",Harte,Bret,not_applicable,1836,1902,64,0.001058691,project_gutenberg
"Cervantes Saavedra, Miguel de",Cervantes Saavedra,Miguel de,not_applicable,1547,1616,64,0.001058691,project_gutenberg
"Wharton, Edith",Wharton,Edith,not_applicable,1862,1937,63,0.001042149,project_gutenberg
"Wilde, Oscar",Wilde,Oscar,not_applicable,1854,1900,63,0.001042149,project_gutenberg
Dante Alighieri,Alighieri,Dante,not_applicable,1265,1321,63,0.001042149,project_gutenberg
"Burroughs, Edgar Rice",Burroughs,Edgar Rice,not_applicable,1875,1950,62,0.001025607,project_gutenberg
"Baring-Gould, S. (Sabine)",Baring-Gould,Sabine,not_applicable,1834,1924,62,0.001025607,project_gutenberg
"Oppenheim, E. Phillips (Edward Phillips)",Oppenheim,Edward Phillips,not_applicable,1866,1946,61,0.001009065,project_gutenberg
"Alcott, Louisa May",Alcott,Louisa May,not_applicable,1832,1888,61,0.001009065,project_gutenberg
"Optic, Oliver",Optic,Oliver,not_applicable,1822,1897,61,0.001009065,project_gutenberg
"Wells, Carolyn",Wells,Carolyn,not_applicable,1862,1942,60,0.000992523,project_gutenberg
"Ellis, Edward Sylvester",Ellis,Edward Sylvester,not_applicable,1840,1916,60,0.000992523,project_gutenberg
"Schiller, Friedrich",Schiller,Friedrich,not_applicable,1759,1805,60,0.000992523,project_gutenberg
"France, Anatole",France,Anatole,not_applicable,1844,1924,59,0.000975981,project_gutenberg
"Warner, Charles Dudley",Warner,Charles Dudley,not_applicable,1829,1900,58,0.000959439,project_gutenberg
"Molesworth, Mrs.",Molesworth,not_applicable,Mrs,1839,1921,58,0.000959439,project_gutenberg
"Hardy, Thomas",Hardy,Thomas,not_applicable,1840,1928,58,0.000959439,project_gutenberg
"Strindberg, August",Strindberg,August,not_applicable,1849,1912,57,0.000942897,project_gutenberg
"Galsworthy, John",Galsworthy,John,not_applicable,1867,1933,57,0.000942897,project_gutenberg
"Reid, Mayne",Reid,Mayne,not_applicable,1818,1883,57,0.000942897,project_gutenberg
"Hugo, Victor",Hugo,Victor,not_applicable,1802,1885,57,0.000942897,project_gutenberg
"Shaw, Bernard",Shaw,Bernard,not_applicable,1856,1950,56,0.000926355,project_gutenberg
"Meade, L. T.",Meade,L. T.,not_applicable,1854,1914,56,0.000926355,project_gutenberg
"Lever, Charles James",Lever,Charles James,not_applicable,1806,1872,55,0.000909813,project_gutenberg
"Burnett, Frances Hodgson",Burnett,Frances Hodgson,not_applicable,1849,1924,55,0.000909813,project_gutenberg
"Huxley, Thomas Henry",Huxley,Thomas Henry,not_applicable,1825,1895,54,0.000893271,project_gutenberg
"Bennett, Arnold",Bennett,Arnold,not_applicable,1867,1931,53,0.000876729,project_gutenberg
"Abbott, Jacob",Abbott,Jacob,not_applicable,1803,1879,53,0.000876729,project_gutenberg
"Ruskin, John",Ruskin,John,not_applicable,1819,1900,53,0.000876729,project_gutenberg
"Marryat, Frederick",Marryat,Frederick,not_applicable,1792,1848,52,0.000860187,project_gutenberg
"Ibsen, Henrik",Ibsen,Henrik,not_applicable,1828,1906,51,0.000843645,project_gutenberg
"Collins, Wilkie",Collins,Wilkie,not_applicable,1824,1889,51,0.000843645,project_gutenberg
"Chesterton, G. K. (Gilbert Keith)",Chesterton,Gilbert Keith,not_applicable,1874,1936,50,0.000827102,project_gutenberg
"James, G. P. R. (George Payne Rainsford)",James,George Payne Rainsford,not_applicable,no_birthdate,1860,50,0.000827102,project_gutenberg
"Davis, Richard Harding",Davis,Richard Harding,not_applicable,1864,1916,50,0.000827102,project_gutenberg
"Kingsley, Charles",Kingsley,Charles,not_applicable,1819,1875,49,0.00081056,project_gutenberg
"Benson, E. F. (Edward Frederic)",Benson,Edward Frederic,not_applicable,1867,1940,49,0.00081056,project_gutenberg
"Aimard, Gustave",Aimard,Gustave,not_applicable,1818,1883,49,0.00081056,project_gutenberg
"Cooper, James Fenimore",Cooper,James Fenimore,not_applicable,1789,1851,49,0.00081056,project_gutenberg
"Garrett, Randall",Garrett,Randall,not_applicable,1927,1987,49,0.00081056,project_gutenberg
"Castelo Branco, Camilo",Castelo Branco,Camilo,not_applicable,1825,1890,48,0.000794018,project_gutenberg
"Blasco Ibáñez, Vicente",Blasco Ibáñez,Vicente,not_applicable,1867,1928,48,0.000794018,project_gutenberg
"Crawford, F. Marion (Francis Marion)",Crawford,Francis Marion,not_applicable,1854,1909,47,0.000777476,project_gutenberg
"Stowe, Harriet Beecher",Stowe,Harriet Beecher,not_applicable,1811,1896,47,0.000777476,project_gutenberg
"Lebert, Marie",Lebert,Marie,not_applicable,no_birthdate,no_deathdate,47,0.000777476,project_gutenberg
Voltaire,not_applicable,Voltaire,not_applicable,1694,1778,47,0.000777476,project_gutenberg
"Gerstäcker, Friedrich",Gerstäcker,Friedrich,not_applicable,1816,1872,46,0.000760934,project_gutenberg
"Otis, James",Otis,James,not_applicable,1848,1912,46,0.000760934,project_gutenberg
"Chambers, Robert W. (Robert William)",Chambers,Robert William,not_applicable,1865,1933,46,0.000760934,project_gutenberg
"Whittier, John Greenleaf",Whittier,John Greenleaf,not_applicable,1807,1892,45,0.000744392,project_gutenberg
"Richards, Laura Elizabeth Howe",Richards,Laura Elizabeth Howe,not_applicable,1850,1943,45,0.000744392,project_gutenberg
"Wodehouse, P. G. (Pelham Grenville)",Wodehouse,Pelham Grenville,not_applicable,1881,1975,45,0.000744392,project_gutenberg
"Darwin, Charles",Darwin,Charles,not_applicable,1809,1882,44,0.00072785,project_gutenberg
"Borrow, George",Borrow,George,not_applicable,1803,1881,44,0.00072785,project_gutenberg
"Bindloss, Harold",Bindloss,Harold,not_applicable,1866,1945,44,0.00072785,project_gutenberg
"Snell, Roy J. (Roy Judson)",Snell,Roy J. (Roy Judson),not_applicable,1878,1959,44,0.00072785,project_gutenberg
"Castlemon, Harry",Castlemon,Harry,not_applicable,1842,1915,43,0.000711308,project_gutenberg
"Macaulay, Thomas Babington Macaulay, Baron",Macaulay,Thomas Babington,not_applicable,1800,1859,43,0.000711308,project_gutenberg
"Burgess, Thornton W. (Thornton Waldo)",Burgess,Thornton Waldo,not_applicable,1874,1965,43,0.000711308,project_gutenberg
"Bailey, Arthur Scott",Bailey,Arthur Scott,not_applicable,1877,1949,42,0.000694766,project_gutenberg
"Poe, Edgar Allan",Poe,Edgar Allan,not_applicable,1809,1849,42,0.000694766,project_gutenberg
"Nietzsche, Friedrich Wilhelm",Nietzsche,Friedrich Wilhelm,not_applicable,1844,1900,42,0.000694766,project_gutenberg
"Jerome, Jerome K. (Jerome Klapka)",Jerome,Jerome Klapka,not_applicable,1859,1927,42,0.000694766,project_gutenberg
"Westerman, Percy F. (Percy Francis)",Westerman,Percy Francis,not_applicable,1876,1959,42,0.000694766,project_gutenberg
"Barbour, Ralph Henry",Barbour,Ralph Henry,not_applicable,1870,1944,42,0.000694766,project_gutenberg
"Daudet, Alphonse",Daudet,Alphonse,not_applicable,1840,1897,41,0.000678224,project_gutenberg
"Chekhov, Anton Pavlovich",Chekhov,Anton Pavlovich,not_applicable,1860,1904,41,0.000678224,project_gutenberg
"Quiller-Couch, Arthur",Quiller-Couch,Arthur,not_applicable,1863,1944,41,0.000678224,project_gutenberg
"Pérez Galdós, Benito",Pérez Galdós,Benito,not_applicable,1843,1920,41,0.000678224,project_gutenberg
"Garis, Howard Roger",Garis,Howard Roger,not_applicable,1873,1962,41,0.000678224,project_gutenberg
"Carlyle, Thomas",Carlyle,Thomas,not_applicable,1795,1881,41,0.000678224,project_gutenberg
"Topelius, Zacharias",Topelius,Zacharias,not_applicable,1818,1898,41,0.000678224,project_gutenberg
Molière,not_applicable,Molière,not_applicable,1622,1673,41,0.000678224,project_gutenberg
"Green, Anna Katharine",Green,Anna Katharine,not_applicable,1846,1935,40,0.000661682,project_gutenberg
"Nesbit, E. (Edith)",Nesbit,Edith,not_applicable,1858,1924,40,0.000661682,project_gutenberg
"Casanova, Giacomo",Casanova,Giacomo,not_applicable,1725,1798,40,0.000661682,project_gutenberg
"Hancock, H. Irving (Harrie Irving)",Hancock,Harrie Irving,not_applicable,1868,1922,40,0.000661682,project_gutenberg
"Goldfrap, John Henry",Goldfrap,John Henry,not_applicable,1879,1917,40,0.000661682,project_gutenberg
"Michelet, Jules",Michelet,Jules,not_applicable,1798,1874,40,0.000661682,project_gutenberg
"Becke, Louis",Becke,Louis,not_applicable,1855,1913,40,0.000661682,project_gutenberg
"Yeats, W. B. (William Butler)",Yeats,William Butler,not_applicable,1865,1939,40,0.000661682,project_gutenberg
"Bangs, John Kendrick",Bangs,John Kendrick,not_applicable,1862,1922,39,0.00064514,project_gutenberg
"Leinster, Murray",Leinster,Murray,not_applicable,1896,1975,39,0.00064514,project_gutenberg
"Loti, Pierre",Loti,Pierre,not_applicable,1850,1923,39,0.00064514,project_gutenberg
"Johnston, Annie F. (Annie Fellows)",Johnston,Annie Fellows,not_applicable,1863,1931,38,0.000628598,project_gutenberg
"Piper, H. Beam",Piper,H. Beam,not_applicable,1904,1964,38,0.000628598,project_gutenberg
"La Fontaine, Jean de",de la Fontaine,Jean,not_applicable,1621,1695,38,0.000628598,project_gutenberg
"Hope, Anthony",Hope,Anthony,not_applicable,1863,1933,37,0.000612056,project_gutenberg
"Bjørnson, Bjørnstjerne",Bjørnson,Bjørnstjerne,not_applicable,1832,1910,37,0.000612056,project_gutenberg
"Wiggin, Kate Douglas Smith",Wiggin,Kate Douglas Smith,not_applicable,1856,1923,37,0.000612056,project_gutenberg
"Wood, Henry, Mrs.",Wood,Henry,Mrs,1814,1887,37,0.000612056,project_gutenberg
"Holmes, Oliver Wendell",Holmes,Oliver Wendell,not_applicable,1809,1894,37,0.000612056,project_gutenberg
"Dostoyevsky, Fyodor",Dostoyevsky,Fyodor,not_applicable,1821,1881,36,0.000595514,project_gutenberg
"Sienkiewicz, Henryk",Sienkiewicz,Henryk,not_applicable,1846,1916,36,0.000595514,project_gutenberg
"Curwood, James Oliver",Curwood,James Oliver,not_applicable,1878,1927,36,0.000595514,project_gutenberg
"Braddon, M. E. (Mary Elizabeth)",Braddon,M. E. (Mary Elizabeth),not_applicable,1835,1915,36,0.000595514,project_gutenberg
"Lagerlöf, Selma",Lagerlöf,Selma,not_applicable,1858,1940,36,0.000595514,project_gutenberg
Homer,not_applicable,Homer,not_applicable,750 BC,650 BC,36,0.000595514,project_gutenberg
"Harper, Charles G. (Charles George)",Harper,Charles G. (Charles George),not_applicable,1863,1943,35,0.000578972,project_gutenberg
"Hoare, Edward",Hoare,Edward,not_applicable,1812,1894,35,0.000578972,project_gutenberg
"Stockton, Frank Richard",Stockton,Frank Richard,not_applicable,1834,1902,35,0.000578972,project_gutenberg
"McCutcheon, George Barr",McCutcheon,George Barr,not_applicable,1866,1928,35,0.000578972,project_gutenberg
"Flaubert, Gustave",Flaubert,Gustave,not_applicable,1821,1880,35,0.000578972,project_gutenberg
"Turgenev, Ivan Sergeevich",Turgenev,Ivan Sergeevich,not_applicable,1818,1883,35,0.000578972,project_gutenberg
"Swift, Jonathan",Swift,Jonathan,not_applicable,1667,1745,35,0.000578972,project_gutenberg
"Carroll, Lewis",Carroll,Lewis,not_applicable,1832,1898,35,0.000578972,project_gutenberg
"Finley, Martha",Finley,Martha,not_applicable,1828,1909,35,0.000578972,project_gutenberg
"Irving, Washington",Irving,Washington,not_applicable,1783,1859,35,0.000578972,project_gutenberg
"Williamson, A. M. (Alice Muriel)",Williamson,A. M. (Alice Muriel),not_applicable,1869,1933,34,0.00056243,project_gutenberg
"Collingwood, Harry",Collingwood,Harry,not_applicable,1851,1922,34,0.00056243,project_gutenberg
"Van Dyke, Henry",Van Dyke,Henry,not_applicable,1852,1933,34,0.00056243,project_gutenberg
"Altsheler, Joseph A. (Joseph Alexander)",Altsheler,Joseph A. (Joseph Alexander),not_applicable,1862,1919,34,0.00056243,project_gutenberg
"Ward, Humphry, Mrs.",Ward,Humphry,Mrs,1851,1920,34,0.00056243,project_gutenberg
"Tagore, Rabindranath",Tagore,Rabindranath,not_applicable,1861,1941,34,0.00056243,project_gutenberg
"Sinclair, Upton",Sinclair,Upton,not_applicable,1878,1968,34,0.00056243,project_gutenberg
United States. Work Projects Administration,United States.,Work Projects Administration,not_applicable,no_birthdate,no_deathdate,34,0.00056243,project_gutenberg
"Palacio Valdés, Armando",Palacio Valdés,Armando,not_applicable,1853,1938,33,0.000545888,project_gutenberg
"Gaboriau, Emile",Gaboriau,Emile,not_applicable,1832,1873,33,0.000545888,project_gutenberg
"Allen, Grant",Allen,Grant,not_applicable,1848,1899,33,0.000545888,project_gutenberg
"Strang, Herbert",Strang,Herbert,not_applicable,no_birthdate,no_deathdate,33,0.000545888,project_gutenberg
"Barrie, J. M. (James Matthew)",Barrie,J. M. (James Matthew),not_applicable,1860,1937,33,0.000545888,project_gutenberg
"Chase, Josephine",Chase,Josephine,not_applicable,no_birthdate,1931,33,0.000545888,project_gutenberg
"Gorky, Maksim",Gorky,Maksim,not_applicable,1868,1936,33,0.000545888,project_gutenberg
"Appleton, Victor",Appleton,Victor,not_applicable,no_birthdate,no_deathdate,33,0.000545888,project_gutenberg
"Paine, Albert Bigelow",Paine,Albert Bigelow,not_applicable,1861,1937,32,0.000529346,project_gutenberg
"Gibbon, Edward",Gibbon,Edward,not_applicable,1737,1794,32,0.000529346,project_gutenberg
"Byron, George Gordon Byron, Baron",Byron,George Gordon,not_applicable,1788,1824,32,0.000529346,project_gutenberg
"Le Fanu, Joseph Sheridan",Le Fanu,Joseph Sheridan,not_applicable,1814,1873,32,0.000529346,project_gutenberg
"Ingersoll, Robert Green",Ingersoll,Robert Green,not_applicable,1833,1899,32,0.000529346,project_gutenberg
"Matthews, Stanley R.",Matthews,Stanley R.,not_applicable,no_birthdate,no_deathdate,32,0.000529346,project_gutenberg
"Arthur, T. S. (Timothy Shay)",Arthur,T. S. (Timothy Shay),not_applicable,1809,1885,32,0.000529346,project_gutenberg
"Grey, Zane",Grey,Zane,not_applicable,1872,1939,32,0.000529346,project_gutenberg
"Lamartine, Alphonse de",Lamartine,Alphonse de,not_applicable,1790,1869,31,0.000512804,project_gutenberg
"Williamson, C. N. (Charles Norris)",Williamson,C. N. (Charles Norris),not_applicable,1859,1920,31,0.000512804,project_gutenberg
"Roberts, Charles G. D., Sir",Roberts,Charles G. D.,not_applicable,1860,1943,31,0.000512804,project_gutenberg
"Andersen, H. C. (Hans Christian)",Andersen,H. C. (Hans Christian),not_applicable,1805,1875,31,0.000512804,project_gutenberg
"Aho, Juhani",Aho,Juhani,not_applicable,1861,1921,31,0.000512804,project_gutenberg
"Fitzhugh, Percy Keese",Fitzhugh,Percy Keese,not_applicable,1876,1950,31,0.000512804,project_gutenberg
"Warner, Susan",Warner,Susan,not_applicable,1819,1885,31,0.000512804,project_gutenberg
"Besant, Walter",Besant,Walter,not_applicable,1836,1901,31,0.000512804,project_gutenberg
"Bower, B. M.",Bower,B. M.,not_applicable,1871,1940,30,0.000496261,project_gutenberg
"Lawrence, D. H. (David Herbert)",Lawrence,D. H. (David Herbert),not_applicable,1885,1930,30,0.000496261,project_gutenberg
"Hall, E. Raymond (Eugene Raymond)",Hall,E. Raymond (Eugene Raymond),not_applicable,1902,1986,30,0.000496261,project_gutenberg
"Hornung, E. W. (Ernest William)",Hornung,E. W. (Ernest William),not_applicable,1866,1921,30,0.000496261,project_gutenberg
"Gaskell, Elizabeth Cleghorn",Gaskell,Elizabeth Cleghorn,not_applicable,1810,1865,30,0.000496261,project_gutenberg
"Austen, Jane",Austen,Jane,not_applicable,1775,1817,30,0.000496261,project_gutenberg
"Morley, John",Morley,John,not_applicable,1838,1923,30,0.000496261,project_gutenberg
"Abbott, John S. C. (John Stevens Cabot)",Abbott,John S. C. (John Stevens Cabot),not_applicable,1805,1877,30,0.000496261,project_gutenberg
"Montgomery, L. M. (Lucy Maud)",Montgomery,L. M. (Lucy Maud),not_applicable,1874,1942,30,0.000496261,project_gutenberg
"Tracy, Louis",Tracy,Louis,not_applicable,1863,1928,30,0.000496261,project_gutenberg
"Lassila, Maiju",Lassila,Maiju,not_applicable,1868,1918,30,0.000496261,project_gutenberg
"Maeterlinck, Maurice",Maeterlinck,Maurice,not_applicable,1862,1949,30,0.000496261,project_gutenberg
"Wirt, Mildred A. (Mildred Augustine)",Wirt,Mildred A. (Mildred Augustine),not_applicable,1905,2002,30,0.000496261,project_gutenberg
"McGuinn, Roger",McGuinn,Roger,not_applicable,no_birthdate,no_deathdate,30,0.000496261,project_gutenberg
"Rolland, Romain",Rolland,Romain,not_applicable,1866,1944,30,0.000496261,project_gutenberg
"Freud, Sigmund",Freud,Sigmund,not_applicable,1856,1939,30,0.000496261,project_gutenberg
"Weyman, Stanley John",Weyman,Stanley John,not_applicable,1855,1928,30,0.000496261,project_gutenberg
United States. National Park Service,United States.,National Park Service,not_applicable,no_birthdate,no_deathdate,30,0.000496261,project_gutenberg
"Farjeon, B. L. (Benjamin Leopold)",Farjeon,B. L. (Benjamin Leopold),not_applicable,1833,1903,29,0.000479719,project_gutenberg
"Spyri, Johanna",Spyri,Johanna,not_applicable,1827,1901,29,0.000479719,project_gutenberg
"Rinehart, Mary Roberts",Rinehart,Mary Roberts,not_applicable,1876,1958,29,0.000479719,project_gutenberg
"Montaigne, Michel de",Montaigne,Michel de,not_applicable,1533,1592,29,0.000479719,project_gutenberg
"Holinshed, Raphael",Holinshed,Raphael,not_applicable,no_birthdate,no_deathdate,29,0.000479719,project_gutenberg
"Cannon, Richard",Cannon,Richard,not_applicable,1779,1865,29,0.000479719,project_gutenberg
Aesop,not_applicable,Aesop,not_applicable,no_birthdate,no_deathdate,29,0.000479719,project_gutenberg
"King, Charles",King,Charles,not_applicable,1844,1933,28,0.000463177,project_gutenberg
"Eliot, George",Eliot,George,not_applicable,1819,1880,28,0.000463177,project_gutenberg
"Belloc, Hilaire",Belloc,Hilaire,not_applicable,1870,1953,28,0.000463177,project_gutenberg
"Weymouth, Richard Francis",Weymouth,Richard Francis,not_applicable,1822,1902,28,0.000463177,project_gutenberg
"Hichens, Robert",Hichens,Robert,not_applicable,1864,1950,28,0.000463177,project_gutenberg
"Vaknin, Samuel",Vaknin,Samuel,not_applicable,1961,no_deathdate,28,0.000463177,project_gutenberg
"Morris, William",Morris,William,not_applicable,1834,1896,28,0.000463177,project_gutenberg
Chautauqua Institution,not_applicable,Chautauqua Institution,not_applicable,no_birthdate,no_deathdate,28,0.000463177,project_gutenberg
Chautauqua Literary and Scientific Circle,not_applicable,Chautauqua Literary and Scientific Circle,not_applicable,no_birthdate,no_deathdate,28,0.000463177,project_gutenberg
"Barr, Amelia E.",Barr,Amelia E.,not_applicable,1831,1919,27,0.000446635,project_gutenberg
"Brazil, Angela",Brazil,Angela,not_applicable,1869,1947,27,0.000446635,project_gutenberg
"Potter, Beatrix",Potter,Beatrix,not_applicable,1866,1943,27,0.000446635,project_gutenberg
"Mitford, Bertram",Mitford,Bertram,not_applicable,1855,1914,27,0.000446635,project_gutenberg
"Tarkington, Booth",Tarkington,Booth,not_applicable,1869,1946,27,0.000446635,project_gutenberg
"Guerrazzi, Francesco Domenico",Guerrazzi,Francesco Domenico,not_applicable,1804,1873,27,0.000446635,project_gutenberg
"Stables, Gordon",Stables,Gordon,not_applicable,1840,1910,27,0.000446635,project_gutenberg
"Cobb, Irvin S. (Irvin Shrewsbury)",Cobb,Irvin S. (Irvin Shrewsbury),not_applicable,1876,1944,27,0.000446635,project_gutenberg
"Vandercook, Margaret",Vandercook,Margaret,not_applicable,1876,no_deathdate,27,0.000446635,project_gutenberg
"Bracco, Roberto",Bracco,Roberto,not_applicable,1861,1943,27,0.000446635,project_gutenberg
"Gautier, Théophile",Gautier,Théophile,not_applicable,1811,1872,27,0.000446635,project_gutenberg
"Locke, William John",Locke,William John,not_applicable,1863,1930,27,0.000446635,project_gutenberg
"Nourse, Alan Edward",Nourse,Alan Edward,not_applicable,1928,1992,26,0.000430093,project_gutenberg
"Hough, Emerson",Hough,Emerson,not_applicable,1857,1923,26,0.000430093,project_gutenberg
"Atherton, Gertrude Franklin Horn",Atherton,Gertrude Franklin Horn,not_applicable,1857,1948,26,0.000430093,project_gutenberg
"Melville, Herman",Melville,Herman,not_applicable,1819,1891,26,0.000430093,project_gutenberg
"Fletcher, John",Fletcher,John,not_applicable,1579,1625,26,0.000430093,project_gutenberg
"Burroughs, John",Burroughs,John,not_applicable,1837,1921,26,0.000430093,project_gutenberg
"Murfree, Mary Noailles",Murfree,Mary Noailles,not_applicable,1850,1922,26,0.000430093,project_gutenberg
"Leblanc, Maurice",Leblanc,Maurice,not_applicable,1864,1941,26,0.000430093,project_gutenberg
"Féval, Paul",Féval,Paul,not_applicable,1817,1887,26,0.000430093,project_gutenberg
"Page, Thomas Nelson",Page,Thomas Nelson,not_applicable,1853,1922,26,0.000430093,project_gutenberg
"Maugham, W. Somerset (William Somerset)",Maugham,W. Somerset (William Somerset),not_applicable,1874,1965,26,0.000430093,project_gutenberg
"Lincoln, Abraham",Lincoln,Abraham,not_applicable,1809,1865,25,0.000413551,project_gutenberg
"Swinburne, Algernon Charles",Swinburne,Algernon Charles,not_applicable,1837,1909,25,0.000413551,project_gutenberg
"Chapman, Allen",Chapman,Allen,not_applicable,no_birthdate,no_deathdate,25,0.000413551,project_gutenberg
"Bierce, Ambrose",Bierce,Ambrose,not_applicable,1842,1913,25,0.000413551,project_gutenberg
"Standish, Burt L.",Standish,Burt L.,not_applicable,1866,1945,25,0.000413551,project_gutenberg
"Smith, Francis Hopkinson",Smith,Francis Hopkinson,not_applicable,1838,1915,25,0.000413551,project_gutenberg
"Lessing, Gotthold Ephraim",Lessing,Gotthold Ephraim,not_applicable,1729,1781,25,0.000413551,project_gutenberg
"Kant, Immanuel",Kant,Immanuel,not_applicable,1724,1804,25,0.000413551,project_gutenberg
"Reynolds, Mack",Reynolds,Mack,not_applicable,1917,1983,25,0.000413551,project_gutenberg
