author_name,first_name,last_name,title,count,eebo_total,estc_total,open-syllabus_total,ota_total,project-gutenberg_total
Robert Frost,Robert,Frost,,"4,096",,,0.011282,,
Joseph Gibaldi,Joseph,Gibaldi,,"4,055",,,0.011169,,
Homer,Homer,,,"3,955",,,0.010894,,
Robert Browning,Robert,Browning,,"3,954",,,0.010891,,
Alice Walker,Alice,Walker,,"3,924",,,0.010808,,
George Orwell,George,Orwell,,"3,916",,,0.010786,,
Ralph Waldo Emerson,Ralph Waldo,Emerson,,"3,875",,,0.010673,,
X. J. Kennedy,X J,Kennedy,,"3,848",,,0.010599,,
Mary Wollstonecraft,Mary,Wollstonecraft,,"3,799",,,0.010464,,
John J. Ruszkiewicz,John J,Ruszkiewicz,,"3,789",,,0.010436,,
Percy Bysshe Shelley,Percy Bysshe,Shelley,,"3,744",,,0.010312,,
Plato,Plato,,,"3,715",,,0.010233,,
Flannery O.'Connor,Flannery,O'Connor,,"3,709",,,0.010216,,
Jane E. Aaron,Jane E,Aaron,,"3,658",,,0.010076,,
Alexander Pope,Alexander,Pope,,"3,650",,,0.010054,,
Christopher Marlowe,Christopher,Marlowe,,"3,479",,,0.009583,,
Martin Luther King,Martin Luther,King,,"3,384",,,0.009321,,
Franz Kafka,Franz,Kafka,,"3,310",,,0.009117,,
Aristotle,Aristotle,,,"3,244",,,0.008935,,
Sigmund Freud,Sigmund,Freud,,"3,228",,,0.008891,,
M. H. Abrams,M H,Abrams,,"3,120",,,0.008594,,
John Steinbeck,John,Steinbeck,,"3,072",,,0.008461,,
Zora Neale Hurston,Zora Neale,Hurston,,"3,034",,,0.008357,,
Richard H. Bullock,Richard H,Bullock,,"2,999",,,0.00826,,
W. B. Yeats,W B,Yeats,,"2,928",,,0.008065,,
Sylvan Barnet,Sylvan,Barnet,,"2,920",,,0.008043,,
Raymond Carver,Raymond,Carver,,"2,863",,,0.007886,,
Tim O.'Brien,Tim,O'Brien,,"2,838",,,0.007817,,
William Strunk,William,Strunk,,"2,838",,,0.007817,,
Stephen Crane,Stephen,Crane,,"2,830",,,0.007795,,
Langston Hughes,Langston,Hughes,,"2,809",,,0.007737,,
Matthew Arnold,Matthew,Arnold,,"2,786",,,0.007674,,
Edmund Spenser,Edmund,Spenser,,"2,762",,,0.007608,,
Chinua Achebe,Chinua,Achebe,,"2,758",,,0.007597,,
Arthur Miller,Arthur,Miller,,"2,751",,,0.007577,,
Thomas Hardy,Thomas,Hardy,,"2,694",,,0.00742,,
John Langan,John,Langan,,"2,641",,,0.007274,,
Euripides,Euripides,,,"2,553",,,0.007032,,
Lester Faigley,Lester,Faigley,,"2,550",,,0.007024,,
Sandra Cisneros,Sandra,Cisneros,,"2,469",,,0.006801,,
Edith Wharton,Edith,Wharton,,"2,467",,,0.006795,,
Ben Jonson,Ben,Jonson,,"2,456",,,0.006765,,
Daniel Defoe,Daniel,Defoe,,"2,449",,,0.006745,,
Margaret Atwood,Margaret,Atwood,,"2,403",,,0.006619,,
Nina Baym,Nina,Baym,,"2,401",,,0.006613,,
Andrew Marvell,Andrew,Marvell,,"2,385",,,0.006569,,
D. H. Lawrence,D H,Lawrence,,"2,329",,,0.006415,,
Stella Cottrell,Stella,Cottrell,,"2,325",,,0.006404,,
Edward W. Said,Edward W,Said,,"2,320",,,0.00639,,
William Carlos Williams,William Carlos,Williams,,"2,310",,,0.006363,,
Samuel Beckett,Samuel,Beckett,,"2,308",,,0.006357,,
Aphra Behn,Aphra,Behn,,"2,301",,,0.006338,,
Anton Pavlovich Chekhov,Anton Pavlovich,Chekhov,,"2,299",,,0.006332,,
Sherman Alexie,Sherman,Alexie,,"2,271",,,0.006255,,
Tennessee Williams,Tennessee,Williams,,"2,271",,,0.006255,,
Benjamin Franklin,Benjamin,Franklin,,"2,270",,,0.006252,,
Leslie Marmon Silko,Leslie marmon,Silko,,"2,249",,,0.006195,,
Emily Dickinson,Emily,Dickinson,,"2,210",,,0.006087,,
Ralph Ellison,Ralph,Ellison,,"2,191",,,0.006035,,
Robert Louis Stevenson,Robert Louis,Stevenson,,"2,180",,,0.006005,,
James Baldwin,James,Baldwin,,"2,178",,,0.005999,,
Ovid,Ovid,,,"2,171",,,0.00598,,
Allen Ginsberg,Allen,Ginsberg,,"2,153",,,0.00593,,
Frederick Douglass,Frederick,Douglass,,"2,146",,,0.005911,,
Washington Irving,Washington,Irving,,"2,133",,,0.005875,,
Terry Eagleton,Terry,Eagleton,,"2,099",,,0.005781,,
Samuel Johnson,Samuel,Johnson,,"2,097",,,0.005776,,
Richard Johnson-Sheehan,Richard,Johnson-Sheehan,,"2,054",,,0.005658,,
Michel Foucault,Michel,Foucault,,"2,050",,,0.005646,,
George Eliot,George,Eliot,,"2,049",,,0.005644,,
Rise B. Axelrod,Rise B,Axelrod,,"2,039",,,0.005616,,
Leo Tolstoy,Leo,Tolstoy,,"2,013",,,0.005545,,
Harold Bloom,Harold,Bloom,,"2,003",,,0.005517,,
Joyce Carol Oates,Joyce Carol,Oates,,"1,974",,,0.005437,,
Richard Bullock,Richard,Bullock,,"1,958",,,0.005393,,
Francine Weinberg,Francine,Weinberg,,"1,958",,,0.005393,,
Thomas Jefferson,Thomas,Jefferson,,"1,956",,,0.005388,,
Harriet A. Jacobs,Harriet A,Jacobs,,"1,953",,,0.005379,,
Shirley Jackson,Shirley,Jackson,,"1,947",,,0.005363,,
George Gordon Byron Byron,George Gordon,Byron,,"1,937",,,0.005335,,
Philip Sidney,Philip,Sidney,,"1,926",,,0.005305,,
J. M. Coetzee,J M,Coetzee,,"1,918",,,0.005283,,
Dana Gioia,Dana,Gioia,,"1,915",,,0.005275,,
Henrik Ibsen,Henrik,Ibsen,,"1,886",,,0.005195,,
Louise Erdrich,Louise,Erdrich,,"1,870",,,0.005151,,
Susan Glaspell,Susan,Glaspell,,"1,869",,,0.005148,,
Virgil,Virgil,,,"1,866",,,0.00514,,
Kurt Vonnegut,Kurt,Vonnegut,,"1,832",,,0.005046,,
Hugo Adam Bedau,Hugo Adam,Bedau,,"1,831",,,0.005043,,
J. R. R. Tolkien,J R R,Tolkien,,"1,817",,,0.005005,,
Lewis Carroll,Lewis,Carroll,,"1,814",,,0.004996,,
Fyodor Dostoyevsky,Fyodor,Dostoyevsky,,"1,803",,,0.004966,,
Charles Raymond Cooper,Charles Raymond,Cooper,,"1,798",,,0.004952,,
Jonathan Middlebrook,Jonathan,Middlebrook,,"1,798",,,0.004952,,
Eudora Welty,Eudora,Welty,,"1,783",,,0.004911,,
E. M. Forster,E M,Forster,,"1,771",,,0.004878,,
Thomas Paine,Thomas,Paine,,"1,770",,,0.004875,,
Arthur Conan Doyle,Arthur,Conan Doyle,,"1,740",,,0.004793,,
Bram Stoker,Bram,Stoker,,"1,740",,,0.004793,,
Salman Rushdie,Salman,Rushdie,,"1,721",,,0.00474,,
Gwendolyn Brooks,Gwendolyn,Brooks,,"1,704",,,0.004693,,
Wallace Stevens,Wallace,Stevens,,"1,670",,,0.0046,,
Charles Paine,Charles,Paine,,"1,658",,,0.004567,,
Charlotte Bronte,Charlotte,Bronte,,"1,653",,,0.004553,,
Jorge Luis Borges,Jorge Luis,Borges,,"1,652",,,0.00455,,
Lorraine Hansberry,Lorraine,Hansberry,,"1,650",,,0.004545,,
John C. Bean,JohnC,Bean,,"1,645",,,0.004531,,
Seamus Heaney,Seamus,Heaney,,"1,639",,,0.004514,,
Art Spiegelman,Art,Spiegelman,,"1,629",,,0.004487,,
H. Ramsey Fowler,H Ramsey,Fowler,,"1,622",,,0.004468,,
Janet Burroway,Janet,Burroway,,"1,617",,,0.004454,,
Stephen King,Stephen,King,,"1,612",,,0.00444,,
Paul Kei Matsuda,Paul Kei,Matsuda,,"1,610",,,0.004435,,
John D. Ramage,John D,Ramage,,"1,607",,,0.004426,,
Christine M. Tardy,Christine M,Tardy,,"1,592",,,0.004385,,
Bruce P. Ballenger,Bruce P,Ballenger,,"1,589",,,0.004377,,
Octavia E. Butler,Octavia E,Butler,,"1,575",,,0.004338,,
Augustine,Augustine,,,"1,568",,,0.004319,,
Aeschylus,Aeschylus,,,"1,562",,,0.004302,,
Thomas Malory,Thomas,Malory,,"1,560",,,0.004297,,
Jack London,Jack,London,,"1,559",,,0.004294,,
Rudyard Kipling,Rudyard,Kipling,,"1,539",,,0.004239,,
David Damrosch,David,Damrosch,,"1,520",,,0.004187,,
Michael Meyer,Michael,Meyer,,"1,519",,,0.004184,,
Johann Wolfgang Von Goethe,Johann Wolfgang Von,Goethe,,"1,496",,,0.004121,,
Karl Marx,Karl,Marx,,"1,482",,,0.004082,,
Maxine Hong Kingston,Maxine,Hong Kingston,,"1,466",,,0.004038,,
H. G. Wells,H G,Wells,,"1,464",,,0.004032,,
Michael H. Markel,Michael H,Markel,,"1,452",,,0.003999,,
Sylvia Plath,Sylvia,Plath,,"1,449",,,0.003991,,
Theodore Roethke,Theodore,Roethke,,"1,447",,,0.003986,,
Willa Cather,Willa,Cather,,"1,446",,,0.003983,,
Richard Wright,Richard,Wright,,"1,445",,,0.00398,,
James A. Reinking,James A,Reinking,,"1,440",,,0.003966,,
Albert Camus,Albert,Camus,,"1,439",,,0.003964,,
Robert Von Der Osten,Robert,von der Osten,,"1,436",,,0.003955,,
Henry Louis Gates,Henry Louis,Gates,,"1,434",,,0.00395,,
Elizabeth Barrett Browning,Elizabeth Barrett,Browning,,"1,433",,,0.003947,,
Don DeLillo,Don,DeLillo,,"1,429",,,0.003936,,
Raymond Williams,Raymond,Williams,,"1,428",,,0.003933,,
Roland Barthes,Roland,Barthes,,"1,420",,,0.003911,,
Edgar V. Roberts,Edgar V,Roberts,,"1,415",,,0.003897,,
Voltaire,Voltaire,,,"1,397",,,0.003848,,
Brown and Company Little,,"Little, Brown and Company",,"1,389",,,0.003826,,
Judith Butler,Judith,Butler,,"1,375",,,0.003787,,
Kelly J. Mays,Kelly J,Mays,,"1,372",,,0.003779,,
Christina Georgina Rossetti,Christina Georgina,Rossetti,,"1,367",,,0.003765,,
Gertrude Stein,Gertrude,Stein,,"1,367",,,0.003765,,
Press Collection (Library of Congress,Library of Congress,Press Collection,,"1,366",,,0.003762,,
William Flint Thrall,William Flint,Thrall,,"1,365",,,0.00376,,
Jean Rhys,Jean,Rhys,,"1,357",,,0.003738,,
C. Hugh Holman,C Hugh,Holman,,"1,349",,,0.003716,,
Charles Darwin,Charles,Darwin,,"1,344",,,0.003702,,
N. Scott Momaday,N Scott,Momaday,,"1,344",,,0.003702,,
Rebecca Moore Howard,Rebecca Moore,Howard,,"1,343",,,0.003699,,
Wayne C. Booth,Wayne C,Booth,,"1,334",,,0.003674,,
Vladimir Vladimirovich Nabokov,Vladimir Vladimirovich,Nabokov,,"1,315",,,0.003622,,
Thomas Pynchon,Thomas,Pynchon,,"1,294",,,0.003564,,
Nella Larsen,Nella,Larsen,,"1,289",,,0.00355,,
Annie Dillard,Annie,Dillard,,"1,282",,,0.003531,,
Thomas More,Thomas,More,,"1,281",,,0.003528,,
Ann Charters,Ann,Charters,,"1,277",,,0.003517,,
Adrienne Rich,Adrienne,Rich,,"1,272",,,0.003504,,
Charlotte Brontë,Charlotte,Brontë,,"1,261",,,0.003473,,
John Dryden,John,Dryden,,"1,254",,,0.003454,,
Walter Pater,Walter,Pater,,"1,254",,,0.003454,,
Walter Benjamin,Walter,Benjamin,,"1,250",,,0.003443,,
Kathleen T. McWhorter,Kathleen T,McWhorter,,"1,247",,,0.003435,,
Martin Stephen,Martin,Stephen,,"1,240",,,0.003415,,
Angela Carter,Angela,Carter,,"1,229",,,0.003385,,
William Bradford,William,Bradford,,"1,226",,,0.003377,,
Jean Wyrick,Jean,Wyrick,,"1,202",,,0.003311,,
Emily Bronte,Emily,Bronte,,"1,196",,,0.003294,,
Florin Press,Florin,Press,,"1,187",,,0.003269,,
Graham Williams,Graham,Williams,,"1,187",,,0.003269,,
Cheryl Glenn,Cheryl,Glenn,,"1,179",,,0.003247,,
Stephen Greenblatt,Stephen,Greenblatt,,"1,175",,,0.003236,,
Ann Raimes,Ann,Raimes,,"1,171",,,0.003225,,
Michal Brody,Michal,Brody,,"1,163",,,0.003203,,
Aristophanes,Aristophanes,,,"1,163",,,0.003203,,
Sarah Orne Jewett,Sarah Orne,Jewett,,"1,143",,,0.003148,,
J. K. Rowling,J K,Rowling,,"1,139",,,0.003137,,
Ray Bradbury,Ray,Bradbury,,"1,133",,,0.003121,,
Gustave Flaubert,Gustave,Flaubert,,"1,131",,,0.003115,,
John Stuart Mill,John Stuart,Mill,,"1,124",,,0.003096,,
Ursula K. Le Guin,Ursula K,Le Guin,,"1,117",,,0.003077,,
Paul Lauter,Paul,Lauter,,"1,114",,,0.003068,,
Jhumpa Lahiri,Jhumpa,Lahiri,,"1,113",,,0.003066,,
David Lodge,David,Lodge,,"1,111",,,0.00306,,
Tom Stoppard,Tom,Stoppard,,"1,111",,,0.00306,,
Dante,,Dante,,"1,110",,,0.003057,,
Nedra Reynolds,Nedra,Reynolds,,"1,109",,,0.003055,,
Jonathan Edwards,Jonathan,Edwards,,"1,105",,,0.003044,,
Niccolo Machiavelli,Niccolo,Machiavelli,,"1,103",,,0.003038,,
Jeanette Winterson,Jeanette,Winterson,,"1,098",,,0.003024,,
Helen Tiffin,Helen,Tiffin,,"1,095",,,0.003016,,
Bill Ashcroft,Bill,Ashcroft,,"1,092",,,0.003008,,
Jacques Derrida,Jacques,Derrida,,"1,084",,,0.002986,,
Bernard Shaw,Bernard,Shaw,,"1,079",,,0.002972,,
Aldous Huxley,Aldous,Huxley,,"1,069",,,0.002944,,
Marjane Satrapi,Marjane,Satrapi,,"1,065",,,0.002933,,
Cormac McCarthy,Cormac,McCarthy,,"1,063",,,0.002928,,
Modern Language Association of America,,Modern Language Association of America,,"1,054",,,0.002903,,
Anne Lamott,Anne,Lamott,,"1,053",,,0.0029,,
Maynard Mack,Maynard,Mack,,"1,053",,,0.0029,,
Elaine Showalter,Elaine,Showalter,,"1,047",,,0.002884,,
Katherine Mansfield,Katherine,Mansfield,,"1,046",,,0.002881,,
Marie De France,Marie,de France,,"1,043",,,0.002873,,
Muriel Harris,Muriel,Harris,,"1,043",,,0.002873,,
Malcolm Bradbury,Malcolm,Bradbury,,"1,030",,,0.002837,,
Philip K. Dick,Philip K,Dick,,"1,030",,,0.002837,,
Katherine Anne Porter,Katherine Anne,Porter,,"1,026",,,0.002826,,
Robert Atwan,Robert,Atwan,,"1,025",,,0.002823,,
Sandra M. Gilbert,Sandra M,Gilbert,,"1,018",,,0.002804,,
Ambrose Bierce,Ambrose,Bierce,,"1,014",,,0.002793,,
W. E. B. Du Bois,W E B,Du Bois,,"1,010",,,0.002782,,
John M. Lannon,John M,Lannon,,"1,010",,,0.002782,,
August Wilson,August,Wilson,,"1,009",,,0.002779,,
Joseph M. Williams,Joseph M,Williams,,"1,008",,,0.002776,,
Jack Kerouac,Jack,Kerouac,,"1,006",,,0.002771,,
J. D. Salinger,J D,Salinger,,"1,006",,,0.002771,,
William Butler Yeats,William Butler,Yeats,,"1,006",,,0.002771,,
Friedrich Wilhelm Nietzsche,Friedrich Wilhelm,Nietzsche,,"1,004",,,0.002765,,
James Fenimore Cooper,James Fenimore,Cooper,,"1,001",,,0.002757,,
Jamaica Kincaid,Jamaica,Kincaid,,"1,001",,,0.002757,,
William Gibson,William,Gibson,,"1,000",,,0.002754,,
Gareth Griffiths,Gareth,Griffiths,,998,,,0.002749,,
Ezra Pound,Ezra,Pound,,988,,,0.002721,,
Gary Goshgarian,Gary,Goshgarian,,987,,,0.002719,,
Henry Fielding,Henry,Fielding,,983,,,0.002708,,
David Crystal,David,Crystal,,982,,,0.002705,,
Louisa May Alcott,Louisa May,Alcott,,977,,,0.002691,,
John Ruskin,John,Ruskin,,975,,,0.002686,,
Richard Yarborough,Richard,Yarborough,,975,,,0.002686,,
Kazuo Ishiguro,Kazuo,Ishiguro,,971,,,0.002675,,
Eugene O.'Neill,Eugene,O'Neill,,967,,,0.002663,,
Miguel De Cervantes,Miguel,De Cervantes,,966,,,0.002661,,
Jean-Jacques Rousseau,Jean-Jacques,Rousseau,,960,,,0.002644,,
Fredric Jameson,Fredric,Jameson,,959,,,0.002641,,
W. H. Auden,W H,Auden,,958,,,0.002639,,
Lee A. Jacobus,Lee A,Jacobus,,953,,,0.002625,,
Elizabeth Cleghorn Gaskell,Elizabeth Cleghorn,Gaskell,,948,,,0.002611,,
Giovanni Boccaccio,Giovanni,Boccaccio,,942,,,0.002595,,
Jack Selzer,Jack,Selzer,,941,,,0.002592,,
Susan Gubar,Susan,Gubar,,940,,,0.002589,,
Walter Hooper,Walter,Hooper,,940,,,0.002589,,
Alice Oshima,Alice,Oshima,,940,,,0.002589,,
Elaine P. Maimon,Elaine P,Maimon,,928,,,0.002556,,
Toby Fulwiler,Toby,Fulwiler,,927,,,0.002553,,
Maya Angelou,Maya,Angelou,,915,,,0.00252,,
Dorothy M. Kennedy,Dorothy M,Kennedy,,914,,,0.002518,,
Graham Greene,Graham,Greene,,913,,,0.002515,,
David M. Bevington,David M,Bevington,,912,,,0.002512,,
Dante Gabriel Rossetti,Dante Gabriel,Rossetti,,908,,,0.002501,,
Philip Roth,Philip,Roth,,906,,,0.002495,,
Alison Bechdel,Alison,Bechdel,,905,,,0.002493,,
Charles Baudelaire,Charles,Baudelaire,,903,,,0.002487,,
Flannery O.’Connor,Flannery,O’Connor,,901,,,0.002482,,
Harriet Beecher-Stowe,Harriet,Beecher-Stowe,,899,,,0.002476,,
Jacob Grimm,Jacob,Grimm,,898,,,0.002473,,
Sarah N. Lawall,Sarah N,Lawall,,890,,,0.002451,,
Elizabeth Bishop,Elizabeth,Bishop,,881,,,0.002427,,
Bell Hooks,Bell,Hooks,,878,,,0.002418,,
Catherine Belsey,Catherine,Belsey,,870,,,0.002396,,
Edmund Burke,Edmund,Burke,,870,,,0.002396,,
John Berger,John,Berger,,869,,,0.002394,,
Stuart Greene,Stuart,Greene,,869,,,0.002394,,
April Lidinsky,April,Lidinsky,,867,,,0.002388,,
Frank Kermode,Frank,Kermode,,860,,,0.002369,,
Walter Raleigh,Walter,Raleigh,,859,,,0.002366,,
Thomas Carlyle,Thomas,Carlyle,,858,,,0.002363,,
Alfred F. Rosa,Alfred F,Rosa,,851,,,0.002344,,
Leonard J. Rosen,Leonard J,Rosen,,851,,,0.002344,,
Janet E. Gardner,Janet E,Gardner,,850,,,0.002341,,
Michael Ondaatje,Michael,Ondaatje,,845,,,0.002327,,
Frantz Fanon,Frantz,Fanon,,836,,,0.002303,,
Alan R. Hayakawa,Alan R,Hayakawa,,825,,,0.002272,,
Arundhati Roy,Arundhati,Roy,,825,,,0.002272,,
Scott McCloud,Scott,McCloud,,823,,,0.002267,,
Neil Gaiman,Neil,Gaiman,,822,,,0.002264,,
Francis Bacon,Francis,Bacon,,820,,,0.002259,,
Donald McQuade,Donald,McQuade,,819,,,0.002256,,
Samuel Richardson,Samuel,Richardson,,818,,,0.002253,,
Jack Zipes,Jack,Zipes,,817,,,0.00225,,
Laurence Behrens,Laurence,Behrens,,816,,,0.002248,,
Jerome J. McGann,Jerome J,McGann,,816,,,0.002248,,
David Punter,David,Punter,,816,,,0.002248,,
Zadie Smith,Zadie,Smith,,811,,,0.002234,,
Ian McEwan,Ian,McEwan,,810,,,0.002231,,
Noah Webster,Noah,Webster,,810,,,0.002231,,
Jonathan D. Culler,Jonathan D,Culler,,809,,,0.002228,,
Eve Kosofsky Sedgwick,Eve Kosofsky,Sedgwick,,809,,,0.002228,,
R. S. Gwynn,R S,Gwynn,,806,,,0.00222,,
Laurence Sterne,Laurence,Sterne,,805,,,0.002217,,
Aleksandr Sergeevich Pushkin,Aleksandr Sergeevich,Pushkin,,804,,,0.002215,,
David Foster Wallace,David,Foster Wallace,,801,,,0.002206,,
Thomas Gray,Thomas,Gray,,801,,,0.002206,,
Peter Barry,Peter,Barry,,798,,,0.002198,,
Booker T. Washington,Booker T,Washington,,795,,,0.00219,,
Robert DiYanni,Robert,DiYanni,,793,,,0.002184,,
William Knowlton Zinsser,William Knowlton,Zinsser,,792,,,0.002181,,
Gerald J. Alred,Gerald J,Alred,,789,,,0.002173,,
Charles T. Brusaw,Charles T,Brusaw,,789,,,0.002173,,
Thomas King,Thomas,King,,789,,,0.002173,,
Walter E. Oliu,Walter E,Oliu,,789,,,0.002173,,
Ann Ward Radcliffe,Ann Ward,Radcliffe,,787,,,0.002168,,
Edwidge Danticat,Edwidge,Danticat,,786,,,0.002165,,
Joseph Campbell,Joseph,Campbell,,780,,,0.002148,,
John Locke,John,Locke,,777,,,0.00214,,
John Updike,John,Updike,,777,,,0.00214,,
Gayatri Chakravorty Spivak,Gayatri,Chakravorty Spivak,,771,,,0.002124,,
Tillie Olsen,Tillie,Olsen,,768,,,0.002115,,
Susan Fawcett,Susan,Fawcett,,765,,,0.002107,,
Charles Perrault,Charles,Perrault,,765,,,0.002107,,
Derek Walcott,Derek,Walcott,,764,,,0.002104,,
Nicholas Royle,Nicholas,Royle,,763,,,0.002102,,
Emily Brontë,Emily,Brontë,,760,,,0.002093,,
Horace Walpole,Horace,Walpole,,758,,,0.002088,,
Susan Sontag,Susan,Sontag,,757,,,0.002085,,
Dante Alighieri,Dante,Alighieri,,753,,,0.002074,,
Katherine Anne Ackley,Katherine Anne,Ackley,,750,,,0.002066,,
Jean-Paul Sartre,Jean-Paul,Sartre,,750,,,0.002066,,
Audre Lorde,Audre,Lorde,,747,,,0.002058,,
Bertolt Brecht,Bertolt,Brecht,,743,,,0.002047,,
Homi K. Bhabha,Homi K,Bhabha,,742,,,0.002044,,
Thomas Mann,Thomas,Mann,,740,,,0.002038,,
Jean Toomer,Jean,Toomer,,739,,,0.002035,,
Italo Calvino,Italo,Calvino,,737,,,0.00203,,
Walter Scott,Walter,Scott,,736,,,0.002027,,
Jean Baudrillard,Jean,Baudrillard,,735,,,0.002024,,
Charles W. Chesnutt,Charles W,Chesnutt,,734,,,0.002022,,
Jon Krakauer,Jon,Krakauer,,731,,,0.002013,,
Paul A. Eschholz,Paul A,Eschholz,,729,,,0.002008,,
Amy Tan,Amy,Tan,,728,,,0.002005,,
Luigi Pirandello,Luigi,Pirandello,,725,,,0.001997,,
Suzanne Collins,Suzanne,Collins,,719,,,0.00198,,
Joan Didion,Joan,Didion,,719,,,0.00198,,
Peter Elbow,Peter,Elbow,,717,,,0.001975,,
James Weldon Johnson,James Weldon,Johnson,,717,,,0.001975,,
Raymond Chandler,Raymond,Chandler,,714,,,0.001967,,
Olaudah Equiano,Olaudah,Equiano,,714,,,0.001967,,
Vincent B. Leitch,Vincent B,Leitch,,713,,,0.001964,,
Harriet Beecher Stowe,Harriet,Beecher Stowe,,706,,,0.001945,,
Duncan Wu,Duncan,Wu,,706,,,0.001945,,
Gerard Manley Hopkins,Gerard Manley,Hopkins,,704,,,0.001939,,
John Webster,John,Webster,,704,,,0.001939,,
Linda Hutcheon,Linda,Hutcheon,,700,,,0.001928,,
Alice Munro,Alice,Munro,,698,,,0.001923,,
Linda H. Peterson,Linda H,Peterson,,698,,,0.001923,,
John Schilb,John,Schilb,,697,,,0.00192,,
Donald Morison Murray,Donald Morison,Murray,,696,,,0.001917,,
Mary White Rowlandson,Mary White,Rowlandson,,696,,,0.001917,,
Amiri Baraka,Amiri,Baraka,,694,,,0.001912,,
Robert Fagles,Robert,Fagles,,684,,,0.001884,,
John Clifford,John,Clifford,,677,,,0.001865,,
Gabriel García Márquez,Gabriel,García Márquez,,673,,,0.001854,,
Dorothy U. Seyler,Dorothy U,Seyler,,672,,,0.001851,,
Rudolfo A. Anaya,Rudolfo A,Anaya,,670,,,0.001845,,
Wole Soyinka,Wole,Soyinka,,665,,,0.001832,,
Sharon Crowley,Sharon,Crowley,,660,,,0.001818,,
E. M. W. Tillyard,E M W,Tillyard,,656,,,0.001807,,
Donna Jeanne Haraway,Donna,Haraway,,655,,,0.001804,,
Paul Gilroy,Paul,Gilroy,,651,,,0.001793,,
Wilkie Collins,Wilkie,Collins,,650,,,0.00179,,
Junot Díaz,Junot,Díaz,,650,,,0.00179,,
Keith S. Folse,Keith S,Folse,,644,,,0.001774,,
Janet M. Todd,Janet M,Todd,,644,,,0.001774,,
Kelley Griffith,Kelley,Griffith,,641,,,0.001766,,
Bharati Mukherjee,Bharati,Mukherjee,,640,,,0.001763,,
John Bunyan,John,Bunyan,,638,,,0.001757,,
Oliver Goldsmith,Oliver,Goldsmith,,635,,,0.001749,,
Alan Sinfield,Alan,Sinfield,,634,,,0.001746,,
James D. Lester,James D,Lester,,633,,,0.001744,,
Mary Eleanor Wilkins Freeman,Mary Eleanor,Wilkins Freeeman,,633,,,0.001744,,
Lois Lowry,Lois,Lowry,,629,,,0.001733,,
Stephen Orgel,Stephen,Orgel,,629,,,0.001733,,
Alfred Hitchcock,Alfred,Hitchcock,,628,,,0.00173,,
Rebecca Harding Davis,Rebecca,Harding Davis,,627,,,0.001727,,
Jonathan Bate,Jonathan,Bate,,626,,,0.001724,,
