author_name,first_name,last_name,title,count,fraction_total,dataset
Andrea A. Lunsford,Andrea A,Lunsford,not_applicable,"4,869",0.013411,open_syllabus
C. S. Lewis,C S,Lewis,not_applicable,"4,856",0.013375,open_syllabus
Charlotte Perkins Gilman,Charlotte,Perkins Gilman,not_applicable,"4,801",0.013224,open_syllabus
Joseph Conrad,Joseph,Conrad,not_applicable,"4,798",0.013216,open_syllabus
Charles Dickens,Charles,Dickens,not_applicable,"4,716",0.01299,open_syllabus
Alfred Tennyson Tennyson,Alfred,Tennyson,not_applicable,"4,697",0.012937,open_syllabus
Oscar Wilde,Oscar,Wilde,not_applicable,"4,482",0.012345,open_syllabus
John Donne,John,Donne,not_applicable,"4,434",0.012213,open_syllabus
Henry David Thoreau,Henry David,Thoreau,not_applicable,"4,316",0.011888,open_syllabus
Henry James,Henry,James,not_applicable,"4,256",0.011723,open_syllabus
F. Scott Fitzgerald,F Scott,Fitzgerald,not_applicable,"4,216",0.011613,open_syllabus
Robert Frost,Robert,Frost,not_applicable,"4,096",0.011282,open_syllabus
Joseph Gibaldi,Joseph,Gibaldi,not_applicable,"4,055",0.011169,open_syllabus
Homer,Homer,not_applicable,not_applicable,"3,955",0.010894,open_syllabus
Robert Browning,Robert,Browning,not_applicable,"3,954",0.010891,open_syllabus
Alice Walker,Alice,Walker,not_applicable,"3,924",0.010808,open_syllabus
George Orwell,George,Orwell,not_applicable,"3,916",0.010786,open_syllabus
Ralph Waldo Emerson,Ralph Waldo,Emerson,not_applicable,"3,875",0.010673,open_syllabus
X. J. Kennedy,X J,Kennedy,not_applicable,"3,848",0.010599,open_syllabus
Mary Wollstonecraft,Mary,Wollstonecraft,not_applicable,"3,799",0.010464,open_syllabus
John J. Ruszkiewicz,John J,Ruszkiewicz,not_applicable,"3,789",0.010436,open_syllabus
Percy Bysshe Shelley,Percy Bysshe,Shelley,not_applicable,"3,744",0.010312,open_syllabus
Plato,Plato,not_applicable,not_applicable,"3,715",0.010233,open_syllabus
Flannery O.'Connor,Flannery,O'Connor,not_applicable,"3,709",0.010216,open_syllabus
Jane E. Aaron,Jane E,Aaron,not_applicable,"3,658",0.010076,open_syllabus
Alexander Pope,Alexander,Pope,not_applicable,"3,650",0.010054,open_syllabus
Christopher Marlowe,Christopher,Marlowe,not_applicable,"3,479",0.009583,open_syllabus
Martin Luther King,Martin Luther,King,not_applicable,"3,384",0.009321,open_syllabus
Franz Kafka,Franz,Kafka,not_applicable,"3,310",0.009117,open_syllabus
Aristotle,Aristotle,not_applicable,not_applicable,"3,244",0.008935,open_syllabus
Sigmund Freud,Sigmund,Freud,not_applicable,"3,228",0.008891,open_syllabus
M. H. Abrams,M H,Abrams,not_applicable,"3,120",0.008594,open_syllabus
John Steinbeck,John,Steinbeck,not_applicable,"3,072",0.008461,open_syllabus
Zora Neale Hurston,Zora Neale,Hurston,not_applicable,"3,034",0.008357,open_syllabus
Richard H. Bullock,Richard H,Bullock,not_applicable,"2,999",0.00826,open_syllabus
W. B. Yeats,W B,Yeats,not_applicable,"2,928",0.008065,open_syllabus
Sylvan Barnet,Sylvan,Barnet,not_applicable,"2,920",0.008043,open_syllabus
Raymond Carver,Raymond,Carver,not_applicable,"2,863",0.007886,open_syllabus
Tim O.'Brien,Tim,O'Brien,not_applicable,"2,838",0.007817,open_syllabus
William Strunk,William,Strunk,not_applicable,"2,838",0.007817,open_syllabus
Stephen Crane,Stephen,Crane,not_applicable,"2,830",0.007795,open_syllabus
Langston Hughes,Langston,Hughes,not_applicable,"2,809",0.007737,open_syllabus
Matthew Arnold,Matthew,Arnold,not_applicable,"2,786",0.007674,open_syllabus
Edmund Spenser,Edmund,Spenser,not_applicable,"2,762",0.007608,open_syllabus
Chinua Achebe,Chinua,Achebe,not_applicable,"2,758",0.007597,open_syllabus
Arthur Miller,Arthur,Miller,not_applicable,"2,751",0.007577,open_syllabus
Thomas Hardy,Thomas,Hardy,not_applicable,"2,694",0.00742,open_syllabus
John Langan,John,Langan,not_applicable,"2,641",0.007274,open_syllabus
Euripides,Euripides,not_applicable,not_applicable,"2,553",0.007032,open_syllabus
Lester Faigley,Lester,Faigley,not_applicable,"2,550",0.007024,open_syllabus
Sandra Cisneros,Sandra,Cisneros,not_applicable,"2,469",0.006801,open_syllabus
Edith Wharton,Edith,Wharton,not_applicable,"2,467",0.006795,open_syllabus
Ben Jonson,Ben,Jonson,not_applicable,"2,456",0.006765,open_syllabus
Daniel Defoe,Daniel,Defoe,not_applicable,"2,449",0.006745,open_syllabus
Margaret Atwood,Margaret,Atwood,not_applicable,"2,403",0.006619,open_syllabus
Nina Baym,Nina,Baym,not_applicable,"2,401",0.006613,open_syllabus
Andrew Marvell,Andrew,Marvell,not_applicable,"2,385",0.006569,open_syllabus
D. H. Lawrence,D H,Lawrence,not_applicable,"2,329",0.006415,open_syllabus
Stella Cottrell,Stella,Cottrell,not_applicable,"2,325",0.006404,open_syllabus
Edward W. Said,Edward W,Said,not_applicable,"2,320",0.00639,open_syllabus
William Carlos Williams,William Carlos,Williams,not_applicable,"2,310",0.006363,open_syllabus
Samuel Beckett,Samuel,Beckett,not_applicable,"2,308",0.006357,open_syllabus
Aphra Behn,Aphra,Behn,not_applicable,"2,301",0.006338,open_syllabus
Anton Pavlovich Chekhov,Anton Pavlovich,Chekhov,not_applicable,"2,299",0.006332,open_syllabus
Sherman Alexie,Sherman,Alexie,not_applicable,"2,271",0.006255,open_syllabus
Tennessee Williams,Tennessee,Williams,not_applicable,"2,271",0.006255,open_syllabus
Benjamin Franklin,Benjamin,Franklin,not_applicable,"2,270",0.006252,open_syllabus
Leslie Marmon Silko,Leslie marmon,Silko,not_applicable,"2,249",0.006195,open_syllabus
Emily Dickinson,Emily,Dickinson,not_applicable,"2,210",0.006087,open_syllabus
Ralph Ellison,Ralph,Ellison,not_applicable,"2,191",0.006035,open_syllabus
Robert Louis Stevenson,Robert Louis,Stevenson,not_applicable,"2,180",0.006005,open_syllabus
James Baldwin,James,Baldwin,not_applicable,"2,178",0.005999,open_syllabus
Ovid,Ovid,not_applicable,not_applicable,"2,171",0.00598,open_syllabus
Allen Ginsberg,Allen,Ginsberg,not_applicable,"2,153",0.00593,open_syllabus
Frederick Douglass,Frederick,Douglass,not_applicable,"2,146",0.005911,open_syllabus
Washington Irving,Washington,Irving,not_applicable,"2,133",0.005875,open_syllabus
Terry Eagleton,Terry,Eagleton,not_applicable,"2,099",0.005781,open_syllabus
Samuel Johnson,Samuel,Johnson,not_applicable,"2,097",0.005776,open_syllabus
Richard Johnson-Sheehan,Richard,Johnson-Sheehan,not_applicable,"2,054",0.005658,open_syllabus
Michel Foucault,Michel,Foucault,not_applicable,"2,050",0.005646,open_syllabus
George Eliot,George,Eliot,not_applicable,"2,049",0.005644,open_syllabus
Rise B. Axelrod,Rise B,Axelrod,not_applicable,"2,039",0.005616,open_syllabus
Leo Tolstoy,Leo,Tolstoy,not_applicable,"2,013",0.005545,open_syllabus
Harold Bloom,Harold,Bloom,not_applicable,"2,003",0.005517,open_syllabus
Joyce Carol Oates,Joyce Carol,Oates,not_applicable,"1,974",0.005437,open_syllabus
Richard Bullock,Richard,Bullock,not_applicable,"1,958",0.005393,open_syllabus
Francine Weinberg,Francine,Weinberg,not_applicable,"1,958",0.005393,open_syllabus
Thomas Jefferson,Thomas,Jefferson,not_applicable,"1,956",0.005388,open_syllabus
Harriet A. Jacobs,Harriet A,Jacobs,not_applicable,"1,953",0.005379,open_syllabus
Shirley Jackson,Shirley,Jackson,not_applicable,"1,947",0.005363,open_syllabus
George Gordon Byron Byron,George Gordon,Byron,not_applicable,"1,937",0.005335,open_syllabus
Philip Sidney,Philip,Sidney,not_applicable,"1,926",0.005305,open_syllabus
J. M. Coetzee,J M,Coetzee,not_applicable,"1,918",0.005283,open_syllabus
Dana Gioia,Dana,Gioia,not_applicable,"1,915",0.005275,open_syllabus
Henrik Ibsen,Henrik,Ibsen,not_applicable,"1,886",0.005195,open_syllabus
Louise Erdrich,Louise,Erdrich,not_applicable,"1,870",0.005151,open_syllabus
Susan Glaspell,Susan,Glaspell,not_applicable,"1,869",0.005148,open_syllabus
Virgil,Virgil,not_applicable,not_applicable,"1,866",0.00514,open_syllabus
Kurt Vonnegut,Kurt,Vonnegut,not_applicable,"1,832",0.005046,open_syllabus
Hugo Adam Bedau,Hugo Adam,Bedau,not_applicable,"1,831",0.005043,open_syllabus
J. R. R. Tolkien,J R R,Tolkien,not_applicable,"1,817",0.005005,open_syllabus
Lewis Carroll,Lewis,Carroll,not_applicable,"1,814",0.004996,open_syllabus
Fyodor Dostoyevsky,Fyodor,Dostoyevsky,not_applicable,"1,803",0.004966,open_syllabus
Charles Raymond Cooper,Charles Raymond,Cooper,not_applicable,"1,798",0.004952,open_syllabus
Jonathan Middlebrook,Jonathan,Middlebrook,not_applicable,"1,798",0.004952,open_syllabus
Eudora Welty,Eudora,Welty,not_applicable,"1,783",0.004911,open_syllabus
E. M. Forster,E M,Forster,not_applicable,"1,771",0.004878,open_syllabus
Thomas Paine,Thomas,Paine,not_applicable,"1,770",0.004875,open_syllabus
Arthur Conan Doyle,Arthur,Conan Doyle,not_applicable,"1,740",0.004793,open_syllabus
Bram Stoker,Bram,Stoker,not_applicable,"1,740",0.004793,open_syllabus
Salman Rushdie,Salman,Rushdie,not_applicable,"1,721",0.00474,open_syllabus
Gwendolyn Brooks,Gwendolyn,Brooks,not_applicable,"1,704",0.004693,open_syllabus
Wallace Stevens,Wallace,Stevens,not_applicable,"1,670",0.0046,open_syllabus
Charles Paine,Charles,Paine,not_applicable,"1,658",0.004567,open_syllabus
Charlotte Bronte,Charlotte,Bronte,not_applicable,"1,653",0.004553,open_syllabus
Jorge Luis Borges,Jorge Luis,Borges,not_applicable,"1,652",0.00455,open_syllabus
Lorraine Hansberry,Lorraine,Hansberry,not_applicable,"1,650",0.004545,open_syllabus
John C. Bean,JohnC,Bean,not_applicable,"1,645",0.004531,open_syllabus
Seamus Heaney,Seamus,Heaney,not_applicable,"1,639",0.004514,open_syllabus
Art Spiegelman,Art,Spiegelman,not_applicable,"1,629",0.004487,open_syllabus
H. Ramsey Fowler,H Ramsey,Fowler,not_applicable,"1,622",0.004468,open_syllabus
Janet Burroway,Janet,Burroway,not_applicable,"1,617",0.004454,open_syllabus
Stephen King,Stephen,King,not_applicable,"1,612",0.00444,open_syllabus
Paul Kei Matsuda,Paul Kei,Matsuda,not_applicable,"1,610",0.004435,open_syllabus
John D. Ramage,John D,Ramage,not_applicable,"1,607",0.004426,open_syllabus
Christine M. Tardy,Christine M,Tardy,not_applicable,"1,592",0.004385,open_syllabus
Bruce P. Ballenger,Bruce P,Ballenger,not_applicable,"1,589",0.004377,open_syllabus
Octavia E. Butler,Octavia E,Butler,not_applicable,"1,575",0.004338,open_syllabus
Augustine,Augustine,not_applicable,not_applicable,"1,568",0.004319,open_syllabus
Aeschylus,Aeschylus,not_applicable,not_applicable,"1,562",0.004302,open_syllabus
Thomas Malory,Thomas,Malory,not_applicable,"1,560",0.004297,open_syllabus
Jack London,Jack,London,not_applicable,"1,559",0.004294,open_syllabus
Rudyard Kipling,Rudyard,Kipling,not_applicable,"1,539",0.004239,open_syllabus
David Damrosch,David,Damrosch,not_applicable,"1,520",0.004187,open_syllabus
Michael Meyer,Michael,Meyer,not_applicable,"1,519",0.004184,open_syllabus
Johann Wolfgang Von Goethe,Johann Wolfgang Von,Goethe,not_applicable,"1,496",0.004121,open_syllabus
Karl Marx,Karl,Marx,not_applicable,"1,482",0.004082,open_syllabus
Maxine Hong Kingston,Maxine,Hong Kingston,not_applicable,"1,466",0.004038,open_syllabus
H. G. Wells,H G,Wells,not_applicable,"1,464",0.004032,open_syllabus
Michael H. Markel,Michael H,Markel,not_applicable,"1,452",0.003999,open_syllabus
Sylvia Plath,Sylvia,Plath,not_applicable,"1,449",0.003991,open_syllabus
Theodore Roethke,Theodore,Roethke,not_applicable,"1,447",0.003986,open_syllabus
Willa Cather,Willa,Cather,not_applicable,"1,446",0.003983,open_syllabus
Richard Wright,Richard,Wright,not_applicable,"1,445",0.00398,open_syllabus
James A. Reinking,James A,Reinking,not_applicable,"1,440",0.003966,open_syllabus
Albert Camus,Albert,Camus,not_applicable,"1,439",0.003964,open_syllabus
Robert Von Der Osten,Robert,von der Osten,not_applicable,"1,436",0.003955,open_syllabus
Henry Louis Gates,Henry Louis,Gates,not_applicable,"1,434",0.00395,open_syllabus
Elizabeth Barrett Browning,Elizabeth Barrett,Browning,not_applicable,"1,433",0.003947,open_syllabus
Don DeLillo,Don,DeLillo,not_applicable,"1,429",0.003936,open_syllabus
Raymond Williams,Raymond,Williams,not_applicable,"1,428",0.003933,open_syllabus
Roland Barthes,Roland,Barthes,not_applicable,"1,420",0.003911,open_syllabus
Edgar V. Roberts,Edgar V,Roberts,not_applicable,"1,415",0.003897,open_syllabus
Voltaire,Voltaire,not_applicable,not_applicable,"1,397",0.003848,open_syllabus
Brown and Company Little,not_applicable,"Little, Brown and Company",not_applicable,"1,389",0.003826,open_syllabus
Judith Butler,Judith,Butler,not_applicable,"1,375",0.003787,open_syllabus
Kelly J. Mays,Kelly J,Mays,not_applicable,"1,372",0.003779,open_syllabus
Christina Georgina Rossetti,Christina Georgina,Rossetti,not_applicable,"1,367",0.003765,open_syllabus
Gertrude Stein,Gertrude,Stein,not_applicable,"1,367",0.003765,open_syllabus
Press Collection (Library of Congress,Library of Congress,Press Collection,not_applicable,"1,366",0.003762,open_syllabus
William Flint Thrall,William Flint,Thrall,not_applicable,"1,365",0.00376,open_syllabus
Jean Rhys,Jean,Rhys,not_applicable,"1,357",0.003738,open_syllabus
C. Hugh Holman,C Hugh,Holman,not_applicable,"1,349",0.003716,open_syllabus
Charles Darwin,Charles,Darwin,not_applicable,"1,344",0.003702,open_syllabus
N. Scott Momaday,N Scott,Momaday,not_applicable,"1,344",0.003702,open_syllabus
Rebecca Moore Howard,Rebecca Moore,Howard,not_applicable,"1,343",0.003699,open_syllabus
Wayne C. Booth,Wayne C,Booth,not_applicable,"1,334",0.003674,open_syllabus
Vladimir Vladimirovich Nabokov,Vladimir Vladimirovich,Nabokov,not_applicable,"1,315",0.003622,open_syllabus
Thomas Pynchon,Thomas,Pynchon,not_applicable,"1,294",0.003564,open_syllabus
Nella Larsen,Nella,Larsen,not_applicable,"1,289",0.00355,open_syllabus
Annie Dillard,Annie,Dillard,not_applicable,"1,282",0.003531,open_syllabus
Thomas More,Thomas,More,not_applicable,"1,281",0.003528,open_syllabus
Ann Charters,Ann,Charters,not_applicable,"1,277",0.003517,open_syllabus
Adrienne Rich,Adrienne,Rich,not_applicable,"1,272",0.003504,open_syllabus
Charlotte Brontë,Charlotte,Brontë,not_applicable,"1,261",0.003473,open_syllabus
John Dryden,John,Dryden,not_applicable,"1,254",0.003454,open_syllabus
Walter Pater,Walter,Pater,not_applicable,"1,254",0.003454,open_syllabus
Walter Benjamin,Walter,Benjamin,not_applicable,"1,250",0.003443,open_syllabus
Kathleen T. McWhorter,Kathleen T,McWhorter,not_applicable,"1,247",0.003435,open_syllabus
Martin Stephen,Martin,Stephen,not_applicable,"1,240",0.003415,open_syllabus
Angela Carter,Angela,Carter,not_applicable,"1,229",0.003385,open_syllabus
William Bradford,William,Bradford,not_applicable,"1,226",0.003377,open_syllabus
Jean Wyrick,Jean,Wyrick,not_applicable,"1,202",0.003311,open_syllabus
Emily Bronte,Emily,Bronte,not_applicable,"1,196",0.003294,open_syllabus
Florin Press,Florin,Press,not_applicable,"1,187",0.003269,open_syllabus
Graham Williams,Graham,Williams,not_applicable,"1,187",0.003269,open_syllabus
Cheryl Glenn,Cheryl,Glenn,not_applicable,"1,179",0.003247,open_syllabus
Stephen Greenblatt,Stephen,Greenblatt,not_applicable,"1,175",0.003236,open_syllabus
Ann Raimes,Ann,Raimes,not_applicable,"1,171",0.003225,open_syllabus
Michal Brody,Michal,Brody,not_applicable,"1,163",0.003203,open_syllabus
Aristophanes,Aristophanes,not_applicable,not_applicable,"1,163",0.003203,open_syllabus
Sarah Orne Jewett,Sarah Orne,Jewett,not_applicable,"1,143",0.003148,open_syllabus
J. K. Rowling,J K,Rowling,not_applicable,"1,139",0.003137,open_syllabus
Ray Bradbury,Ray,Bradbury,not_applicable,"1,133",0.003121,open_syllabus
Gustave Flaubert,Gustave,Flaubert,not_applicable,"1,131",0.003115,open_syllabus
John Stuart Mill,John Stuart,Mill,not_applicable,"1,124",0.003096,open_syllabus
Ursula K. Le Guin,Ursula K,Le Guin,not_applicable,"1,117",0.003077,open_syllabus
Paul Lauter,Paul,Lauter,not_applicable,"1,114",0.003068,open_syllabus
Jhumpa Lahiri,Jhumpa,Lahiri,not_applicable,"1,113",0.003066,open_syllabus
David Lodge,David,Lodge,not_applicable,"1,111",0.00306,open_syllabus
Tom Stoppard,Tom,Stoppard,not_applicable,"1,111",0.00306,open_syllabus
Dante,not_applicable,Dante,not_applicable,"1,110",0.003057,open_syllabus
Nedra Reynolds,Nedra,Reynolds,not_applicable,"1,109",0.003055,open_syllabus
Jonathan Edwards,Jonathan,Edwards,not_applicable,"1,105",0.003044,open_syllabus
Niccolo Machiavelli,Niccolo,Machiavelli,not_applicable,"1,103",0.003038,open_syllabus
Jeanette Winterson,Jeanette,Winterson,not_applicable,"1,098",0.003024,open_syllabus
Helen Tiffin,Helen,Tiffin,not_applicable,"1,095",0.003016,open_syllabus
Bill Ashcroft,Bill,Ashcroft,not_applicable,"1,092",0.003008,open_syllabus
Jacques Derrida,Jacques,Derrida,not_applicable,"1,084",0.002986,open_syllabus
Bernard Shaw,Bernard,Shaw,not_applicable,"1,079",0.002972,open_syllabus
Aldous Huxley,Aldous,Huxley,not_applicable,"1,069",0.002944,open_syllabus
Marjane Satrapi,Marjane,Satrapi,not_applicable,"1,065",0.002933,open_syllabus
Cormac McCarthy,Cormac,McCarthy,not_applicable,"1,063",0.002928,open_syllabus
Modern Language Association of America,not_applicable,Modern Language Association of America,not_applicable,"1,054",0.002903,open_syllabus
Anne Lamott,Anne,Lamott,not_applicable,"1,053",0.0029,open_syllabus
Maynard Mack,Maynard,Mack,not_applicable,"1,053",0.0029,open_syllabus
Elaine Showalter,Elaine,Showalter,not_applicable,"1,047",0.002884,open_syllabus
Katherine Mansfield,Katherine,Mansfield,not_applicable,"1,046",0.002881,open_syllabus
Marie De France,Marie,de France,not_applicable,"1,043",0.002873,open_syllabus
Muriel Harris,Muriel,Harris,not_applicable,"1,043",0.002873,open_syllabus
Malcolm Bradbury,Malcolm,Bradbury,not_applicable,"1,030",0.002837,open_syllabus
Philip K. Dick,Philip K,Dick,,"1,030",0.002837,open_syllabus
Katherine Anne Porter,Katherine Anne,Porter,,"1,026",0.002826,open_syllabus
Robert Atwan,Robert,Atwan,,"1,025",0.002823,open_syllabus
Sandra M. Gilbert,Sandra M,Gilbert,,"1,018",0.002804,open_syllabus
Ambrose Bierce,Ambrose,Bierce,,"1,014",0.002793,open_syllabus
W. E. B. Du Bois,W E B,Du Bois,,"1,010",0.002782,open_syllabus
John M. Lannon,John M,Lannon,,"1,010",0.002782,open_syllabus
August Wilson,August,Wilson,,"1,009",0.002779,open_syllabus
Joseph M. Williams,Joseph M,Williams,,"1,008",0.002776,open_syllabus
Jack Kerouac,Jack,Kerouac,,"1,006",0.002771,open_syllabus
J. D. Salinger,J D,Salinger,,"1,006",0.002771,open_syllabus
William Butler Yeats,William Butler,Yeats,,"1,006",0.002771,open_syllabus
Friedrich Wilhelm Nietzsche,Friedrich Wilhelm,Nietzsche,,"1,004",0.002765,open_syllabus
James Fenimore Cooper,James Fenimore,Cooper,,"1,001",0.002757,open_syllabus
Jamaica Kincaid,Jamaica,Kincaid,,"1,001",0.002757,open_syllabus
William Gibson,William,Gibson,,"1,000",0.002754,open_syllabus
Gareth Griffiths,Gareth,Griffiths,,998,0.002749,open_syllabus
Ezra Pound,Ezra,Pound,,988,0.002721,open_syllabus
Gary Goshgarian,Gary,Goshgarian,,987,0.002719,open_syllabus
Henry Fielding,Henry,Fielding,,983,0.002708,open_syllabus
David Crystal,David,Crystal,,982,0.002705,open_syllabus
Louisa May Alcott,Louisa May,Alcott,,977,0.002691,open_syllabus
John Ruskin,John,Ruskin,,975,0.002686,open_syllabus
Richard Yarborough,Richard,Yarborough,,975,0.002686,open_syllabus
Kazuo Ishiguro,Kazuo,Ishiguro,,971,0.002675,open_syllabus
Eugene O.'Neill,Eugene,O'Neill,,967,0.002663,open_syllabus
Miguel De Cervantes,Miguel,De Cervantes,,966,0.002661,open_syllabus
Jean-Jacques Rousseau,Jean-Jacques,Rousseau,,960,0.002644,open_syllabus
Fredric Jameson,Fredric,Jameson,,959,0.002641,open_syllabus
W. H. Auden,W H,Auden,,958,0.002639,open_syllabus
Lee A. Jacobus,Lee A,Jacobus,,953,0.002625,open_syllabus
Elizabeth Cleghorn Gaskell,Elizabeth Cleghorn,Gaskell,,948,0.002611,open_syllabus
Giovanni Boccaccio,Giovanni,Boccaccio,,942,0.002595,open_syllabus
Jack Selzer,Jack,Selzer,,941,0.002592,open_syllabus
Susan Gubar,Susan,Gubar,,940,0.002589,open_syllabus
Walter Hooper,Walter,Hooper,,940,0.002589,open_syllabus
Alice Oshima,Alice,Oshima,,940,0.002589,open_syllabus
Elaine P. Maimon,Elaine P,Maimon,,928,0.002556,open_syllabus
Toby Fulwiler,Toby,Fulwiler,,927,0.002553,open_syllabus
Maya Angelou,Maya,Angelou,,915,0.00252,open_syllabus
Dorothy M. Kennedy,Dorothy M,Kennedy,,914,0.002518,open_syllabus
Graham Greene,Graham,Greene,,913,0.002515,open_syllabus
David M. Bevington,David M,Bevington,,912,0.002512,open_syllabus
Dante Gabriel Rossetti,Dante Gabriel,Rossetti,,908,0.002501,open_syllabus
Philip Roth,Philip,Roth,,906,0.002495,open_syllabus
Alison Bechdel,Alison,Bechdel,,905,0.002493,open_syllabus
Charles Baudelaire,Charles,Baudelaire,,903,0.002487,open_syllabus
Flannery O.’Connor,Flannery,O’Connor,,901,0.002482,open_syllabus
Harriet Beecher-Stowe,Harriet,Beecher-Stowe,,899,0.002476,open_syllabus
Jacob Grimm,Jacob,Grimm,,898,0.002473,open_syllabus
Sarah N. Lawall,Sarah N,Lawall,,890,0.002451,open_syllabus
Elizabeth Bishop,Elizabeth,Bishop,,881,0.002427,open_syllabus
Bell Hooks,Bell,Hooks,,878,0.002418,open_syllabus
Catherine Belsey,Catherine,Belsey,,870,0.002396,open_syllabus
Edmund Burke,Edmund,Burke,,870,0.002396,open_syllabus
John Berger,John,Berger,,869,0.002394,open_syllabus
Stuart Greene,Stuart,Greene,,869,0.002394,open_syllabus
April Lidinsky,April,Lidinsky,,867,0.002388,open_syllabus
Frank Kermode,Frank,Kermode,,860,0.002369,open_syllabus
Walter Raleigh,Walter,Raleigh,,859,0.002366,open_syllabus
Thomas Carlyle,Thomas,Carlyle,,858,0.002363,open_syllabus
Alfred F. Rosa,Alfred F,Rosa,,851,0.002344,open_syllabus
Leonard J. Rosen,Leonard J,Rosen,,851,0.002344,open_syllabus
Janet E. Gardner,Janet E,Gardner,,850,0.002341,open_syllabus
Michael Ondaatje,Michael,Ondaatje,,845,0.002327,open_syllabus
Frantz Fanon,Frantz,Fanon,,836,0.002303,open_syllabus
Alan R. Hayakawa,Alan R,Hayakawa,,825,0.002272,open_syllabus
Arundhati Roy,Arundhati,Roy,,825,0.002272,open_syllabus
Scott McCloud,Scott,McCloud,,823,0.002267,open_syllabus
Neil Gaiman,Neil,Gaiman,,822,0.002264,open_syllabus
Francis Bacon,Francis,Bacon,,820,0.002259,open_syllabus
Donald McQuade,Donald,McQuade,,819,0.002256,open_syllabus
Samuel Richardson,Samuel,Richardson,,818,0.002253,open_syllabus
Jack Zipes,Jack,Zipes,,817,0.00225,open_syllabus
Laurence Behrens,Laurence,Behrens,,816,0.002248,open_syllabus
Jerome J. McGann,Jerome J,McGann,,816,0.002248,open_syllabus
David Punter,David,Punter,,816,0.002248,open_syllabus
Zadie Smith,Zadie,Smith,,811,0.002234,open_syllabus
Ian McEwan,Ian,McEwan,,810,0.002231,open_syllabus
Noah Webster,Noah,Webster,,810,0.002231,open_syllabus
Jonathan D. Culler,Jonathan D,Culler,,809,0.002228,open_syllabus
Eve Kosofsky Sedgwick,Eve Kosofsky,Sedgwick,,809,0.002228,open_syllabus
R. S. Gwynn,R S,Gwynn,,806,0.00222,open_syllabus
Laurence Sterne,Laurence,Sterne,,805,0.002217,open_syllabus
Aleksandr Sergeevich Pushkin,Aleksandr Sergeevich,Pushkin,,804,0.002215,open_syllabus
David Foster Wallace,David,Foster Wallace,,801,0.002206,open_syllabus
Thomas Gray,Thomas,Gray,,801,0.002206,open_syllabus
Peter Barry,Peter,Barry,,798,0.002198,open_syllabus
Booker T. Washington,Booker T,Washington,,795,0.00219,open_syllabus
Robert DiYanni,Robert,DiYanni,,793,0.002184,open_syllabus
William Knowlton Zinsser,William Knowlton,Zinsser,,792,0.002181,open_syllabus
Gerald J. Alred,Gerald J,Alred,,789,0.002173,open_syllabus
Charles T. Brusaw,Charles T,Brusaw,,789,0.002173,open_syllabus
Thomas King,Thomas,King,,789,0.002173,open_syllabus
Walter E. Oliu,Walter E,Oliu,,789,0.002173,open_syllabus
Ann Ward Radcliffe,Ann Ward,Radcliffe,,787,0.002168,open_syllabus
