author_name,last_name,first_name,title,birthdate,deathdate,misc1,misc2,misc3,misc4,,misc5,count,fraction_total,dataset
"Baretti, Giuseppe Marco Antonio, 1719-1789.",Baretti,Giuseppe Marco Antonio,not_applicable,1719,1789,,,,,,,20,0.002118195,estc
"Genlis, Stéphanie Félicité, comtesse de, 1746-1830.",Félicité,Stéphanie,not_applicable,1746,1830,,,,,,,20,0.002118195,estc
"Emerson, William, 1701-1782.",Emerson,William,not_applicable,1701,1782,,,,,,,20,0.002118195,estc
South Carolina. Assembly.,South Carolina,Assembly,not_applicable,,,,,,,,,20,0.002118195,estc
"Bower, Archibald, 1686-1766.",Bower,Archibald,not_applicable,1686,1766,,,,,,,19,0.002012286,estc
"Encyclopaedia Britannica, inc.",Encyclopaedia Britannica,inc,not_applicable,,,,,,,,,19,0.002012286,estc
"Milton, John, 1608-1674.",Milton,John,not_applicable,1608,1674,,,,,,,19,0.002012286,estc
"Sully, Maximilien de Béthune, duc de, 1559-1641.",de Béthune,Maximilien,not_applicable,1559,1641,,,,,,,19,0.002012286,estc
"Maurice, Thomas, 1754-1824.",Maurice,Thomas,not_applicable,1754,1824,,,,,,,19,0.002012286,estc
"Seward, William, 1747-1799.",Seward,William,not_applicable,1747,1799,,,,,,,19,0.002012286,estc
"Boyer, Abel, 1667-1729.",Boyer,Abel,not_applicable,1667,1729,,,,,,,18,0.001906376,estc
"Erskine, Ralph, 1685-1752.",Erskine,Ralph,not_applicable,1685,1752,,,,,,,18,0.001906376,estc
"Haywood, Eliza Fowler, 1693?-1756.",Haywood,Eliza Fowler,not_applicable, 1693?,1756,,,,,,,17,0.001800466,estc
"Gleig, George, 1753-1840.",Gleig,George,not_applicable,1753,1840,,,,,,,17,0.001800466,estc
"Thou, Jacques-Auguste de, 1553-1617.",Thou,Jacques-Auguste de,not_applicable,1553,1617,,,,,,,17,0.001800466,estc
"Cicero, Marcus Tullius.",Cicero,Marcus Tullius,not_applicable,,,,,,,,,17,0.001800466,estc
"Jenyns, Soame, 1704-1787.",Jenyns,Soame,not_applicable,1704,1787,,,,,,,17,0.001800466,estc
"Gordon, Thomas, d. 1750.",Gordon,Thomas,not_applicable,,1750,,,,,,,17,0.001800466,estc
Great Britain.,not_applicable,Great Britain,not_applicable,,,,,,,,,17,0.001800466,estc
Horace.,not_applicable,Horace,not_applicable,,,,,,,,,17,0.001800466,estc
"Kippis, Andrew, 1725-1795.",Kippis,Andrew,not_applicable,1725,1795,,,,,,,16,0.001694556,estc
"Monboddo, James Burnett, Lord, 1714-1799.",Burnett,James,not_applicable,1714,1799,,,,,,,16,0.001694556,estc
"Hawkesworth, John, 1715?-1773.",Hawkesworth,John,not_applicable, 1715?,1773,,,,,,,16,0.001694556,estc
"Hanway, Jonas, 1712-1786.",Hanway,Jonas,not_applicable,1712,1786,,,,,,,16,0.001694556,estc
"Jerningham, Mr. (Edward), 1737?-1812.",Jerningham,Edward,not_applicable, 1737?,1812,,,,,,,16,0.001694556,estc
"Clarke, Samuel, 1675-1729.",Clarke,Samuel,not_applicable,1675,1729,,,,,,,16,0.001694556,estc
"Percy, Thomas, 1729-1811.",Percy,Thomas,not_applicable,1729,1811,,,,,,,16,0.001694556,estc
"Mason, William, 1725-1797.",Mason,William,not_applicable,1725,1797,,,,,,,16,0.001694556,estc
"Davenant, Charles, 1656-1714.",Davenant,Charles,not_applicable,1656,1714,,,,,,,15,0.001588646,estc
"Oxford, Edward Harley, Earl of, 1689-1741.",Harley,Edward,not_applicable,1689,1741,,,,,,,15,0.001588646,estc
"Lyttelton, George Lyttelton, Baron, 1709-1773.",Lyttelton,George,not_applicable,1709,1773,,,,,,,15,0.001588646,estc
"Trenchard, John, 1662-1723.",Trenchard,John,not_applicable,1662,1723,,,,,,,15,0.001588646,estc
"Aikin, John, 1747-1822.",Aikin,John,not_applicable,1747,1822,,,,,,,15,0.001588646,estc
"Tindal, N. 1687-1774.",Tindal,N,not_applicable,1687,1774,,,,,,,15,0.001588646,estc
"Amhurst, N. (Nicholas), 1697-1742.",Amhurst,Nicholas,not_applicable,1697,1742,,,,,,,15,0.001588646,estc
"Boston, Thomas, 1677-1732.",Boston,Thomas,not_applicable,1677,1732,,,,,,,15,0.001588646,estc
"Gilpin, William, 1724-1804.",Gilpin,William,not_applicable,1724,1804,,,,,,,15,0.001588646,estc
Ireland. Parliament. House of Commons.,Ireland,Parliament House of Commons,not_applicable,,,,,,,,,15,0.001588646,estc
"Murphy, Arthur, 1727-1805.",Murphy,Arthur,not_applicable,1727,1805,,,,,,,14,0.001482737,estc
"Martin, Benjamin, 1705-1782.",Martin,Benjamin,not_applicable,1705,1782,,,,,,,14,0.001482737,estc
"Middleton, Conyers, 1683-1750.",Middleton,Conyers,not_applicable,1683,1750,,,,,,,14,0.001482737,estc
"Guicciardini, Francesco, 1483-1540.",Guicciardini,Francesco,not_applicable,1483,1540,,,,,,,14,0.001482737,estc
"Cook, James, 1728-1779.",Cook,James,not_applicable,1728,1779,,,,,,,14,0.001482737,estc
"Tillotson, John, 1630-1694.",Tillotson,John,not_applicable,1630,1694,,,,,,,14,0.001482737,estc
"Campbell, John, 1708-1775.",Campbell,John,not_applicable,1708,1775,,,,,,,14,0.001482737,estc
"Marshall, Mr. 1745-1818.",Marshall,Mr,not_applicable,1745,1818,,,,,,,14,0.001482737,estc
"Shenstone, William, 1714-1763.",Shenstone,William,not_applicable,1714,1763,,,,,,,14,0.001482737,estc
"Churchill, Charles, 1731-1764.",Churchill,Charles,not_applicable,1731,1764,,,,,,,13,0.001376827,estc
"Hume, David, 1711-1776.",Hume,David,not_applicable,1711,1776,,,,,,,13,0.001376827,estc
"Beaumont, Francis, 1584-1616.",Beaumont,Francis,not_applicable,1584,1616,,,,,,,13,0.001376827,estc
"Berkeley, George, 1685-1753.",Berkeley,George,not_applicable,1685,1753,,,,,,,13,0.001376827,estc
"Burnet, Gilbert, 1643-1715.",Burnet,Gilbert,not_applicable,1643,1715,,,,,,,13,0.001376827,estc
"Jackson, John, 1686-1763.",Jackson,John,not_applicable,1686,1763,,,,,,,13,0.001376827,estc
"Warton, Joseph, 1722-1800.",Warton,Joseph,not_applicable,1722,1800,,,,,,,13,0.001376827,estc
"Ritson, Joseph, 1752-1803.",Ritson,Joseph,not_applicable,1752,1803,,,,,,,13,0.001376827,estc
"Butler, Samuel, 1612-1680.",Butler,Samuel,not_applicable,1612,1680,,,,,,,13,0.001376827,estc
"Guthrie, William, 1708-1770.",Guthrie,William,not_applicable,1708,1770,,,,,,,13,0.001376827,estc
"Maitland, William Fuller.",Maitland,William Fuller,not_applicable,,,,,,,,,13,0.001376827,estc
"Voltaire, 1694-1778.",not_applicable,Voltaire,not_applicable,1694,1778,,,,,,,13,0.001376827,estc
Homer.,not_applicable,Homer,not_applicable,,,,,,,,,13,0.001376827,estc
Plutarch.,not_applicable,Plutarch,not_applicable,,,,,,,,,13,0.001376827,estc
"Shaftesbury, Anthony Ashley Cooper, Earl of, 1671-1713.",Cooper,Anthony Ashley,not_applicable,1671,1713,,,,,,,12,0.001270917,estc
"Jonson, Ben, 1573?-1637.",Jonson,Ben,not_applicable, 1573?,1637,,,,,,,12,0.001270917,estc
"Mallet, David, 1705?-1765.",Mallet,David,not_applicable, 1705?,1765,,,,,,,12,0.001270917,estc
"Young, Edward, 1683-1765.",Young,Edward,not_applicable,1683,1765,,,,,,,12,0.001270917,estc
"Bacon, Francis, 1561-1626.",Bacon,Francis,not_applicable,1561,1626,,,,,,,12,0.001270917,estc
"La Calprenède, Gaultier de Coste, seigneur de, d. 1663.",de Coste,Gaultier,not_applicable,,1663,,,,,,,12,0.001270917,estc
"Fielding, Henry, 1707-1754.",Fielding,Henry,not_applicable,1707,1754,,,,,,,12,0.001270917,estc
"Locke, John, 1632-1704.",Locke,John,not_applicable,1632,1704,,,,,,,12,0.001270917,estc
"Hutchinson, John, 1674-1737.",Hutchinson,John,not_applicable,1674,1737,,,,,,,12,0.001270917,estc
"Charnock, John, 1756-1807.",Charnock,John,not_applicable,1756,1807,,,,,,,12,0.001270917,estc
"La Roche, Michael de, fl. 1710-1731,",de la Roche,Michael,not_applicable, fl. 1710,1731,,,,,,,12,0.001270917,estc
"Price, Richard, 1723-1791.",Price,Richard,not_applicable,1723,1791,,,,,,,12,0.001270917,estc
"Plautus, Titus Maccius.",Plautus,Titus Maccius,not_applicable,,,,,,,,,12,0.001270917,estc
"Law, William, 1686-1761.",Law,William,not_applicable,1686,1761,,,,,,,12,0.001270917,estc
East India Company.,not_applicable,East India Company,not_applicable,,,,,,,,,12,0.001270917,estc
"Barruel, abbé, 1741-1820.",Barruel,abbé,not_applicable,1741,1820,,,,,,,11,0.001165007,estc
"Hoadly, Benjamin, 1676-1761.",Hoadly,Benjamin,not_applicable,1676,1761,,,,,,,11,0.001165007,estc
"Johnstone, Charles, 1719?-1800?",Johnstone,Charles,not_applicable, 1719?,1800?,,,,,,,11,0.001165007,estc
"Dumouriez, Charles Francois Du Perier, 1739-1823.",Dumouriez,Charles Francois Du Perier,not_applicable,1739,1823,,,,,,,11,0.001165007,estc
"Hughs, Henry, d. 1810.",Hughs,Henry,not_applicable,,1810,,,,,,,11,0.001165007,estc
"Walpole, Horace, 1717-1797.",Walpole,Horace,not_applicable,1717,1797,,,,,,,11,0.001165007,estc
"Reed, Isaac, 1742-1807.",Reed,Isaac,not_applicable,1742,1807,,,,,,,11,0.001165007,estc
"Dodsley, James, 1724-1797.",Dodsley,James,not_applicable,1724,1797,,,,,,,11,0.001165007,estc
"Beattie, James, 1735-1803.",Beattie,James,not_applicable,1735,1803,,,,,,,11,0.001165007,estc
"Scott, Major (John), 1747-1819,",Scott,John,not_applicable,1747,1819,,,,,,,11,0.001165007,estc
"Pratt, Mr. 1749-1814.",Pratt,Mr,not_applicable,1749,1814,,,,,,,11,0.001165007,estc
"Hurd, Richard, 1720-1808.",Hurd,Richard,not_applicable,1720,1808,,,,,,,11,0.001165007,estc
"Gisborne, Thomas, 1758-1846.",Gisborne,Thomas,not_applicable,1758,1846,,,,,,,11,0.001165007,estc
"Penn, William, 1644-1718.",Penn,William,not_applicable,1644,1718,,,,,,,11,0.001165007,estc
"Radcliffe, Ann Ward, 1764-1823.",Radcliffe,Ann Ward,not_applicable,1764,1823,,,,,,,10,0.001059098,estc
"Anstey, Christopher, 1724-1805.",Anstey,Christopher,not_applicable,1724,1805,,,,,,,10,0.001059098,estc
"Hutcheson, Francis, 1694-1746.",Hutcheson,Francis,not_applicable,1694,1746,,,,,,,10,0.001059098,estc
"Hervey, Frederic.",Hervey,Frederic,not_applicable,,,,,,,,,10,0.001059098,estc
"Harris, James, 1709-1780.",Harris,James,not_applicable,1709,1780,,,,,,,10,0.001059098,estc
"Crévier, Jean Baptiste Louis, 1693-1765.",Crévier,Jean Baptiste Louis,not_applicable,1693,1765,,,,,,,10,0.001059098,estc
"Zimmermann, Johann Georg, 1728-1795.",Zimmermann,Johann Georg,not_applicable,1728,1795,,,,,,,10,0.001059098,estc
"Norris, John, 1657-1711.",Norris,John,not_applicable,1657,1711,,,,,,,10,0.001059098,estc
"Witherspoon, John, 1723-1794.",Witherspoon,John,not_applicable,1723,1794,,,,,,,10,0.001059098,estc
"Marshall, Joseph, fl. 1770.",Marshall,Joseph,not_applicable, fl. 1770.,,,,,,,,10,0.001059098,estc
"Tucker, Josiah, 1712-1799.",Tucker,Josiah,not_applicable,1712,1799,,,,,,,10,0.001059098,estc
"Mairobert, Mathieu François Pidanzat de, 1727-1779.",de Mairobert,Mathieu François Pidanzat,not_applicable,1727,1779,,,,,,,10,0.001059098,estc
"Gunning, Mrs. 1740?-1800.",Gunning,not_applicable,Mrs,1740?,1800,,,,,,,10,0.001059098,estc
"Goldsmith, Oliver, 1730?-1774.",Goldsmith,Oliver,not_applicable, 1730?,1774,,,,,,,10,0.001059098,estc
"Pindar, Peter, 1738-1819.",Pindar,Peter,not_applicable,1738,1819,,,,,,,10,0.001059098,estc
"Jones, Stephen, 1763-1827.",Jones,Stephen,not_applicable,1763,1827,,,,,,,10,0.001059098,estc
"Whitehead, William, 1715-1785.",Whitehead,William,not_applicable,1715,1785,,,,,,,10,0.001059098,estc
"Robertson, William, 1721-1793.",Robertson,William,not_applicable,1721,1793,,,,,,,10,0.001059098,estc
"Dodd, William, 1729-1777.",Dodd,William,not_applicable,1729,1777,,,,,,,10,0.001059098,estc
Harry Houdini Collection (Library of Congress),Library of Congress,Harry Houdini Collection,not_applicable,,,,,,,,,10,0.001059098,estc
John Davis Batchelder Collection (Library of Congress),Library of Congress,John Davis Batchelder Collection,not_applicable,,,,,,,,,10,0.001059098,estc
Euclid.,not_applicable,Euclid,not_applicable,,,,,,,,,10,0.001059098,estc
Great Britain. Parliament. House of Lords.,Great Britain,Parliament House of Lords,,,,,,,,,,10,0.001059098,estc
"Junius, 18th cent.",,Junius,, 18th cent.,,,,,,,,9,0.000953188,estc
"Baxter, Andrew, 1686?-1750.",Baxter,Andrew,, 1686?,1750,,,,,,,9,0.000953188,estc
"Büsching, Anton Friedrich, 1724-1793.",Büsching,Anton Friedrich,,1724,1793,,,,,,,9,0.000953188,estc
"Thornton, Bonnell, 1724-1768.",Thornton,Bonnell,,1724,1768,,,,,,,9,0.000953188,estc
"Hutton, Charles, 1737-1823.",Hutton,Charles,,1737,1823,,,,,,,9,0.000953188,estc
"MacLaurin, Colin, 1698-1746.",MacLaurin,Colin,,1698,1746,,,,,,,9,0.000953188,estc
"Atterbury, Francis, 1662-1732.",Atterbury,Francis,,1662,1732,,,,,,,9,0.000953188,estc
"Quevedo, Francisco de, 1580-1645.",Quevedo,Francisco de,,1580,1645,,,,,,,9,0.000953188,estc
"Hervey, James, 1714-1758.",Hervey,James,,1714,1758,,,,,,,9,0.000953188,estc
"Granger, James, 1723-1776.",Granger,James,,1723,1776,,,,,,,9,0.000953188,estc
"Burroughs, Jeremiah, 1599-1646.",Burroughs,Jeremiah,,1599,1646,,,,,,,9,0.000953188,estc
"Willison, John, 1680-1750.",Willison,John,,1680,1750,,,,,,,9,0.000953188,estc
"Gay, John, 1685-1732.",Gay,John,,1685,1732,,,,,,,9,0.000953188,estc
"Wesley, John, 1703-1791.",Wesley,John,,1703,1791,,,,,,,9,0.000953188,estc
"Langhorne, John, 1735-1779.",Langhorne,John,,1735,1779,,,,,,,9,0.000953188,estc
"Adams, John, 1735-1826.",Adams,John,,1735,1826,,,,,,,9,0.000953188,estc
"O'Keeffe, John, 1747-1833.",O'Keeffe,John,,1747,1833,,,,,,,9,0.000953188,estc
"Pinkerton, John, 1758-1826.",Pinkerton,John,,1758,1826,,,,,,,9,0.000953188,estc
"Montaigne, Michel de, 1533-1592.",de Montaigne,Michel,,1533,1592,,,,,,,9,0.000953188,estc
"Addison, Mr.",Addison,Mr,,,,,,,,,,9,0.000953188,estc
"Baxter, Richard, 1615-1691.",Baxter,Richard,,1615,1691,,,,,,,9,0.000953188,estc
"Heron, Robert, 1764-1807.",Heron,Robert,,1764,1807,,,,,,,9,0.000953188,estc
"Berington, Simon, 1680-1755.",Berington,Simon,,1680,1755,,,,,,,9,0.000953188,estc
"Sherlock, Thomas, 1678-1761.",Sherlock,Thomas,,1678,1761,,,,,,,9,0.000953188,estc
"Birch, Thomas, 1705-1766.",Birch,Thomas,,1705,1766,,,,,,,9,0.000953188,estc
"Warton, Thomas, 1728-1790.",Warton,Thomas,,1728,1790,,,,,,,9,0.000953188,estc
"Harris, William, 1720-1770.",Harris,William,,1720,1770,,,,,,,9,0.000953188,estc
"Blackstone, William, 1723-1780.",Blackstone,William,,1723,1780,,,,,,,9,0.000953188,estc
"Thomson, William, 1746-1817.",Thomson,William,,1746,1817,,,,,,,9,0.000953188,estc
"Coxe, William, 1747-1828.",Coxe,William,,1747,1828,,,,,,,9,0.000953188,estc
Virgil.,,Virgil,,,,,,,,,,9,0.000953188,estc
"Cowley, Abraham, 1618-1667.",Cowley,Abraham,,1618,1667,,,,,,,8,0.000847278,estc
"Westmacott, C. M. (Charles Molloy), 1787 or 8-1868.",Westmacott,Charles Molloy,, 1787 or 8,1868,,,,,,,8,0.000847278,estc
"Leslie, Charles, 1650-1722.",Leslie,Charles,,1650,1722,,,,,,,8,0.000847278,estc
"Hereford, Charles John Ann, b. 1758.",Hereford,Charles John Ann,,1758,,,,,,,,8,0.000847278,estc
"Gibbon, Edward, 1737-1794.",Gibbon,Edward,,1737,1794,,,,,,,8,0.000847278,estc
"Bysshe, Edward, fl. 1702-1712.",Bysshe,Edward,, fl. 1702,1712,,,,,,,8,0.000847278,estc
"Swediaur, F. 1748-1824.",Swediaur,F,,1748,1824,,,,,,,8,0.000847278,estc
"Cruikshank, George, 1792-1878.",Cruikshank,George,,1792,1878,,,,,,,8,0.000847278,estc
"Newton, Isaac, 1642-1727.",Newton,Isaac,,1642,1727,,,,,,,8,0.000847278,estc
"Macpherson, James, 1736-1796.",Macpherson,James,,1736,1796,,,,,,,8,0.000847278,estc
"Newman, Jeremiah Whitaker, 1759-1839.",Newman,Jeremiah Whitaker,,1759,1839,,,,,,,8,0.000847278,estc
"Dunton, John, 1659-1733.",Dunton,John,,1659,1733,,,,,,,8,0.000847278,estc
"Toland, John, 1670-1722.",Toland,John,,1670,1722,,,,,,,8,0.000847278,estc
"Jortin, John, 1698-1770.",Jortin,John,,1698,1770,,,,,,,8,0.000847278,estc
"Orrery, John Boyle, Earl of, 1707-1762.",Boyle,John,,1707,1762,,,,,,,8,0.000847278,estc
"Bancks, John, 1709-1751.",Bancks,John,,1709,1751,,,,,,,8,0.000847278,estc
"Wilkes, John, 1725-1797.",Wilkes,John,,1725,1797,,,,,,,8,0.000847278,estc
"Whitaker, John, 1735-1808.",Whitaker,John,,1735,1808,,,,,,,8,0.000847278,estc
"Rushworth, John, 1612?-1690.",Rushworth,John,, 1612?,1690,,,,,,,8,0.000847278,estc
"Ward, John, of Chester.",Ward,John,,,,,,,,,,8,0.000847278,estc
"Grove, Joseph, d. 1764.",Grove,Joseph,,,1764,,,,,,,8,0.000847278,estc
"PÃ¶llnitz, Karl Ludwig, Freiherr von, 1692-1775.",von Pöllnitz,Karl Ludwig Freiherr,,1692,1775,,,,,,,8,0.000847278,estc
"Richelieu, Louis François Armand du Plessis, duc de, 1696-1788.",du Plessis,Louis François Armand,,1696,1788,,,,,,,8,0.000847278,estc
"Prior, Matthew, 1664-1721.",Prior,Matthew,,1664,1721,,,,,,,8,0.000847278,estc
"Bartholomew. Steele, Richard, Sir, 1672-1729.",Steele,Richard,,1672,1729,,,,,,,8,0.000847278,estc
"Graves, Richard, 1715-1804.",Graves,Richard,,1715,1804,,,,,,,8,0.000847278,estc
"Lloyd, Robert, 1733-1764.",Lloyd,Robert,,1733,1764,,,,,,,8,0.000847278,estc
"Cruikshank, Robert, 1789-1856.",Cruikshank,Robert,,1789,1856,,,,,,,8,0.000847278,estc
"Pufendorf, Samuel, Freiherr von, 1632-1694.",von Pufendorf,Samuel,,1632,1694,,,,,,,8,0.000847278,estc
"Oldfield, T. H. B. 1755-1822.",Oldfield,T H B,,1755,1822,,,,,,,8,0.000847278,estc
"Brown, Thomas, 1663-1704.",Brown,Thomas,,1663,1704,,,,,,,8,0.000847278,estc
"Simpson, Thomas, 1710-1761.",Simpson,Thomas,,1710,1761,,,,,,,8,0.000847278,estc
"Sheridan, Thomas, 1719-1788.",Sheridan,Thomas,,1719,1788,,,,,,,8,0.000847278,estc
"Astle, Thomas, 1735-1803.",Astle,Thomas,,1735,1803,,,,,,,8,0.000847278,estc
"Churchyard, Thomas, 1520?-1604.",Churchyard,Thomas,, 1520?,1604,,,,,,,8,0.000847278,estc
"Hastings, Warren, 1732-1818.",Hastings,Warren,,1732,1818,,,,,,,8,0.000847278,estc
"King, William, 1663-1712.",King,William,,1663,1712,,,,,,,8,0.000847278,estc
"Hay, William, 1695-1755.",Hay,William,,1695,1755,,,,,,,8,0.000847278,estc
"Combe, William, 1742-1823.",Combe,William,,1742,1823,,,,,,,8,0.000847278,estc
"Belsham, William, 1752-1827.",Belsham,William,,1752,1827,,,,,,,8,0.000847278,estc
"Sherlock, William, 1641?-1707.",Sherlock,William,, 1641?,1707,,,,,,,8,0.000847278,estc
"Lucian, of Samosata.",,Lucian of Samosata,,,,,,,,,,8,0.000847278,estc
Massachusetts Historical Society.,,Massachusetts Historical Society,,,,,,,,,,8,0.000847278,estc
Board of Agriculture (Great Britain),Great Britain/,Board of Agriculture,,,,,,,,,,8,0.000847278,estc
"Wood, Anthony à, 1632-1695.",Wood,Anthony,,1632,1695,,,,,,,7,0.000741368,estc
"Kennett, Basil, 1674-1715.",Kennett,Basil,,1674,1715,,,,,,,7,0.000741368,estc
"Burney, Charles, 1726-1814.",Burney,Charles,,1726,1814,,,,,,,7,0.000741368,estc
"Leadbetter, Charles, fl. 1728.",Leadbetter,Charles,, fl. 1728.,,,,,,,,7,0.000741368,estc
"Moore, Edward, 1712-1757.",Moore,Edward,,1712,1757,,,,,,,7,0.000741368,estc
"Budgell, Eustace, 1686-1737.",Budgell,Eustace,,1686,1737,,,,,,,7,0.000741368,estc
"Maseres, Francis, 1731-1824.",Maseres,Francis,,1731,1824,,,,,,,7,0.000741368,estc
"Chastellux, FrancÌ§ois Jean, marquis de, 1734-1788.",de Chastellux,François-Jean,,1734,1788,,,,,,,7,0.000741368,estc
"Gregory, G. 1754-1808.",Gregory,G,,1754,1808,,,,,,,7,0.000741368,estc
"Keate, George, 1729-1797.",Keate,George,,1729,1797,,,,,,,7,0.000741368,estc
"Chalmers, George, 1742-1825.",Chalmers,George,,1742,1825,,,,,,,7,0.000741368,estc
"Adams, George, 1750-1795.",Adams,George,,1750,1795,,,,,,,7,0.000741368,estc
"West, Gilbert, 1703-1756.",West,Gilbert,,1703,1756,,,,,,,7,0.000741368,estc
"Baker, Henry, 1698-1774.",Baker,Henry,,1698,1774,,,,,,,7,0.000741368,estc
"Mackenzie, Henry, 1745-1831.",Mackenzie,Henry,,1745,1831,,,,,,,7,0.000741368,estc
"Penington, Isaac, 1616-1679.",Penington,Isaac,,1616,1679,,,,,,,7,0.000741368,estc
"Sales, J. de 1741-1816.",Sales,J de,,1741,1816,,,,,,,7,0.000741368,estc
"Brissot de Warville, J.-P. 1754-1793.",Brissot de Warville,J-P,,1754,1793,,,,,,,7,0.000741368,estc
"Bryant, Jacob, 1715-1804.",Bryant,Jacob,,1715,1804,,,,,,,7,0.000741368,estc
